group,method,failures,successes,tp_any,fp_any,tp_lead4,historical_fp_lead4,precision_any,recall_any
all,v7,307,2253,257,25,220,16,0.9113475177304965,0.8371335504885994
all,v8,307,2253,261,26,224,16,0.9094076655052264,0.8501628664495114
all,v8.2,307,2253,262,26,225,17,0.9097222222222222,0.8534201954397395
all,history_k4,307,2253,211,14,172,12,0.9377777777777778,0.6872964169381107
all,descriptor_still,307,2253,106,2,95,2,0.9814814814814815,0.34527687296416937
all,descriptor_backtracking,307,2253,2,0,2,0,1.0,0.006514657980456026
all,descriptor_periodic_return,307,2253,0,0,0,0,,0.0
all,descriptor_command_jitter,307,2253,0,0,0,0,,0.0
all,descriptor_route_periodic_front,307,2253,0,0,0,0,,0.0
all,descriptor_route_periodic_back,307,2253,0,0,0,0,,0.0
libero_goal/open_the_middle_drawer_of_the_cabinet,v7,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,v8,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,v8.2,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,history_k4,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,descriptor_still,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,descriptor_backtracking,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,descriptor_periodic_return,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,descriptor_command_jitter,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,descriptor_route_periodic_front,0,512,0,0,0,0,,
libero_goal/open_the_middle_drawer_of_the_cabinet,descriptor_route_periodic_back,0,512,0,0,0,0,,
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,v7,42,470,41,0,39,0,1.0,0.9761904761904762
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,v8,42,470,41,0,39,0,1.0,0.9761904761904762
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,v8.2,42,470,41,0,39,0,1.0,0.9761904761904762
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,history_k4,42,470,23,0,17,0,1.0,0.5476190476190477
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,descriptor_still,42,470,0,0,0,0,,0.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,descriptor_backtracking,42,470,1,0,1,0,1.0,0.023809523809523808
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,descriptor_periodic_return,42,470,0,0,0,0,,0.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,descriptor_command_jitter,42,470,0,0,0,0,,0.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,descriptor_route_periodic_front,42,470,0,0,0,0,,0.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,descriptor_route_periodic_back,42,470,0,0,0,0,,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,v7,216,296,175,22,173,15,0.8883248730964467,0.8101851851851852
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,v8,216,296,175,22,173,15,0.8883248730964467,0.8101851851851852
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,v8.2,216,296,175,22,173,15,0.8883248730964467,0.8101851851851852
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,history_k4,216,296,156,12,153,12,0.9285714285714286,0.7222222222222222
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,descriptor_still,216,296,106,2,95,2,0.9814814814814815,0.49074074074074076
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,descriptor_backtracking,216,296,1,0,1,0,1.0,0.004629629629629629
