event,outcome,method,event_episodes,detected_ever,strictly_before_confirmation,strictly_before_evidence_window,median_confirmation_minus_alarm
still,all,v7,108,108,108,70,9.0
still,all,v8,108,108,108,70,9.0
still,all,v8.2,108,108,108,70,9.0
still,all,history_k4,108,108,108,54,7.5
still,failure,v7,106,106,106,70,9.0
still,failure,v8,106,106,106,70,9.0
still,failure,v8.2,106,106,106,70,9.0
still,failure,history_k4,106,106,106,54,8.0
still,success,v7,2,2,2,0,4.5
still,success,v8,2,2,2,0,4.5
still,success,v8.2,2,2,2,0,4.5
still,success,history_k4,2,2,2,0,3.0
backtracking,all,v7,2,2,1,1,5.5
backtracking,all,v8,2,2,2,1,7.0
backtracking,all,v8.2,2,2,2,1,7.5
backtracking,all,history_k4,2,1,1,1,9.0
backtracking,failure,v7,2,2,1,1,5.5
backtracking,failure,v8,2,2,2,1,7.0
backtracking,failure,v8.2,2,2,2,1,7.5
backtracking,failure,history_k4,2,1,1,1,9.0
backtracking,success,v7,0,0,0,0,
backtracking,success,v8,0,0,0,0,
backtracking,success,v8.2,0,0,0,0,
backtracking,success,history_k4,0,0,0,0,
periodic_return,all,v7,0,0,0,0,
periodic_return,all,v8,0,0,0,0,
periodic_return,all,v8.2,0,0,0,0,
periodic_return,all,history_k4,0,0,0,0,
periodic_return,failure,v7,0,0,0,0,
periodic_return,failure,v8,0,0,0,0,
periodic_return,failure,v8.2,0,0,0,0,
periodic_return,failure,history_k4,0,0,0,0,
periodic_return,success,v7,0,0,0,0,
periodic_return,success,v8,0,0,0,0,
periodic_return,success,v8.2,0,0,0,0,
periodic_return,success,history_k4,0,0,0,0,
command_jitter,all,v7,0,0,0,0,
command_jitter,all,v8,0,0,0,0,
command_jitter,all,v8.2,0,0,0,0,
command_jitter,all,history_k4,0,0,0,0,
command_jitter,failure,v7,0,0,0,0,
command_jitter,failure,v8,0,0,0,0,
command_jitter,failure,v8.2,0,0,0,0,
command_jitter,failure,history_k4,0,0,0,0,
command_jitter,success,v7,0,0,0,0,
command_jitter,success,v8,0,0,0,0,
command_jitter,success,v8.2,0,0,0,0,
command_jitter,success,history_k4,0,0,0,0,
route_periodic_front,all,v7,0,0,0,0,
route_periodic_front,all,v8,0,0,0,0,
route_periodic_front,all,v8.2,0,0,0,0,
route_periodic_front,all,history_k4,0,0,0,0,
route_periodic_front,failure,v7,0,0,0,0,
route_periodic_front,failure,v8,0,0,0,0,
route_periodic_front,failure,v8.2,0,0,0,0,
route_periodic_front,failure,history_k4,0,0,0,0,
route_periodic_front,success,v7,0,0,0,0,
route_periodic_front,success,v8,0,0,0,0,
route_periodic_front,success,v8.2,0,0,0,0,
route_periodic_front,success,history_k4,0,0,0,0,
route_periodic_back,all,v7,0,0,0,0,
route_periodic_back,all,v8,0,0,0,0,
route_periodic_back,all,v8.2,0,0,0,0,
route_periodic_back,all,history_k4,0,0,0,0,
route_periodic_back,failure,v7,0,0,0,0,
route_periodic_back,failure,v8,0,0,0,0,
route_periodic_back,failure,v8.2,0,0,0,0,
route_periodic_back,failure,history_k4,0,0,0,0,
route_periodic_back,success,v7,0,0,0,0,
route_periodic_back,success,v8,0,0,0,0,
route_periodic_back,success,v8.2,0,0,0,0,
route_periodic_back,success,history_k4,0,0,0,0,
