group,event,outcome,episodes,window_eligible,positive,fraction_all,fraction_eligible
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,backtracking,failure,12,12,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,backtracking,success,500,500,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,periodic_return,failure,12,12,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,periodic_return,success,500,3,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,command_jitter,failure,12,12,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,command_jitter,success,500,500,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,route_periodic_front,failure,12,12,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,route_periodic_front,success,500,3,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,route_periodic_back,failure,12,12,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,route_periodic_back,success,500,3,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,still,failure,37,37,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,still,success,475,475,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,backtracking,failure,37,37,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,backtracking,success,475,475,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,periodic_return,failure,37,37,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,periodic_return,success,475,57,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,command_jitter,failure,37,37,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,command_jitter,success,475,475,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,route_periodic_front,failure,37,37,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,route_periodic_front,success,475,57,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,route_periodic_back,failure,37,37,0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,route_periodic_back,success,475,57,0,0.0,0.0
