query,feature,failure_direction,observed_episodes,finite_episodes,failures,successes,auc,pairs,groups
7,pose_speed,-1,2560,2560,307,2253,0.6124174372523118,3785,40
7,pose_reversal,1,2560,2560,307,2253,0.4903566710700132,3785,40
7,pose_return_ratio,-1,2560,0,0,0,,0,0
7,command_high_fraction,1,2560,2560,307,2253,0.435667107001321,3785,40
7,route_back_speed,-1,2560,2560,307,2253,0.5463672391017173,3785,40
7,route_back_return_ratio,-1,2560,0,0,0,,0,0
7,v8_frontback_score,-1,2560,2560,307,2253,0.6034346103038309,3785,40
7,v8_curvature_score,1,2560,2560,307,2253,0.4882430647291942,3785,40
13,pose_speed,-1,1145,1145,307,838,0.4454580007601672,2631,27
13,pose_reversal,1,1145,1145,307,838,0.48346636259977194,2631,27
13,pose_return_ratio,-1,1145,1145,307,838,0.5180539718738122,2631,27
13,command_high_fraction,1,1145,1145,307,838,0.5351577347016344,2631,27
13,route_back_speed,-1,1145,1145,307,838,0.5997719498289624,2631,27
13,route_back_return_ratio,-1,1145,1145,307,838,0.362979855568225,2631,27
13,v8_frontback_score,-1,1145,1145,307,838,0.4872671987837324,2631,27
13,v8_curvature_score,1,1145,1145,307,838,0.5017103762827823,2631,27
19,pose_speed,-1,681,681,307,374,0.6104023552502453,2038,16
19,pose_reversal,1,681,681,307,374,0.4801275760549558,2038,16
19,pose_return_ratio,-1,681,681,307,374,0.5461236506378803,2038,16
19,command_high_fraction,1,681,681,307,374,0.43768400392541706,2038,16
19,route_back_speed,-1,681,681,307,374,0.5583905789990187,2038,16
19,route_back_return_ratio,-1,681,681,307,374,0.40039254170755645,2038,16
19,v8_frontback_score,-1,681,681,307,374,0.5907752698724239,2038,16
19,v8_curvature_score,1,681,681,307,374,0.5657507360157017,2038,16
31,pose_speed,-1,512,512,216,296,0.5976095617529881,2008,13
31,pose_reversal,1,512,512,216,296,0.48406374501992033,2008,13
31,pose_return_ratio,-1,512,512,216,296,0.49800796812749004,2008,13
31,command_high_fraction,1,512,512,216,296,0.5647410358565738,2008,13
31,route_back_speed,-1,512,512,216,296,0.7674302788844621,2008,13
31,route_back_return_ratio,-1,512,512,216,296,0.24252988047808766,2008,13
31,v8_frontback_score,-1,512,512,216,296,0.2863545816733068,2008,13
31,v8_curvature_score,1,512,512,216,296,0.2823705179282869,2008,13
