tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode,objective
77,0,0.15811088295687886,0.0,1.0,23,0,1.0,0.2987012987012987,0.7315828326502669,1.3668992154686739,77,19.0,14,1,0.07142857142857142,28,6,0.21428571428571427,72,7,0.09722222222222222,218,50,0.22935779816513763,18,2,0.1111111111111111,116,11,0.09482758620689655,14,0,0.0,0.0,0.11689042905995047,0.636693818871548,7,flow_settling_log_ratio|per_task+partial_edge_std|per_task,2,2,denoising_steps+token_graph,2,False,True,primary,per_task,A
76,0,0.15605749486652978,0.0,1.0,22,0,1.0,0.2894736842105263,0.7393415717398456,1.3525548112312467,76,19.0,14,1,0.07142857142857142,28,5,0.17857142857142858,72,7,0.09722222222222222,218,50,0.22935779816513763,18,2,0.1111111111111111,116,11,0.09482758620689655,14,0,0.0,0.0,0.11178838824362394,0.6133490097161186,7,expert_load_effective_rank|per_task+flow_settling_log_ratio|per_task+partial_edge_std|per_task,3,3,denoising_steps+expert_load+token_graph,3,False,True,primary,per_task,A
72,0,0.14784394250513347,0.0,1.0,15,0,1.0,0.20833333333333334,0.7892406367806658,1.267040688729647,72,20.0,14,2,0.14285714285714285,28,2,0.07142857142857142,72,7,0.09722222222222222,218,54,0.24770642201834864,18,0,0.0,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.09378642841719627,0.8112378209900857,7,conditional_query_d1|per_task+flow_settling_log_ratio|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
71,0,0.1457905544147844,0.0,1.0,20,0,1.0,0.28169014084507044,0.7670629232362499,1.3036740138357685,71,20.0,14,1,0.07142857142857142,28,4,0.14285714285714285,72,7,0.09722222222222222,218,48,0.22018348623853212,18,1,0.05555555555555555,116,10,0.08620689655172414,14,0,0.0,0.0,0.09620769640767834,0.6709766483595186,7,flow_settling_log_ratio|per_task+mobility|per_task+partial_edge_std|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
68,0,0.13963039014373715,0.0,1.0,5,0,1.0,0.07352941176470588,0.8439020060131781,1.1849717062817176,68,21.0,14,2,0.14285714285714285,28,0,0.0,72,8,0.1111111111111111,218,51,0.23394495412844038,18,3,0.16666666666666666,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.10741007359392138,0.7061872422034409,7,conditional_query_d1|per_task+expert_load_effective_rank|per_task+flow_endpoint|per_task,3,3,adjacent_query+denoising_steps+expert_load,3,False,True,primary,per_task,A
66,0,0.13552361396303902,0.0,1.0,5,0,1.0,0.07575757575757576,0.8500873786803773,1.1763496613163904,66,21.0,14,0,0.0,28,1,0.03571428571428571,72,11,0.1527777777777778,218,35,0.16055045871559634,18,3,0.16666666666666666,116,9,0.07758620689655173,14,7,0.5,0.0,0.15618505653869688,0.9783240063614859,7,action_consensus|per_task+mobility|per_task,2,2,adjacent_query+token_graph,2,False,True,primary,per_task,A
66,0,0.13552361396303902,0.0,1.0,5,0,1.0,0.07575757575757576,0.8325715009094331,1.2010980425196895,66,21.0,14,1,0.07142857142857142,28,0,0.0,72,7,0.09722222222222222,218,46,0.21100917431192662,18,2,0.1111111111111111,116,3,0.02586206896551724,14,7,0.5,0.0,0.1452333068627641,1.0869599059186215,7,conditional_query_d1|per_task+flow_endpoint|per_task+mobility|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
64,0,0.13141683778234087,0.0,1.0,17,0,1.0,0.265625,0.7467166269353491,1.3391961072357108,64,20.0,14,2,0.14285714285714285,28,0,0.0,72,9,0.125,218,42,0.1926605504587156,18,2,0.1111111111111111,116,9,0.07758620689655173,14,0,0.0,0.0,0.09274500161764589,0.7210543975778809,7,conditional_effective_rank|per_task+expert_load_effective_rank|per_task+partial_query_d1|per_task,3,3,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task,A
62,0,0.1273100616016427,0.0,1.0,4,0,1.0,0.06451612903225806,0.8503287085056971,1.176015804238015,62,21.0,14,0,0.0,28,1,0.03571428571428571,72,10,0.1388888888888889,218,32,0.14678899082568808,18,3,0.16666666666666666,116,9,0.07758620689655173,14,7,0.5,0.0,0.1522350055702973,1.0044685204514405,7,action_consensus|per_task+flow_settling_log_ratio|per_task+mobility|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
61,0,0.12525667351129363,0.0,1.0,6,0,1.0,0.09836065573770492,0.8609490516709034,1.1615089163048973,61,21.0,14,1,0.07142857142857142,28,0,0.0,72,6,0.08333333333333333,218,43,0.19724770642201836,18,2,0.1111111111111111,116,1,0.008620689655172414,14,7,0.5,0.0,0.13882020170717238,1.1502387038089747,7,conditional_query_d1|per_task+flow_path|per_task+mobility|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
60,0,0.12320328542094455,0.0,1.0,5,0,1.0,0.08333333333333333,0.8937785426142238,1.1188453876673832,60,20.0,14,2,0.14285714285714285,28,1,0.03571428571428571,72,9,0.125,218,43,0.19724770642201836,18,0,0.0,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.08544425362679078,0.7773471836606124,7,flow_path|per_task+partial_query_d1|per_task,2,2,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
60,0,0.12320328542094455,0.0,1.0,17,0,1.0,0.2833333333333333,0.7704016844346442,1.2980241609074954,60,20.0,14,1,0.07142857142857142,28,6,0.21428571428571427,72,6,0.08333333333333333,218,39,0.17889908256880735,18,1,0.05555555555555555,116,7,0.0603448275862069,14,0,0.0,0.0,0.09483529782259839,0.7320879616549288,7,flow_settling_log_ratio|per_task+partial_edge_std|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
58,0,0.11909650924024641,0.0,1.0,17,0,1.0,0.29310344827586204,0.7280712839341928,1.3734918847457052,58,19.5,14,2,0.14285714285714285,28,1,0.03571428571428571,72,9,0.125,218,34,0.1559633027522936,18,1,0.05555555555555555,116,9,0.07758620689655173,14,0,0.0,0.0,0.0846680705394042,0.6400691809958058,7,conditional_effective_rank|per_task+flow_settling_log_ratio|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
58,0,0.11909650924024641,0.0,1.0,5,0,1.0,0.08620689655172414,0.8971579573079187,1.1146309207362737,58,20.0,14,2,0.14285714285714285,28,0,0.0,72,9,0.125,218,43,0.19724770642201836,18,0,0.0,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.08034221281046426,0.8867150441134922,7,expert_load_effective_rank|per_task+flow_path|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps+expert_load,3,False,True,primary,per_task,A
