tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode,objective
104,0,0.2135523613963039,0.0,1.0,0,0,0.0,0.0,0.8127772016223045,1.230349470930039,104,29.5,14,8,0.5714285714285714,28,4,0.14285714285714285,72,8,0.1111111111111111,218,39,0.17889908256880735,18,3,0.16666666666666666,116,41,0.35344827586206895,14,1,0.07142857142857142,0.07142857142857142,0.22797706027470568,0.7136317606535354,7,flow_endpoint|global+partial_edge_std|global+v7_guard|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,secondary_with_v7,global,A
96,0,0.1971252566735113,0.0,1.0,0,0,0.0,0.0,0.7825751121109218,1.2778326125176602,96,30.5,14,8,0.5714285714285714,28,6,0.21428571428571427,72,8,0.1111111111111111,218,25,0.11467889908256881,18,3,0.16666666666666666,116,42,0.3620689655172414,14,4,0.2857142857142857,0.1111111111111111,0.26085060197230847,0.5834670024235123,7,flow_path|global+partial_edge_std|global+v7_guard|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,secondary_with_v7,global,A
81,0,0.16632443531827515,0.0,1.0,0,0,0.0,0.0,0.8371425491819532,1.1945396885837296,81,21.0,14,4,0.2857142857142857,28,3,0.10714285714285714,72,7,0.09722222222222222,218,41,0.18807339449541285,18,3,0.16666666666666666,116,22,0.1896551724137931,14,1,0.07142857142857142,0.07142857142857142,0.15798616715482988,0.4284148501863813,7,conditional_effective_rank|global+flow_endpoint|global+v7_guard|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,secondary_with_v7,global,A
75,0,0.1540041067761807,0.0,1.0,3,0,1.0,0.04,0.8581048952261771,1.1653586939816054,75,19.0,14,0,0.0,28,0,0.0,72,7,0.09722222222222222,218,48,0.22018348623853212,18,4,0.2222222222222222,116,15,0.12931034482758622,14,1,0.07142857142857142,0.0,0.10576669241987631,0.8057005051779237,7,expert_load_effective_rank|global+flow_endpoint|global+partial_query_d1|global,3,2,adjacent_query+denoising_steps+expert_load,3,False,True,secondary_with_v7,global,A
72,0,0.14784394250513347,0.0,1.0,13,0,1.0,0.18055555555555555,0.5869432249770058,1.7037422998436964,72,32.0,14,8,0.5714285714285714,28,4,0.14285714285714285,72,6,0.08333333333333333,218,15,0.06880733944954129,18,0,0.0,116,38,0.3275862068965517,14,1,0.07142857142857142,0.0,0.18077730934195885,1.0290970422425685,7,action_consensus|global+partial_edge_std|global+v7_guard|global,3,2,adjacent_query+token_graph,2,False,True,secondary_with_v7,global,A
72,0,0.14784394250513347,0.0,1.0,0,0,0.0,0.0,0.8044604371168806,1.2430692099463796,72,30.0,14,4,0.2857142857142857,28,5,0.17857142857142858,72,7,0.09722222222222222,218,26,0.11926605504587157,18,3,0.16666666666666666,116,23,0.19827586206896552,14,4,0.2857142857142857,0.09722222222222222,0.1902044008576751,0.35921096200078234,7,conditional_effective_rank|global+flow_path|global+v7_guard|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,secondary_with_v7,global,A
63,0,0.1293634496919918,0.0,1.0,2,0,1.0,0.031746031746031744,0.6600015286833941,1.5151480057854605,63,33.0,14,8,0.5714285714285714,28,4,0.14285714285714285,72,5,0.06944444444444445,218,7,0.03211009174311927,18,0,0.0,116,38,0.3275862068965517,14,1,0.07142857142857142,0.0,0.17355071839977157,1.0983884130838746,7,flow_settling_log_ratio|global+partial_edge_std|global+v7_guard|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,secondary_with_v7,global,A
59,0,0.12114989733059549,0.0,1.0,0,0,0.0,0.0,0.6703743183503925,1.4917039221620632,59,33.0,14,8,0.5714285714285714,28,4,0.14285714285714285,72,4,0.05555555555555555,218,4,0.01834862385321101,18,0,0.0,116,38,0.3275862068965517,14,1,0.07142857142857142,0.0,0.16960066743137198,1.1394565014526974,7,partial_edge_std|global+v7_guard|global,2,2,adjacent_query+token_graph,2,False,True,secondary_with_v7,global,A
59,0,0.12114989733059549,0.0,1.0,1,0,1.0,0.01694915254237288,0.8405457772806951,1.189703198837267,59,19.0,14,0,0.0,28,2,0.07142857142857142,72,6,0.08333333333333333,218,31,0.14220183486238533,18,3,0.16666666666666666,116,16,0.13793103448275862,14,1,0.07142857142857142,0.0,0.09614143031461239,0.5485648670667242,7,expert_load_effective_rank|global+flow_path|global+partial_query_d1|global,3,2,adjacent_query+denoising_steps+expert_load,3,False,True,secondary_with_v7,global,A
58,0,0.11909650924024641,0.0,1.0,13,0,1.0,0.22413793103448276,0.8124114779200832,1.230903337998346,58,18.5,14,0,0.0,28,0,0.0,72,5,0.06944444444444445,218,46,0.21100917431192662,18,3,0.16666666666666666,116,4,0.034482758620689655,14,0,0.0,0.0,0.06880043486338963,1.167701048891298,7,action_consensus|global+flow_endpoint|global+v7_guard|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,secondary_with_v7,global,A
55,0,0.11293634496919917,0.0,1.0,2,0,1.0,0.03636363636363636,0.9529198550106951,1.0494061958534555,55,18.0,14,0,0.0,28,0,0.0,72,4,0.05555555555555555,218,42,0.1926605504587156,18,4,0.2222222222222222,116,4,0.034482758620689655,14,1,0.07142857142857142,0.0,0.08233566546939348,1.0101693163999845,7,action_consensus|global+expert_load_effective_rank|global+flow_endpoint|global,3,2,denoising_steps+expert_load+token_graph,3,False,True,secondary_with_v7,global,A
55,0,0.11293634496919917,0.0,1.0,2,0,1.0,0.03636363636363636,0.957794690320313,1.0440650904689943,55,18.0,14,0,0.0,28,0,0.0,72,4,0.05555555555555555,218,43,0.19724770642201836,18,4,0.2222222222222222,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.08175944637055498,1.0373657049792298,7,expert_load_effective_rank|global+flow_endpoint|global+flow_settling_log_ratio|global,3,2,denoising_steps+expert_load,2,False,True,secondary_with_v7,global,A
54,0,0.11088295687885011,0.0,1.0,2,0,1.0,0.037037037037037035,0.960636298917227,1.040976695474803,54,17.5,14,0,0.0,28,0,0.0,72,4,0.05555555555555555,218,42,0.1926605504587156,18,4,0.2222222222222222,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.08110413837579743,1.0348762548255084,7,expert_load_effective_rank|global+flow_endpoint|global,2,2,denoising_steps+expert_load,2,False,True,secondary_with_v7,global,A
51,0,0.10472279260780287,0.0,1.0,13,0,1.0,0.2549019607843137,0.5289200751178437,1.8906448195924488,51,32.0,14,4,0.2857142857142857,28,3,0.10714285714285714,72,6,0.08333333333333333,218,17,0.0779816513761468,18,0,0.0,116,20,0.1724137931034483,14,1,0.07142857142857142,0.0,0.1140020702998061,0.74128378618506,7,action_consensus|global+conditional_effective_rank|global+v7_guard|global,3,2,adjacent_query+token_graph,2,False,True,secondary_with_v7,global,A
51,0,0.10472279260780287,0.0,1.0,13,0,1.0,0.2549019607843137,0.7684003498942332,1.3014049253590858,51,19.0,14,0,0.0,28,3,0.10714285714285714,72,5,0.06944444444444445,218,32,0.14678899082568808,18,3,0.16666666666666666,116,5,0.04310344827586207,14,3,0.21428571428571427,0.0,0.10677601737731897,0.6488090463210392,7,action_consensus|global+flow_path|global+v7_guard|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,secondary_with_v7,global,A
48,0,0.09856262833675565,0.0,1.0,2,0,1.0,0.041666666666666664,0.9584324106338996,1.0433703920118977,48,19.5,14,0,0.0,28,0,0.0,72,4,0.05555555555555555,218,38,0.1743119266055046,18,3,0.16666666666666666,116,3,0.02586206896551724,14,0,0.0,0.0,0.06034231682760629,1.19551371934605,7,flow_endpoint|global+flow_settling_log_ratio|global+v7_guard|global,3,2,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global,A
45,0,0.09240246406570841,0.0,1.0,11,0,1.0,0.24444444444444444,0.45053134932428246,2.2196013695824353,45,33.0,14,1,0.07142857142857142,28,2,0.07142857142857142,72,5,0.06944444444444445,218,12,0.05504587155963303,18,0,0.0,116,24,0.20689655172413793,14,1,0.07142857142857142,0.0,0.07795322600198995,0.7421368511845804,7,action_consensus|global+mobility|global+partial_edge_std|global,3,2,adjacent_query+token_graph,2,False,True,secondary_with_v7,global,A
