tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode,objective
75,0,0.1540041067761807,0.0,1.0,3,0,1.0,0.04,0.8581048952261771,1.1653586939816054,75,19.0,14,0,0.0,28,0,0.0,72,7,0.09722222222222222,218,48,0.22018348623853212,18,4,0.2222222222222222,116,15,0.12931034482758622,14,1,0.07142857142857142,0.0,0.10576669241987631,0.8057005051779237,7,expert_load_effective_rank|global+flow_endpoint|global+partial_query_d1|global,3,2,adjacent_query+denoising_steps+expert_load,3,False,True,primary,global,A
59,0,0.12114989733059549,0.0,1.0,1,0,1.0,0.01694915254237288,0.8405457772806951,1.189703198837267,59,19.0,14,0,0.0,28,2,0.07142857142857142,72,6,0.08333333333333333,218,31,0.14220183486238533,18,3,0.16666666666666666,116,16,0.13793103448275862,14,1,0.07142857142857142,0.0,0.09614143031461239,0.5485648670667242,7,expert_load_effective_rank|global+flow_path|global+partial_query_d1|global,3,2,adjacent_query+denoising_steps+expert_load,3,False,True,primary,global,A
55,0,0.11293634496919917,0.0,1.0,2,0,1.0,0.03636363636363636,0.9529198550106951,1.0494061958534555,55,18.0,14,0,0.0,28,0,0.0,72,4,0.05555555555555555,218,42,0.1926605504587156,18,4,0.2222222222222222,116,4,0.034482758620689655,14,1,0.07142857142857142,0.0,0.08233566546939348,1.0101693163999845,7,action_consensus|global+expert_load_effective_rank|global+flow_endpoint|global,3,2,denoising_steps+expert_load+token_graph,3,False,True,primary,global,A
55,0,0.11293634496919917,0.0,1.0,2,0,1.0,0.03636363636363636,0.957794690320313,1.0440650904689943,55,18.0,14,0,0.0,28,0,0.0,72,4,0.05555555555555555,218,43,0.19724770642201836,18,4,0.2222222222222222,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.08175944637055498,1.0373657049792298,7,expert_load_effective_rank|global+flow_endpoint|global+flow_settling_log_ratio|global,3,2,denoising_steps+expert_load,2,False,True,primary,global,A
54,0,0.11088295687885011,0.0,1.0,2,0,1.0,0.037037037037037035,0.960636298917227,1.040976695474803,54,17.5,14,0,0.0,28,0,0.0,72,4,0.05555555555555555,218,42,0.1926605504587156,18,4,0.2222222222222222,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.08110413837579743,1.0348762548255084,7,expert_load_effective_rank|global+flow_endpoint|global,2,2,denoising_steps+expert_load,2,False,True,primary,global,A
45,0,0.09240246406570841,0.0,1.0,11,0,1.0,0.24444444444444444,0.45053134932428246,2.2196013695824353,45,33.0,14,1,0.07142857142857142,28,2,0.07142857142857142,72,5,0.06944444444444445,218,12,0.05504587155963303,18,0,0.0,116,24,0.20689655172413793,14,1,0.07142857142857142,0.0,0.07795322600198995,0.7421368511845804,7,action_consensus|global+mobility|global+partial_edge_std|global,3,2,adjacent_query+token_graph,2,False,True,primary,global,A
39,0,0.08008213552361396,0.0,1.0,0,0,0.0,0.0,0.9788403573829314,1.0216170517055936,39,18.0,14,0,0.0,28,2,0.07142857142857142,72,3,0.041666666666666664,218,26,0.11926605504587157,18,3,0.16666666666666666,116,5,0.04310344827586207,14,0,0.0,0.0,0.06316162972623406,0.9030314980084951,7,action_consensus|global+expert_load_effective_rank|global+flow_path|global,3,2,denoising_steps+expert_load+token_graph,3,False,True,primary,global,A
39,0,0.08008213552361396,0.0,1.0,0,0,0.0,0.0,0.9857151251272646,1.014491889703824,39,18.0,14,0,0.0,28,2,0.07142857142857142,72,3,0.041666666666666664,218,27,0.12385321100917432,18,3,0.16666666666666666,116,4,0.034482758620689655,14,0,0.0,0.0,0.06258541062739553,0.9302309904659942,7,expert_load_effective_rank|global+flow_path|global+flow_settling_log_ratio|global,3,2,denoising_steps+expert_load,2,False,True,primary,global,A
38,0,0.07802874743326489,0.0,1.0,0,0,0.0,0.0,0.9904879487862199,1.0096033992391695,38,18.0,14,0,0.0,28,2,0.07142857142857142,72,3,0.041666666666666664,218,26,0.11926605504587157,18,3,0.16666666666666666,116,4,0.034482758620689655,14,0,0.0,0.0,0.06193010263263799,0.9292333935354194,7,expert_load_effective_rank|global+flow_path|global,2,2,denoising_steps+expert_load,2,False,True,primary,global,A
36,0,0.07392197125256673,0.0,1.0,0,0,0.0,0.0,0.5730874819450585,1.7449342927645193,36,35.0,14,1,0.07142857142857142,28,5,0.17857142857142858,72,4,0.05555555555555555,218,1,0.0045871559633027525,18,0,0.0,116,24,0.20689655172413793,14,1,0.07142857142857142,0.0,0.08406683352450965,0.8825781065778301,7,flow_path|global+mobility|global+partial_edge_std|global,3,2,adjacent_query+denoising_steps+token_graph,3,False,True,primary,global,A
