tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode,role
111,34,0.22792607802874743,0.0023754628659260813,0.7655172413793103,34,21,0.6181818181818182,0.3063063063063063,0.5349431440144673,1.4310254275519927,145,19.0,14,2,0.14285714285714285,28,2,0.07142857142857142,72,21,0.2916666666666667,218,58,0.26605504587155965,18,8,0.4444444444444444,116,13,0.11206896551724138,14,7,0.5,0.07142857142857142,0.2612172623979466,0.5856318320282831,7,action_consensus|per_task,1,1,token_graph,1,False,True,primary,per_task,single
118,20,0.24229979466119098,0.0013973310976035773,0.855072463768116,26,16,0.6190476190476191,0.22033898305084745,0.6713141051391751,1.2737293276309822,138,20.0,14,2,0.14285714285714285,28,1,0.03571428571428571,72,13,0.18055555555555555,218,80,0.3669724770642202,18,3,0.16666666666666666,116,15,0.12931034482758622,14,0,0.0,0.0,0.14601092466935103,0.751218934851617,7,conditional_effective_rank|per_task,1,1,token_graph,1,False,True,primary,per_task,single
26,5,0.053388090349075976,0.0003493327744008943,0.8387096774193549,15,4,0.7894736842105263,0.5769230769230769,0.3155289286093221,2.658107074732975,31,16.0,14,0,0.0,28,1,0.03571428571428571,72,1,0.013888888888888888,218,19,0.0871559633027523,18,4,0.2222222222222222,116,1,0.008620689655172414,14,0,0.0,0.0,0.0525145785404745,1.4253090719151797,7,conditional_energy|per_task,1,1,token_graph,1,False,True,primary,per_task,single
147,20,0.30184804928131415,0.0013973310976035773,0.8802395209580839,22,12,0.6470588235294118,0.14965986394557823,0.6523211714811499,1.3493959102376307,167,21.0,14,2,0.14285714285714285,28,3,0.10714285714285714,72,15,0.20833333333333334,218,93,0.42660550458715596,18,6,0.3333333333333333,116,13,0.11206896551724138,14,8,0.5714285714285714,0.10714285714285714,0.2716813868856622,0.6077010570676759,7,conditional_query_d1|per_task,1,1,adjacent_query,1,False,True,primary,per_task,single
322,45,0.6611909650924025,0.0031439949696080486,0.8773841961852861,58,32,0.6444444444444445,0.18012422360248448,0.6038428966079253,1.453000774065528,367,19.0,14,4,0.2857142857142857,28,19,0.6785714285714286,72,44,0.6111111111111112,218,187,0.8577981651376146,18,13,0.7222222222222222,116,52,0.4482758620689655,14,3,0.21428571428571427,0.21428571428571427,0.5454255413016204,0.4025311141838932,7,expert_load_effective_rank|per_task,1,1,expert_load,1,False,True,primary,per_task,single
151,29,0.31006160164271046,0.002026130091525187,0.8388888888888889,36,18,0.6666666666666666,0.23841059602649006,0.566090674453316,1.4818984426815,180,19.0,14,2,0.14285714285714285,28,3,0.10714285714285714,72,24,0.3333333333333333,218,91,0.41743119266055045,18,12,0.6666666666666666,116,12,0.10344827586206896,14,7,0.5,0.10344827586206896,0.32441135264608845,0.6227388130733819,7,flow_endpoint|per_task,1,1,denoising_steps,1,False,True,primary,per_task,single
139,32,0.28542094455852157,0.0022357297561657235,0.8128654970760234,38,20,0.6551724137931034,0.2733812949640288,0.5744326107680097,1.4150754707140176,171,17.0,14,2,0.14285714285714285,28,1,0.03571428571428571,72,26,0.3611111111111111,218,87,0.39908256880733944,18,6,0.3333333333333333,116,9,0.07758620689655173,14,7,0.5,0.03571428571428571,0.2642406641028235,0.6230295034495292,7,flow_path|per_task,1,1,denoising_steps,1,False,True,primary,per_task,single
284,62,0.5831622176591376,0.0043317264025710895,0.8208092485549133,70,46,0.603448275862069,0.24647887323943662,0.5970377339640052,1.3748029678211247,346,18.0,14,12,0.8571428571428571,28,16,0.5714285714285714,72,42,0.5833333333333334,218,157,0.7201834862385321,18,10,0.5555555555555556,116,36,0.3103448275862069,14,8,0.5714285714285714,0.3103448275862069,0.5956310289590897,0.2602620718943839,7,flow_settling_log_ratio|per_task,1,1,denoising_steps,1,False,True,primary,per_task,single
243,31,0.4989733059548255,0.0021658632012855447,0.8868613138686131,41,18,0.6949152542372882,0.16872427983539096,0.6758079687243,1.31229780486713,274,20.0,14,2,0.14285714285714285,28,17,0.6071428571428571,72,27,0.375,218,150,0.6880733944954128,18,9,0.5,116,22,0.1896551724137931,14,9,0.6428571428571429,0.14285714285714285,0.44936938710947844,0.4520119413418959,7,mobility|per_task,1,1,adjacent_query,1,False,True,primary,per_task,single
93,10,0.19096509240246407,0.0006986655488017886,0.9029126213592233,24,5,0.8275862068965517,0.25806451612903225,0.6800874377704904,1.3276419636851606,103,19.0,14,1,0.07142857142857142,28,7,0.25,72,8,0.1111111111111111,218,58,0.26605504587155965,18,6,0.3333333333333333,116,13,0.11206896551724138,14,0,0.0,0.0,0.1634281467516881,0.6838877181374162,7,partial_edge_std|per_task,1,1,token_graph,1,False,True,primary,per_task,single
154,17,0.3162217659137577,0.0011877314329630407,0.9005847953216374,26,12,0.6842105263157895,0.16883116883116883,0.6803070439920205,1.3237916662409284,171,21.0,14,4,0.2857142857142857,28,16,0.5714285714285714,72,12,0.16666666666666666,218,95,0.43577981651376146,18,4,0.2222222222222222,116,13,0.11206896551724138,14,3,0.21428571428571427,0.11206896551724138,0.2868808917640661,0.523032875652182,7,partial_query_d1|per_task,1,1,adjacent_query,1,False,True,primary,per_task,single
26,5,0.053388090349075976,0.0003493327744008943,0.8387096774193549,15,4,0.7894736842105263,0.5769230769230769,0.311901000529468,2.6890252868557716,31,16.0,14,0,0.0,28,1,0.03571428571428571,72,1,0.013888888888888888,218,19,0.0871559633027523,18,4,0.2222222222222222,116,1,0.008620689655172414,14,0,0.0,0.0,0.0525145785404745,1.4253090719151797,7,state_action_alignment|per_task,1,1,token_graph,1,False,True,primary,per_task,single
378,95,0.7761806981519507,0.006637322713616991,0.7991543340380549,82,70,0.5394736842105263,0.21693121693121692,0.5387676960899649,1.4833003905724331,473,18.0,14,12,0.8571428571428571,28,26,0.9285714285714286,72,53,0.7361111111111112,218,202,0.926605504587156,18,16,0.8888888888888888,116,57,0.49137931034482757,14,9,0.6428571428571429,0.49137931034482757,0.7816508919290588,0.19665046443493486,7,flow_settling_log_ratio|per_task+expert_load_effective_rank|per_task,2,1,denoising_steps+expert_load,2,False,False,primary,per_task,watch_a1
395,136,0.811088295687885,0.009501851463704325,0.743879472693032,101,101,0.5,0.25569620253164554,0.48286087844922665,1.5405668711080964,531,18.0,14,12,0.8571428571428571,28,28,1.0,72,53,0.7361111111111112,218,210,0.963302752293578,18,17,0.9444444444444444,116,58,0.5,14,10,0.7142857142857143,0.5,0.8164695541825294,0.20195821628166866,7,mobility|per_task+flow_settling_log_ratio|per_task+expert_load_effective_rank|per_task+conditional_effective_rank|per_task,4,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,False,primary,per_task,watch_a1_uncapped
