head,frame,quantity,representation,direction,quantile,mode,external_reproduces_published,external_tp,external_fp,development_tp,development_fp
mobility|per_task,adjacent_query,mobility,L2,low,0.7,per_task,True,272,57,243,31
mobility|global,adjacent_query,mobility,L12,low,0.975,global,True,195,17,172,15
conditional_query_d1|per_task,adjacent_query,conditional_query_d1,front_median,low,0.95,per_task,True,155,22,147,20
conditional_query_d1|global,adjacent_query,conditional_query_d1,L5,low,0.95,global,True,194,31,178,30
partial_query_d1|per_task,adjacent_query,partial_query_d1,all_median,low,0.9,per_task,True,156,20,154,17
partial_query_d1|global,adjacent_query,partial_query_d1,L3,high,0.925,global,True,65,173,40,21
flow_path|per_task,denoising_steps,flow_path,L3,high,0.96,per_task,True,153,37,139,32
flow_path|global,denoising_steps,flow_path,L15,high,0.99,global,True,50,4,49,1
flow_endpoint|per_task,denoising_steps,flow_endpoint,L12,high,0.96,per_task,True,162,39,151,29
flow_endpoint|global,denoising_steps,flow_endpoint,back_median,high,0.99,global,True,59,9,57,3
flow_settling_log_ratio|per_task,denoising_steps,flow_settling_log_ratio,front_median,high,0.85,per_task,True,304,87,284,62
flow_settling_log_ratio|global,denoising_steps,flow_settling_log_ratio,L12,low,0.95,global,True,3,2,4,1
action_consensus|per_task,token_graph,action_consensus,L2,low,0.95,per_task,True,101,34,111,34
action_consensus|global,token_graph,action_consensus,L15,high,0.975,global,True,15,5,15,6
state_action_alignment|per_task,token_graph,state_action_alignment,L4,high,0.95,per_task,True,37,12,26,5
state_action_alignment|global,token_graph,state_action_alignment,L14,high,0.975,global,True,33,8,26,6
conditional_energy|per_task,token_graph,conditional_energy,L4,low,0.95,per_task,True,37,12,26,5
conditional_energy|global,token_graph,conditional_energy,L14,low,0.975,global,True,33,8,26,6
conditional_effective_rank|per_task,token_graph,conditional_effective_rank,L13,low,0.9,per_task,True,103,10,118,20
conditional_effective_rank|global,token_graph,conditional_effective_rank,L3,high,0.925,global,True,88,158,42,20
partial_edge_std|per_task,token_graph,partial_edge_std,L15,low,0.9,per_task,True,103,14,93,10
partial_edge_std|global,token_graph,partial_edge_std,L3,high,0.9,global,True,99,147,69,40
expert_load_effective_rank|per_task,expert_load,expert_load_effective_rank,L3,low,0.85,per_task,True,370,93,322,45
expert_load_effective_rank|global,expert_load,expert_load_effective_rank,L3,low,0.925,global,True,237,36,214,15
v7_guard|global,adjacent_query,v7_guard,v7_intrinsic_guard_bundle,n/a,,global,True,439,80,382,67
