tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode
288,66,0.5913757700205339,0.004611192622091804,0.8135593220338984,72,49,0.5950413223140496,0.25,0.5860821974457633,1.3881317767021681,354,18.0,14,12,0.8571428571428571,28,16,0.5714285714285714,72,42,0.5833333333333334,218,160,0.7339449541284404,18,11,0.6111111111111112,116,36,0.3103448275862069,14,8,0.5714285714285714,0.3103448275862069,0.6055334608798703,0.25719374995750244,7,conditional_energy|per_task+flow_settling_log_ratio|per_task,2,1,denoising_steps+token_graph,2,False,True,primary,per_task
288,66,0.5913757700205339,0.004611192622091804,0.8135593220338984,72,49,0.5950413223140496,0.25,0.5860821974457633,1.3881317767021681,354,18.0,14,12,0.8571428571428571,28,16,0.5714285714285714,72,42,0.5833333333333334,218,160,0.7339449541284404,18,11,0.6111111111111112,116,36,0.3103448275862069,14,8,0.5714285714285714,0.3103448275862069,0.6055334608798703,0.25719374995750244,7,flow_settling_log_ratio|per_task+state_action_alignment|per_task,2,1,denoising_steps+token_graph,2,False,True,primary,per_task
288,66,0.5913757700205339,0.004611192622091804,0.8135593220338984,72,49,0.5950413223140496,0.25,0.5860821974457633,1.3881317767021681,354,18.0,14,12,0.8571428571428571,28,16,0.5714285714285714,72,42,0.5833333333333334,218,160,0.7339449541284404,18,11,0.6111111111111112,116,36,0.3103448275862069,14,8,0.5714285714285714,0.3103448275862069,0.6055334608798703,0.25719374995750244,7,conditional_energy|per_task+flow_settling_log_ratio|per_task+state_action_alignment|per_task,3,1,denoising_steps+token_graph,2,False,True,primary,per_task
359,68,0.7371663244353183,0.004750925731852163,0.8407494145199064,73,47,0.6083333333333333,0.20334261838440112,0.5600623969059596,1.5011709751709632,427,19.0,14,4,0.2857142857142857,28,23,0.8214285714285714,72,46,0.6388888888888888,218,200,0.9174311926605505,18,16,0.8888888888888888,116,53,0.45689655172413796,14,10,0.7142857142857143,0.2857142857142857,0.6747905847987197,0.32075053455740277,7,expert_load_effective_rank|per_task+mobility|per_task,2,1,adjacent_query+expert_load,2,False,True,primary,per_task
352,66,0.7227926078028748,0.004611192622091804,0.8421052631578947,64,47,0.5765765765765766,0.18181818181818182,0.5751654561621264,1.4641095951362626,418,19.0,14,4,0.2857142857142857,28,19,0.6785714285714286,72,46,0.6388888888888888,218,191,0.8761467889908257,18,16,0.8888888888888888,116,59,0.5086206896551724,14,10,0.7142857142857143,0.2857142857142857,0.655873812142172,0.2970665489088013,7,conditional_energy|per_task+conditional_query_d1|per_task+expert_load_effective_rank|per_task,3,1,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task
352,66,0.7227926078028748,0.004611192622091804,0.8421052631578947,64,47,0.5765765765765766,0.18181818181818182,0.5751357990513608,1.4641850925414104,418,19.0,14,4,0.2857142857142857,28,19,0.6785714285714286,72,46,0.6388888888888888,218,191,0.8761467889908257,18,16,0.8888888888888888,116,59,0.5086206896551724,14,10,0.7142857142857143,0.2857142857142857,0.655873812142172,0.2970665489088013,7,conditional_query_d1|per_task+expert_load_effective_rank|per_task+state_action_alignment|per_task,3,1,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task
352,66,0.7227926078028748,0.004611192622091804,0.8421052631578947,64,47,0.5765765765765766,0.18181818181818182,0.5751357990513608,1.4641850925414104,418,19.0,14,4,0.2857142857142857,28,19,0.6785714285714286,72,46,0.6388888888888888,218,191,0.8761467889908257,18,16,0.8888888888888888,116,59,0.5086206896551724,14,10,0.7142857142857143,0.2857142857142857,0.655873812142172,0.2970665489088013,7,conditional_energy|per_task+conditional_query_d1|per_task+expert_load_effective_rank|per_task+state_action_alignment|per_task,4,1,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task
352,70,0.7227926078028748,0.00489065884161252,0.8341232227488151,61,48,0.5596330275229358,0.17329545454545456,0.575388444652531,1.4496697500634208,422,19.0,14,4,0.2857142857142857,28,20,0.7142857142857143,72,46,0.6388888888888888,218,191,0.8761467889908257,18,15,0.8333333333333334,116,59,0.5086206896551724,14,10,0.7142857142857143,0.2857142857142857,0.6530393450219906,0.28692993852582166,7,conditional_query_d1|per_task+expert_load_effective_rank|per_task+partial_edge_std|per_task,3,1,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task
351,62,0.7207392197125256,0.0043317264025710895,0.8498789346246973,61,44,0.580952380952381,0.1737891737891738,0.5856598358784499,1.4511477184532156,413,19.0,14,4,0.2857142857142857,28,19,0.6785714285714286,72,46,0.6388888888888888,218,191,0.8761467889908257,18,15,0.8333333333333334,116,59,0.5086206896551724,14,10,0.7142857142857143,0.2857142857142857,0.6479373042056641,0.28725223256930793,7,conditional_query_d1|per_task+expert_load_effective_rank|per_task,2,1,adjacent_query+expert_load,2,False,True,primary,per_task
345,69,0.7084188911704312,0.004820792286732341,0.8333333333333334,74,49,0.6016260162601627,0.2144927536231884,0.5468000769094548,1.5240183177065023,414,18.0,14,4,0.2857142857142857,28,21,0.75,72,47,0.6527777777777778,218,196,0.8990825688073395,18,15,0.8333333333333334,116,53,0.45689655172413796,14,9,0.6428571428571429,0.2857142857142857,0.6458088086020025,0.3072362577445299,7,conditional_energy|per_task+expert_load_effective_rank|per_task+flow_endpoint|per_task,3,1,denoising_steps+expert_load+token_graph,3,False,True,primary,per_task
345,69,0.7084188911704312,0.004820792286732341,0.8333333333333334,74,49,0.6016260162601627,0.2144927536231884,0.5468000769094548,1.5240183177065023,414,18.0,14,4,0.2857142857142857,28,21,0.75,72,47,0.6527777777777778,218,196,0.8990825688073395,18,15,0.8333333333333334,116,53,0.45689655172413796,14,9,0.6428571428571429,0.2857142857142857,0.6458088086020025,0.3072362577445299,7,expert_load_effective_rank|per_task+flow_endpoint|per_task+state_action_alignment|per_task,3,1,denoising_steps+expert_load+token_graph,3,False,True,primary,per_task
345,69,0.7084188911704312,0.004820792286732341,0.8333333333333334,74,49,0.6016260162601627,0.2144927536231884,0.5468000769094548,1.5240183177065023,414,18.0,14,4,0.2857142857142857,28,21,0.75,72,47,0.6527777777777778,218,196,0.8990825688073395,18,15,0.8333333333333334,116,53,0.45689655172413796,14,9,0.6428571428571429,0.2857142857142857,0.6458088086020025,0.3072362577445299,7,conditional_energy|per_task+expert_load_effective_rank|per_task+flow_endpoint|per_task+state_action_alignment|per_task,4,1,denoising_steps+expert_load+token_graph,3,False,True,primary,per_task
344,65,0.7063655030800822,0.004541326067211626,0.8410757946210269,72,46,0.6101694915254238,0.20930232558139536,0.5554794610812057,1.5141438226787467,409,18.0,14,4,0.2857142857142857,28,21,0.75,72,47,0.6527777777777778,218,195,0.8944954128440367,18,15,0.8333333333333334,116,53,0.45689655172413796,14,9,0.6428571428571429,0.2857142857142857,0.645153500607245,0.30625912111562664,7,expert_load_effective_rank|per_task+flow_endpoint|per_task,2,1,denoising_steps+expert_load,2,False,True,primary,per_task
