pool,mode,role,heads,n_frames,tp,fp,fits,precision,lift,low_prior_tp,low_prior_fp,worst_mode_coverage,mode_cv
primary,global,watch_a1,conditional_query_d1|global+expert_load_effective_rank|global,2,349,60,True,0.8533007334963325,1.497915066626822,62,32,0.4347826086956521,0.2176174946394199
primary,global,watch_a3_prefix,expert_load_effective_rank|global+mobility|global,2,363,50,True,0.8789346246973365,1.477330276855118,56,25,0.3571428571428571,0.2447640160093934
primary,global,reference_controller_trio,mobility|global+flow_path|global+expert_load_effective_rank|global,3,381,54,True,0.8758620689655172,1.488354997176317,59,29,0.3571428571428571,0.2152400046563267
secondary_with_v7,global,reference_controller_trio,mobility|global+flow_path|global+expert_load_effective_rank|global,3,381,54,True,0.8758620689655172,1.488354997176317,59,29,0.3571428571428571,0.2152400046563267
primary,global,watch_a2,mobility|global+flow_endpoint|global+expert_load_effective_rank|global+conditional_energy|global,4,378,60,True,0.863013698630137,1.4905098715691512,60,33,0.3571428571428571,0.2293125748984031
secondary_with_v7,global,watch_a2,mobility|global+flow_endpoint|global+expert_load_effective_rank|global+conditional_energy|global,4,378,60,True,0.863013698630137,1.4905098715691512,60,33,0.3571428571428571,0.2293125748984031
primary,per_task,same_frame_control_size2,conditional_query_d1|per_task+mobility|per_task,1,291,68,True,0.8105849582172702,1.3847272413684848,75,49,0.2727272727272727,0.2851580511137412
primary,per_task,same_frame_maxtp_size2,conditional_query_d1|per_task+mobility|per_task,1,291,68,True,0.8105849582172702,1.3847272413684848,75,49,0.2727272727272727,0.2851580511137412
primary,global,same_frame_control_size2,conditional_query_d1|global+mobility|global,1,249,39,True,0.8645833333333334,1.784393838714582,64,14,0.24,0.3114805160376289
primary,global,same_frame_maxtp_size2,conditional_query_d1|global+mobility|global,1,249,39,True,0.8645833333333334,1.784393838714582,64,14,0.24,0.3114805160376289
primary,global,watch_a3_prefix,expert_load_effective_rank|global,1,237,36,True,0.8681318681318682,1.293551706753098,30,22,0.2142857142857142,0.2171546303313692
primary,per_task,watch_a2,partial_query_d1|per_task+partial_edge_std|per_task,2,191,33,True,0.8526785714285714,1.3791474395987773,51,22,0.1739130434782608,0.2888524883649391
secondary_with_v7,global,watch_a1_uncapped,v7_guard|global+flow_endpoint|global+expert_load_effective_rank|global+partial_edge_std|global,4,489,256,False,0.6563758389261745,1.5477982876371772,130,213,0.76,0.0896245859269192
secondary_with_v7,global,watch_a1,v7_guard|global+expert_load_effective_rank|global,2,477,106,False,0.8181818181818182,1.4415750540555652,72,63,0.72,0.0867908021830171
secondary_with_v7,global,watch_a3,v7_guard|global+flow_endpoint|global,2,458,87,False,0.8403669724770643,1.4002111163916346,62,51,0.6966292134831461,0.085068436016794
secondary_with_v7,global,watch_a3_free,v7_guard|global+flow_endpoint|global+flow_path|global,2,464,89,False,0.8390596745027125,1.4078363783439272,63,53,0.6966292134831461,0.0834526076223462
secondary_with_v7,global,watch_b,flow_endpoint|global+flow_path|global+v7_guard|global,2,464,89,False,0.8390596745027125,1.4078363783439272,63,53,0.6966292134831461,0.0834526076223462
secondary_with_v7,global,watch_b4,flow_endpoint|global+flow_path|global+flow_settling_log_ratio|global+v7_guard|global,2,464,91,False,0.836036036036036,1.407711048664669,63,55,0.6966292134831461,0.0834526076223462
secondary_with_v7,global,watch_a3_prefix,v7_guard|global,1,439,80,False,0.8458574181117534,1.3957188919963397,57,44,0.64,0.1180827066715281
