tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,pool,mode,role,heads,n_heads,k,frames,n_frames,dev_tp,dev_fp,dev_worst_mode_coverage,dev_mode_cv,dev_fits_fp_cap,fits_ext_fp_cap,lift_vs_single_head_anchor,libero_goal__tp,libero_goal__fp,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_goal__precision,libero_goal__lift,libero_long__tp,libero_long__fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_long__precision,libero_long__lift,libero_object__tp,libero_object__fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_object__precision,libero_object__lift,libero_spatial__tp,libero_spatial__fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp,libero_spatial__precision,libero_spatial__lift
101,34,0.17907801418439717,0.002261239691407289,0.7481481481481481,35,22,0.6140350877192983,0.3465346534653465,0.49748101671935324,1.5038727569582924,135,19.0,14,3,0.21428571428571427,26,1,0.038461538461538464,89,16,0.1797752808988764,241,51,0.21161825726141079,25,10,0.4,143,11,0.07692307692307693,23,8,0.34782608695652173,0.038461538461538464,0.20984142211244836,0.5785308875502425,7,primary,per_task,single,action_consensus|per_task,1,1,token_graph,1,111,34,0.0714285714285714,0.5856318320282831,True,True,-0.2601946701854929,31,8,16,5,0.7948717948717948,2.012456314873571,20,20,8,14,0.5,1.4754525179489846,19,4,9,2,0.8260869565217391,1.9746087483563015,31,2,2,1,0.9393939393939394,1.0847295013417553
103,10,0.18262411347517732,0.0006650704974727321,0.911504424778761,25,7,0.78125,0.24271844660194175,0.6906157065227762,1.3198431720705444,113,21.0,14,1,0.07142857142857142,26,1,0.038461538461538464,89,11,0.12359550561797752,241,67,0.27800829875518673,25,3,0.12,143,19,0.13286713286713286,23,0,0.0,0.0,0.10919443530434385,0.7562601093849102,7,primary,per_task,single,conditional_effective_rank|per_task,1,1,token_graph,1,118,20,0.0,0.751218934851617,True,True,-0.4442242550732409,40,0,22,0,1.0,1.7979544683123092,24,10,3,7,0.7058823529411765,1.3636408540442417,0,0,0,0,0.0,,39,0,0,0,1.0,1.0211528310223592
37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327506,49,17.0,14,0,0.0,26,2,0.07692307692307693,89,7,0.07865168539325842,241,25,0.1037344398340249,25,3,0.12,143,0,0.0,23,0,0.0,0.0,0.05418702887862289,0.9016741493222613,7,primary,per_task,single,conditional_energy|per_task,1,1,token_graph,1,26,5,0.0,1.4253090719151795,True,True,0.16054152008896527,25,2,18,2,0.9259259259259259,2.7809602567393026,10,7,0,6,0.5882352941176471,1.1402507563703828,2,1,1,0,0.6666666666666666,1.4337089426995924,0,2,0,2,0.0,0.0
155,22,0.274822695035461,0.0014631550944400106,0.8757062146892656,37,12,0.7551020408163265,0.23870967741935484,0.6080416798227896,1.4402075445625462,177,21.0,14,3,0.21428571428571427,26,3,0.11538461538461539,89,22,0.24719101123595505,241,91,0.3775933609958506,25,4,0.16,143,17,0.11888111888111888,23,12,0.5217391304347826,0.11538461538461539,0.2507249930311481,0.5535069931149468,7,primary,per_task,single,conditional_query_d1|per_task,1,1,adjacent_query,1,147,20,0.1071428571428571,0.6077010570676759,True,True,-0.3238598825812391,33,2,22,2,0.9428571428571428,2.1810252555035654,64,13,14,8,0.8311688311688312,1.831935427922822,15,3,1,2,0.8333333333333334,1.194502136940354,43,4,0,0,0.9148936170212766,0.9555637023024386
370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162688757758398,1.5479067335088585,463,18.0,14,4,0.2857142857142857,26,17,0.6538461538461539,89,56,0.6292134831460674,241,202,0.8381742738589212,25,22,0.88,143,60,0.4195804195804196,23,9,0.391304347826087,0.2857142857142857,0.5854047091388478,0.36079407317585327,7,primary,per_task,single,expert_load_effective_rank|per_task,1,1,expert_load,1,322,45,0.2142857142857142,0.4025311141838932,True,False,-0.21616069363492674,95,10,46,7,0.9047619047619048,2.2999941522288956,120,57,32,44,0.6779661016949152,1.762525461177432,18,9,6,5,0.6666666666666666,1.6682426177287843,137,17,13,13,0.8896103896103896,1.1526735820398826
162,39,0.2872340425531915,0.0025937749401436553,0.8059701492537313,42,23,0.6461538461538462,0.25925925925925924,0.5578528296792264,1.4447720014563268,201,19.0,14,4,0.2857142857142857,26,6,0.23076923076923078,89,23,0.25842696629213485,241,94,0.3900414937759336,25,14,0.56,143,11,0.07692307692307693,23,10,0.43478260869565216,0.07692307692307693,0.3195225231671877,0.4546023860994844,7,primary,per_task,single,flow_endpoint|per_task,1,1,denoising_steps,1,151,29,0.1034482758620689,0.6227388130733819,True,True,-0.3192954256874585,46,7,31,6,0.8679245283018868,2.968988428196216,33,16,3,8,0.673469387755102,1.292374017741076,23,6,2,3,0.7931034482758621,1.3525537830294552,60,10,6,6,0.8571428571428571,1.1091464144860577
153,37,0.2712765957446808,0.0024607608406491087,0.8052631578947368,43,21,0.671875,0.28104575163398693,0.58461568341509,1.37742311870717,190,18.0,14,3,0.21428571428571427,26,0,0.0,89,25,0.2808988764044944,241,99,0.4107883817427386,25,10,0.4,143,8,0.055944055944055944,23,8,0.34782608695652173,0.0,0.24424901647621786,0.6191355362932719,7,primary,per_task,single,flow_path|per_task,1,1,denoising_steps,1,139,32,0.0357142857142857,0.6230295034495292,True,True,-0.38664430843661535,38,6,31,6,0.8636363636363636,3.7726839100827614,9,16,1,7,0.36,0.962621205309631,27,8,1,2,0.7714285714285715,1.120859162628629,79,7,10,6,0.9186046511627907,1.1692195341795781
304,87,0.5390070921985816,0.00578611332801277,0.7774936061381074,83,62,0.5724137931034483,0.2730263157894737,0.5501162247905625,1.4133260774741025,391,17.0,14,8,0.5714285714285714,26,9,0.34615384615384615,89,39,0.43820224719101125,241,162,0.6721991701244814,25,20,0.8,143,50,0.34965034965034963,23,14,0.6086956521739131,0.34615384615384615,0.5409042623888819,0.2922721004062495,7,primary,per_task,single,flow_settling_log_ratio|per_task,1,1,denoising_steps,1,284,62,0.3103448275862069,0.2602620718943839,True,False,-0.35074134966968273,61,16,53,16,0.7922077922077922,4.742250706944213,84,37,13,26,0.6942148760330579,1.2959911179288903,32,27,12,20,0.5423728813559322,1.721138486850722,127,7,5,0,0.9477611940298507,1.06880090497806
272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,329,20.0,14,4,0.2857142857142857,26,12,0.46153846153846156,89,43,0.48314606741573035,241,152,0.6307053941908713,25,10,0.4,143,36,0.2517482517482518,23,12,0.5217391304347826,0.2517482517482518,0.43351308443462616,0.2837560047222897,7,primary,per_task,single,mobility|per_task,1,1,adjacent_query,1,243,31,0.1428571428571428,0.4520119413418959,True,True,-0.37546267343484696,78,3,32,2,0.9629629629629629,1.534225254569732,94,42,38,33,0.6911764705882353,1.996015493007073,15,2,2,1,0.8823529411764706,1.2737760097874788,85,10,0,7,0.8947368421052632,0.9864193633656312
103,14,0.18262411347517732,0.000931098696461825,0.8803418803418803,29,10,0.7435897435897436,0.2815533980582524,0.6360839097041088,1.384002750126779,117,20.0,14,1,0.07142857142857142,26,3,0.11538461538461539,89,13,0.14606741573033707,241,59,0.24481327800829875,25,3,0.12,143,23,0.16083916083916083,23,1,0.043478260869565216,0.043478260869565216,0.12885875746579267,0.46942082509447397,7,primary,per_task,single,partial_edge_std|per_task,1,1,token_graph,1,93,10,0.0,0.6838877181374162,True,True,-0.3800646770170062,36,3,26,1,0.9230769230769231,2.5725099558005353,24,6,3,5,0.8,1.3755615388474154,1,0,0,0,1.0,1.0454545454545454,42,5,0,4,0.8936170212765957,0.9994345891848293
