episode_id,init_state_id,flow_noise_seed,condition_present_in_old_B,success,failure_family,queries,score_max,raw_reject_queries,formal_alarm_queries,any_raw_reject,formal_alarm,missed_grasp_queries,borderline_15mm_queries,nearest_alarm_minus_missed_query,raw_within_5q_before_or_at_miss,alarm_within_5q_before_or_at_miss,alarm_within_5q_after_miss
0,0,1000,True,False,target_missed_grasp_proxy,52,1.0827665958765453,"[10,30]",[],True,False,[31],[],,True,False,False
1,0,1001,True,True,success,43,1.095585478449348,[10],[],True,False,[],[],,False,False,False
2,0,1002,True,True,success,37,1.0606451059308768,[27],[],True,False,[],[],,False,False,False
3,0,1003,True,False,target_missed_grasp_proxy,52,1.2724083487211626,"[29,30,32,38,40,41,42]","[30,41,42]",True,True,[42],[31],0,True,True,False
4,0,1004,True,True,success,37,1.1994862983405163,[11],[],True,False,[],[],,False,False,False
5,0,1005,True,False,other_failure,52,1.0636195952151657,[10],[],True,False,[],[],,False,False,False
6,0,1006,True,True,success,46,1.043654623236244,[],[],False,False,[],[],,False,False,False
7,0,1007,True,True,success,39,1.0527194492774605,[11],[],True,False,[],[],,False,False,False
8,1,1000,False,False,target_missed_grasp_proxy,52,1.0362692855984725,[],[],False,False,[17],[],,False,False,False
9,1,1001,False,True,success,38,1.1171642318157986,"[11,28]",[],True,False,[],[],,False,False,False
10,1,1002,False,False,other_failure,52,1.0484375183359522,"[11,50]",[],True,False,[],[],,False,False,False
11,1,1003,False,True,success,47,1.037176339241329,[],[],False,False,[],[17],,False,False,False
12,1,1004,False,True,success,37,1.0912263508380946,"[11,28]",[],True,False,[],[],,False,False,False
13,1,1005,False,False,target_missed_grasp_proxy,52,1.0669079463009232,[18],[],True,False,[32],[],,False,False,False
14,1,1006,False,False,target_missed_grasp_proxy,52,1.1208495513792942,[30],[],True,False,[30],[],,True,False,False
15,1,1007,False,False,other_failure,52,1.0358782854194795,[],[],False,False,[],[],,False,False,False
16,2,1000,False,False,other_failure,52,1.101369960643287,[11],[],True,False,[],[],,False,False,False
17,2,1001,False,False,other_failure,52,1.0535182722083227,[13],[],True,False,[],[],,False,False,False
18,2,1002,False,False,other_failure,52,1.047000168670663,[11],[],True,False,[],[],,False,False,False
19,2,1003,False,False,target_missed_grasp_proxy,52,1.0720963636519574,"[29,30,32]",[30],True,True,[30],[],0,True,True,False
20,2,1004,False,False,other_failure,52,1.0984161791318374,[11],[],True,False,[],[],,False,False,False
21,2,1005,False,False,other_failure,52,1.0569424076672367,"[27,45]",[],True,False,[],[],,False,False,False
22,2,1006,False,False,target_missed_grasp_proxy,52,1.0827067053375385,[19],[],True,False,[30],[],,False,False,False
23,2,1007,False,False,target_missed_grasp_proxy,52,1.0878067253404562,[11],[],True,False,[37],[],,False,False,False
24,3,1000,True,False,other_failure,52,1.1298310800712865,"[11,43]",[],True,False,[],[],,False,False,False
25,3,1001,True,False,other_failure,52,1.073821668219688,[11],[],True,False,[],[],,False,False,False
26,3,1002,True,False,target_missed_grasp_proxy,52,1.2015825679984324,"[11,35]",[],True,False,[36],[],,True,False,False
27,3,1003,True,False,other_failure,52,1.0469092905372308,[11],[],True,False,[],[],,False,False,False
28,3,1004,True,False,target_missed_grasp_proxy,52,1.179335008837576,[11],[],True,False,[35],[],,False,False,False
29,3,1005,True,False,other_failure,52,1.1178476451968626,[11],[],True,False,[],[],,False,False,False
30,3,1006,True,False,other_failure,52,1.0335413996457887,[],[],False,False,[],[],,False,False,False
31,3,1007,True,True,success,37,1.1647866488615708,"[11,29]",[],True,False,[],[],,False,False,False
32,4,1000,False,False,target_missed_grasp_proxy,52,1.0583129298159741,"[32,37]",[],True,False,[35],[],,True,False,False
33,4,1001,False,True,success,39,1.0773169640666347,"[10,30]",[],True,False,[],[],,False,False,False
34,4,1002,False,True,success,39,1.104507159842893,"[10,28]",[],True,False,[],[],,False,False,False
35,4,1003,False,True,success,40,1.0068147367355422,[],[],False,False,[],[],,False,False,False
