parent,phase,query,label,instantaneous_screen,formal_screen,fp32_screen,formal_all_below,action_rms,gripper_sign_changes,action_rms_vs_joint,actions_exact_native,actions_exact_joint,top4_changed_fraction,top4_change_vs_joint,raw_total_relative,effective_total_relative,block_relative,projection_relative,velocity_relative,raw_to_effective_rms
plus-task06-init026,before_alarm,24,output_only,False,False,False,False,0.0026328998133480067,0,0.0,False,True,0.1575,0.5525,0.03813314925575888,0.08788390429264535,0.012945175443526281,0.011535003073219311,0.015041602513283044,0.04054454399123797
plus-task06-init026,first_accepted,30,native,False,False,False,False,0.0,0,0.002634067006440413,True,False,0.0,0.4525,0.0,0.0,0.0,0.0,0.0,0.0
plus-task06-init026,first_accepted,30,joint,True,True,True,False,0.002634067006440413,0,0.0,False,True,0.4525,0.0,0.06930551407550564,0.06930551407550564,0.012625180626001455,0.01252304542517729,0.01916924520026547,0.0
plus-task06-init026,first_accepted,30,route_only,True,True,True,False,0.0,0,0.002634067006440413,True,False,0.4325,0.135,0.06648153001498444,0.0,0.0,0.0,0.0,0.03193715412669949
plus-task06-init026,first_accepted,30,output_only,False,False,False,False,0.002634067006440413,0,0.0,False,True,0.1125,0.435,0.034574250714690856,0.06930551407550564,0.012625180626001455,0.01252304542517729,0.01916924520026547,0.03213321478569752
plus-task06-init026,last_accepted,41,native,False,False,False,False,0.0,0,0.002140799385498327,True,False,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
plus-task06-init026,last_accepted,41,joint,True,True,True,False,0.0021407993854983265,0,0.0,False,True,0.48,0.0,0.07653291956621247,0.07653291956621247,0.012075435958617577,0.011512125918229347,0.016954262980233652,0.0
plus-task06-init026,last_accepted,41,route_only,True,True,True,False,0.0,0,0.002140799385498327,True,False,0.4525,0.145,0.07342795948126404,0.0,0.0,0.0,0.0,0.035372067368832825
plus-task06-init026,last_accepted,41,output_only,False,False,False,False,0.0021407993854983265,0,0.0,False,True,0.1525,0.4575,0.03313758918967873,0.07653291956621247,0.012075435958617577,0.011512125918229347,0.016954262980233652,0.03559135923308057
plus-task03-init026,before_alarm,28,native,False,False,False,False,0.0,0,0.003505382574909285,True,False,0.0,0.5475,0.0,0.0,0.0,0.0,0.0,0.0
plus-task03-init026,before_alarm,28,joint,True,True,True,False,0.0035053825749092847,0,0.0,False,True,0.5475,0.0,0.07873340432329909,0.07873340432329909,0.013156388958011744,0.012612760783738053,0.021892861104072646,0.0
plus-task03-init026,before_alarm,28,route_only,True,True,True,False,0.0,0,0.003505382574909285,True,False,0.5225,0.1525,0.07531449933678953,0.0,0.0,0.0,0.0,0.03284274462554004
plus-task03-init026,before_alarm,28,output_only,False,False,False,False,0.0035053825749092847,0,0.0,False,True,0.105,0.5325,0.031114924956460007,0.07873340432329909,0.013156388958011744,0.012612760783738053,0.021892861104072646,0.03321453415193989
plus-task03-init026,first_accepted,35,native,False,False,False,False,0.0,0,0.0025875195301851696,True,False,0.0,0.5075,0.0,0.0,0.0,0.0,0.0,0.0
plus-task03-init026,first_accepted,35,joint,True,True,True,False,0.0025875195301851696,0,0.0,False,True,0.5075,0.0,0.06995515275544438,0.06995515275544438,0.01219549974205444,0.011009051172863162,0.013765944907034365,0.0
plus-task03-init026,first_accepted,35,route_only,True,True,True,False,0.0,0,0.0025875195301851696,True,False,0.4675,0.1525,0.06724462104816387,0.0,0.0,0.0,0.0,0.029034733859140464
plus-task03-init026,first_accepted,35,output_only,False,False,False,False,0.0025875195301851696,0,0.0,False,True,0.13,0.4925,0.03323671204451813,0.06995515275544438,0.01219549974205444,0.011009051172863162,0.013765944907034365,0.029199781892790246
plus-task03-init026,last_accepted,45,native,False,False,False,True,0.0,0,0.004872052459958727,True,False,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0
plus-task03-init026,last_accepted,45,joint,True,True,True,True,0.004872052459958727,0,0.0,False,True,0.7225,0.0,0.09705767482003724,0.09705767482003724,0.013701641783198317,0.013318441587925304,0.014277217520026782,0.0
plus-task03-init026,last_accepted,45,route_only,True,True,True,True,0.0,0,0.004872052459958727,True,False,0.7125,0.15,0.09568688798193573,0.0,0.0,0.0,0.0,0.04013921554057644
plus-task03-init026,last_accepted,45,output_only,False,False,False,True,0.004872052459958727,0,0.0,False,True,0.1375,0.6925,0.03689505455510228,0.09705767482003724,0.013701641783198317,0.013318441587925304,0.014277217520026782,0.03939323905260313
