suite,task,tasks_in_suite,episodes
goal,goal/t00__open_the_middle_drawer_of_the_cabinet,10,16
goal,goal/t01__put_the_bowl_on_the_stove,10,16
goal,goal/t02__put_the_wine_bottle_on_top_of_the_cabinet,10,16
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,10,16
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,10,16
goal,goal/t05__push_the_plate_to_the_front_of_the_stove,10,16
goal,goal/t06__put_the_cream_cheese_in_the_bowl,10,16
goal,goal/t07__turn_on_the_stove,10,16
goal,goal/t08__put_the_bowl_on_the_plate,10,16
goal,goal/t09__put_the_wine_bottle_on_the_rack,10,16
object,object/t00__pick_up_the_alphabet_soup_and_place_it_in_the_basket,10,16
object,object/t01__pick_up_the_cream_cheese_and_place_it_in_the_basket,10,16
object,object/t02__pick_up_the_salad_dressing_and_place_it_in_the_basket,10,16
object,object/t03__pick_up_the_bbq_sauce_and_place_it_in_the_basket,10,16
object,object/t04__pick_up_the_ketchup_and_place_it_in_the_basket,10,16
object,object/t05__pick_up_the_tomato_sauce_and_place_it_in_the_basket,10,16
object,object/t06__pick_up_the_butter_and_place_it_in_the_basket,10,16
object,object/t07__pick_up_the_milk_and_place_it_in_the_basket,10,16
object,object/t08__pick_up_the_chocolate_pudding_and_place_it_in_the_basket,10,16
object,object/t09__pick_up_the_orange_juice_and_place_it_in_the_basket,10,16
spatial,spatial/t00__pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,10,16
spatial,spatial/t01__pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,10,16
spatial,spatial/t02__pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,10,16
spatial,spatial/t03__pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,10,16
spatial,spatial/t04__pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,10,16
spatial,spatial/t05__pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,16
spatial,spatial/t06__pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,10,16
spatial,spatial/t07__pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,16
spatial,spatial/t08__pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,10,16
spatial,spatial/t09__pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,10,16
long,long/t08__two_moka_pots,1,16
