suite,metric,layer_group,query,denoise_step,token_position,previous_token_position,task_mean,task_sd,tasks
goal,top1,front_2_5,0,0,1,,0.03749600052833557,0.00014270094106905162,10
goal,top1,front_2_5,0,0,2,,0.036420151591300964,0.00011288564564893022,10
goal,top1,front_2_5,0,0,3,,0.03501690551638603,0.00017657349235378206,10
goal,top1,front_2_5,0,0,4,,0.03541812300682068,0.00016755270189605653,10
goal,top1,front_2_5,0,0,5,,0.03508775681257248,0.0001672067737672478,10
goal,top1,front_2_5,0,0,6,,0.035169415175914764,0.00013390016101766378,10
goal,top1,front_2_5,0,0,7,,0.03512166813015938,0.00019670353503897786,10
goal,top1,front_2_5,0,0,8,,0.03601346164941788,0.000142883654916659,10
goal,top1,front_2_5,0,0,9,,0.035870276391506195,0.0001680797868175432,10
goal,top1,front_2_5,0,0,10,,0.03555035591125488,0.00022885677753947675,10
goal,top1,front_2_5,0,1,1,,0.037906963378190994,0.00017831724835559726,10
goal,top1,front_2_5,0,1,2,,0.036977529525756836,0.00018606689991429448,10
goal,top1,front_2_5,0,1,3,,0.0347440242767334,0.00018016165995504707,10
goal,top1,front_2_5,0,1,4,,0.035746581852436066,0.0001679256238276139,10
goal,top1,front_2_5,0,1,5,,0.03491119295358658,0.00019900132610928267,10
goal,top1,front_2_5,0,1,6,,0.03556229919195175,7.81517883297056e-05,10
goal,top1,front_2_5,0,1,7,,0.0350656658411026,0.00027435729862190783,10
goal,top1,front_2_5,0,1,8,,0.03564949706196785,0.00015593998250551522,10
goal,top1,front_2_5,0,1,9,,0.03602555766701698,0.00014834653120487928,10
goal,top1,front_2_5,0,1,10,,0.03554787486791611,0.0003513651608955115,10
goal,top1,front_2_5,0,2,1,,0.037992436438798904,0.0001959163200808689,10
goal,top1,front_2_5,0,2,2,,0.03705925494432449,0.00017655218834988773,10
goal,top1,front_2_5,0,2,3,,0.034827571362257004,0.00017269021191168576,10
goal,top1,front_2_5,0,2,4,,0.03558972850441933,0.0002093629154842347,10
goal,top1,front_2_5,0,2,5,,0.035097695887088776,0.00021193544671405107,10
goal,top1,front_2_5,0,2,6,,0.035384759306907654,0.00012852052168454975,10
goal,top1,front_2_5,0,2,7,,0.03555085510015488,0.00021082004241179675,10
goal,top1,front_2_5,0,2,8,,0.036179810762405396,0.00016197013610508293,10
goal,top1,front_2_5,0,2,9,,0.035883646458387375,0.0002444591373205185,10
goal,top1,front_2_5,0,2,10,,0.03568406403064728,0.00035251519875600934,10
goal,top1,front_2_5,0,3,1,,0.03819650411605835,0.0002871380129363388,10
goal,top1,front_2_5,0,3,2,,0.03744009882211685,0.00021231819118838757,10
goal,top1,front_2_5,0,3,3,,0.035111960023641586,0.00025535860913805664,10
goal,top1,front_2_5,0,3,4,,0.035828493535518646,0.00024149140517693013,10
goal,top1,front_2_5,0,3,5,,0.035044290125370026,0.0002315230667591095,10
goal,top1,front_2_5,0,3,6,,0.03543633222579956,0.00017045771528501064,10
goal,top1,front_2_5,0,3,7,,0.035578250885009766,0.00021591296535916626,10
goal,top1,front_2_5,0,3,8,,0.035937171429395676,0.00018814420036505908,10
goal,top1,front_2_5,0,3,9,,0.03579605370759964,0.00028380335425026715,10
goal,top1,front_2_5,0,3,10,,0.03581637516617775,0.0003446091723162681,10
goal,top1,front_2_5,0,4,1,,0.03892601281404495,0.0004592130717355758,10
goal,top1,front_2_5,0,4,2,,0.03764712065458298,0.0002898711245507002,10
goal,top1,front_2_5,0,4,3,,0.03532743826508522,0.00024453093647025526,10
goal,top1,front_2_5,0,4,4,,0.03575430437922478,0.00028059270698577166,10
goal,top1,front_2_5,0,4,5,,0.03521459177136421,0.00021366264263633639,10
goal,top1,front_2_5,0,4,6,,0.03548472002148628,0.00017585977911949158,10
goal,top1,front_2_5,0,4,7,,0.0357772633433342,0.00029210923821665347,10
goal,top1,front_2_5,0,4,8,,0.03574259579181671,0.00018682236259337515,10
goal,top1,front_2_5,0,4,9,,0.03592396527528763,0.0005132527439855039,10
goal,top1,front_2_5,0,4,10,,0.03644280880689621,0.0002635947603266686,10
goal,top1,front_2_5,0,5,1,,0.03931235522031784,0.0005490122712217271,10
goal,top1,front_2_5,0,5,2,,0.03791362792253494,0.0004146885476075113,10
goal,top1,front_2_5,0,5,3,,0.03570161014795303,0.00029987850575707853,10
goal,top1,front_2_5,0,5,4,,0.03579677268862724,0.0003752772754523903,10
goal,top1,front_2_5,0,5,5,,0.03529975563287735,0.00020665554620791227,10
goal,top1,front_2_5,0,5,6,,0.0357234850525856,0.0002479818358551711,10
goal,top1,front_2_5,0,5,7,,0.036095332354307175,0.0004295530670788139,10
goal,top1,front_2_5,0,5,8,,0.03564555197954178,0.00013851378753315657,10
goal,top1,front_2_5,0,5,9,,0.03596764802932739,0.0007255696109496057,10
goal,top1,front_2_5,0,5,10,,0.03648514673113823,0.0002955770178232342,10
goal,top1,front_2_5,0,6,1,,0.04024143144488335,0.0005987441982142627,10
goal,top1,front_2_5,0,6,2,,0.03835568577051163,0.0005256595322862267,10
goal,top1,front_2_5,0,6,3,,0.035900332033634186,0.0003610739659052342,10
goal,top1,front_2_5,0,6,4,,0.035787928849458694,0.0004469681589398533,10
goal,top1,front_2_5,0,6,5,,0.035206783562898636,0.00019149816944263875,10
goal,top1,front_2_5,0,6,6,,0.03547179326415062,0.00015250056458171457,10
goal,top1,front_2_5,0,6,7,,0.03611353412270546,0.000515350082423538,10
goal,top1,front_2_5,0,6,8,,0.03560151532292366,0.00019677018281072378,10
goal,top1,front_2_5,0,6,9,,0.03588074445724487,0.0006376285455189645,10
goal,top1,front_2_5,0,6,10,,0.036954015493392944,0.00034359496203251183,10
goal,top1,front_2_5,0,7,1,,0.0411931537091732,0.0007039994816295803,10
goal,top1,front_2_5,0,7,2,,0.0386408306658268,0.0005057465750724077,10
goal,top1,front_2_5,0,7,3,,0.03642451763153076,0.00035979377571493387,10
goal,top1,front_2_5,0,7,4,,0.03593682497739792,0.0005960917915217578,10
goal,top1,front_2_5,0,7,5,,0.03516713157296181,0.00014556985115632415,10
goal,top1,front_2_5,0,7,6,,0.035350993275642395,0.0001835371949709952,10
goal,top1,front_2_5,0,7,7,,0.035927511751651764,0.0006777631933800876,10
goal,top1,front_2_5,0,7,8,,0.03565874695777893,0.00027898349799215794,10
goal,top1,front_2_5,0,7,9,,0.035866037011146545,0.0005871002795174718,10
goal,top1,front_2_5,0,7,10,,0.03708990663290024,0.00045582608436234295,10
goal,top1,front_2_5,0,8,1,,0.041044868528842926,0.0008196557755582035,10
goal,top1,front_2_5,0,8,2,,0.038496702909469604,0.0002927300811279565,10
goal,top1,front_2_5,0,8,3,,0.03681211173534393,0.0003829856577794999,10
goal,top1,front_2_5,0,8,4,,0.035919684916734695,0.000547348870895803,10
goal,top1,front_2_5,0,8,5,,0.03511590510606766,0.00013319391291588545,10
goal,top1,front_2_5,0,8,6,,0.03528702259063721,0.00029653043020516634,10
goal,top1,front_2_5,0,8,7,,0.03592582419514656,0.0005863214610144496,10
goal,top1,front_2_5,0,8,8,,0.036060433834791183,0.0004192907072138041,10
goal,top1,front_2_5,0,8,9,,0.03591823950409889,0.0003673643514048308,10
goal,top1,front_2_5,0,8,10,,0.03768052160739899,0.0006480285082943738,10
goal,top1,front_2_5,0,9,1,,0.041583795100450516,0.0009631185093894601,10
goal,top1,front_2_5,0,9,2,,0.03935648128390312,0.00040151920984499156,10
goal,top1,front_2_5,0,9,3,,0.03795566409826279,0.00045294364099390805,10
goal,top1,front_2_5,0,9,4,,0.03691381961107254,0.0006912365788593888,10
goal,top1,front_2_5,0,9,5,,0.036133866757154465,0.00026413300656713545,10
goal,top1,front_2_5,0,9,6,,0.035744890570640564,0.00041352890548296273,10
goal,top1,front_2_5,0,9,7,,0.03626840189099312,0.00037726128357462585,10
goal,top1,front_2_5,0,9,8,,0.036601558327674866,0.0004179240786470473,10
goal,top1,front_2_5,0,9,9,,0.036375559866428375,0.00024435564409941435,10
goal,top1,front_2_5,0,9,10,,0.03783418983221054,0.0005653607076965272,10
goal,top1,front_2_5,1,0,1,,0.03730616718530655,0.0006313719786703587,10
goal,top1,front_2_5,1,0,2,,0.03590729832649231,0.0002124354796251282,10
goal,top1,front_2_5,1,0,3,,0.03484027087688446,0.0002304034715052694,10
goal,top1,front_2_5,1,0,4,,0.03488784283399582,0.0002837865031324327,10
goal,top1,front_2_5,1,0,5,,0.0353846549987793,0.00017910391034092754,10
goal,top1,front_2_5,1,0,6,,0.035097431391477585,0.0002450377796776593,10
goal,top1,front_2_5,1,0,7,,0.034835971891880035,0.0003126096853520721,10
goal,top1,front_2_5,1,0,8,,0.03543971851468086,0.00026900984812527895,10
goal,top1,front_2_5,1,0,9,,0.035316165536642075,0.0004217037931084633,10
goal,top1,front_2_5,1,0,10,,0.035283710807561874,0.0002749197883531451,10
goal,top1,front_2_5,1,1,1,,0.03769274801015854,0.0007513306918554008,10
goal,top1,front_2_5,1,1,2,,0.035881806164979935,0.00027509109349921346,10
goal,top1,front_2_5,1,1,3,,0.03506525605916977,0.00019523125956766307,10
goal,top1,front_2_5,1,1,4,,0.03496379777789116,0.0002869421732611954,10
goal,top1,front_2_5,1,1,5,,0.03540775179862976,0.00010709799244068563,10
goal,top1,front_2_5,1,1,6,,0.03528318926692009,0.00027231965214014053,10
goal,top1,front_2_5,1,1,7,,0.034737132489681244,0.00024409894831478596,10
goal,top1,front_2_5,1,1,8,,0.035301823168992996,0.0002421779208816588,10
goal,top1,front_2_5,1,1,9,,0.035913657397031784,0.00039811854367144406,10
goal,top1,front_2_5,1,1,10,,0.03507351875305176,0.00018543667101766914,10
goal,top1,front_2_5,1,2,1,,0.03803159296512604,0.0007954553584568202,10
goal,top1,front_2_5,1,2,2,,0.035983968526124954,0.0002890410542022437,10
goal,top1,front_2_5,1,2,3,,0.03487607091665268,0.00020302734628785402,10
goal,top1,front_2_5,1,2,4,,0.03460304066538811,0.0002542173897381872,10
goal,top1,front_2_5,1,2,5,,0.03565420210361481,0.0001596668444108218,10
goal,top1,front_2_5,1,2,6,,0.03515523672103882,0.0001658703840803355,10
goal,top1,front_2_5,1,2,7,,0.03473503142595291,0.00022395398991648108,10
goal,top1,front_2_5,1,2,8,,0.03508932888507843,0.00019250641344115138,10
goal,top1,front_2_5,1,2,9,,0.035878218710422516,0.0004005846567451954,10
goal,top1,front_2_5,1,2,10,,0.03542535379528999,0.00023042746761348099,10
goal,top1,front_2_5,1,3,1,,0.03821595013141632,0.0007375289569608867,10
goal,top1,front_2_5,1,3,2,,0.0361037440598011,0.0003866233746521175,10
goal,top1,front_2_5,1,3,3,,0.03479901701211929,0.00020597445836756378,10
goal,top1,front_2_5,1,3,4,,0.034726910293102264,0.00021962300525046885,10
goal,top1,front_2_5,1,3,5,,0.03591502457857132,0.00023080104438122362,10
goal,top1,front_2_5,1,3,6,,0.035196755081415176,0.00019401124154683203,10
goal,top1,front_2_5,1,3,7,,0.034645695239305496,0.00015326467109844089,10
goal,top1,front_2_5,1,3,8,,0.035500604659318924,0.0002809731522575021,10
goal,top1,front_2_5,1,3,9,,0.03610998019576073,0.0005464102723635733,10
goal,top1,front_2_5,1,3,10,,0.03567212074995041,0.0003705208655446768,10
goal,top1,front_2_5,1,4,1,,0.03843449428677559,0.0006293051992543042,10
goal,top1,front_2_5,1,4,2,,0.036052554845809937,0.0004152128240093589,10
