setting,method,budget,checkpoint,available_episodes,retained,coverage,retained_failures,selective_risk,detected_failures,false_alarms
cohort_transfer,entropy_high__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,entropy_high__current,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,entropy_high__current,0.01,q7,15600,15588,0.9992307692307693,564,0.036181678214010776,0,12
cohort_transfer,entropy_high__current,0.01,q11,15600,15488,0.9928205128205129,564,0.036415289256198344,0,112
cohort_transfer,entropy_high__current,0.01,q15,15600,15488,0.9928205128205129,564,0.036415289256198344,0,112
cohort_transfer,entropy_high__current,0.01,q19,15600,15488,0.9928205128205129,564,0.036415289256198344,0,112
cohort_transfer,entropy_high__current,0.01,full_rollout,15600,15488,0.9928205128205129,564,0.036415289256198344,0,112
cohort_transfer,entropy_high__mean,0.01,q0,15600,15588,0.9992307692307693,564,0.036181678214010776,0,12
cohort_transfer,entropy_high__mean,0.01,q3,15600,15453,0.990576923076923,564,0.0364977674238012,0,147
cohort_transfer,entropy_high__mean,0.01,q7,15600,15453,0.990576923076923,564,0.0364977674238012,0,147
cohort_transfer,entropy_high__mean,0.01,q11,15600,15451,0.9904487179487179,564,0.03650249174810692,0,149
cohort_transfer,entropy_high__mean,0.01,q15,15600,15451,0.9904487179487179,564,0.03650249174810692,0,149
cohort_transfer,entropy_high__mean,0.01,q19,15600,15451,0.9904487179487179,564,0.03650249174810692,0,149
cohort_transfer,entropy_high__mean,0.01,full_rollout,15600,15451,0.9904487179487179,564,0.03650249174810692,0,149
cohort_transfer,entropy_low__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,entropy_low__current,0.01,q3,15600,15594,0.9996153846153846,563,0.03610362960112864,1,5
cohort_transfer,entropy_low__current,0.01,q7,15600,15469,0.9916025641025641,555,0.03587820802896115,9,122
cohort_transfer,entropy_low__current,0.01,q11,15600,15437,0.9895512820512821,549,0.035563904903802554,15,148
cohort_transfer,entropy_low__current,0.01,q15,15600,15429,0.9890384615384615,545,0.03532309287704971,19,152
cohort_transfer,entropy_low__current,0.01,q19,15600,15417,0.9882692307692308,534,0.03463708892780697,30,153
cohort_transfer,entropy_low__current,0.01,full_rollout,15600,15416,0.9882051282051282,533,0.034574468085106384,31,153
cohort_transfer,entropy_low__mean,0.01,q0,15600,15452,0.9905128205128205,561,0.03630597980843904,3,145
cohort_transfer,entropy_low__mean,0.01,q3,15600,15452,0.9905128205128205,561,0.03630597980843904,3,145
cohort_transfer,entropy_low__mean,0.01,q7,15600,15435,0.989423076923077,560,0.036281179138321996,4,161
