setting,method,reason,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,alarm_rate,t_det,median_lead_detected,tp_lead0,recall_lead0,tp_lead2,recall_lead2,tp_lead4,recall_lead4,tp_lead8,recall_lead8
cohort_transfer,entropy_high__current,approached_target_without_observed_contact,14,14,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,goal_predicate_regressed,26,26,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,mechanism_threshold_not_reached,1,1,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,no_meaningful_target_progress,2,2,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,object_moved_but_goal_unmet,89,89,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,object_released_or_dropped_before_goal,241,241,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,object_released_outside_goal,25,25,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,stable_grasp_not_observed,143,143,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,timeout_while_holding_target,23,23,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,approached_target_without_observed_contact,14,14,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,goal_predicate_regressed,26,26,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,mechanism_threshold_not_reached,1,1,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,no_meaningful_target_progress,2,2,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,object_moved_but_goal_unmet,89,89,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,object_released_or_dropped_before_goal,241,241,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,object_released_outside_goal,25,25,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,stable_grasp_not_observed,143,143,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,timeout_while_holding_target,23,23,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__current,approached_target_without_observed_contact,14,14,0,3,0,0.21428571428571427,,1.0,,0.21428571428571427,0.8333333333333331,16.0,3,0.21428571428571427,3,0.21428571428571427,3,0.21428571428571427,3,0.21428571428571427
cohort_transfer,entropy_low__current,goal_predicate_regressed,26,26,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__current,mechanism_threshold_not_reached,1,1,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__current,no_meaningful_target_progress,2,2,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__current,object_moved_but_goal_unmet,89,89,0,8,0,0.0898876404494382,,1.0,,0.0898876404494382,0.9566613162118781,11.0,8,0.0898876404494382,7,0.07865168539325842,7,0.07865168539325842,6,0.06741573033707865
cohort_transfer,entropy_low__current,object_released_or_dropped_before_goal,241,241,0,41,0,0.17012448132780084,,1.0,,0.17012448132780084,0.9274033264758186,9.0,41,0.17012448132780084,37,0.15352697095435686,35,0.14522821576763487,27,0.11203319502074689
cohort_transfer,entropy_low__current,object_released_outside_goal,25,25,0,4,0,0.16,,1.0,,0.16,0.8971428571428572,14.0,4,0.16,4,0.16,4,0.16,4,0.16
cohort_transfer,entropy_low__current,stable_grasp_not_observed,143,143,0,5,0,0.03496503496503497,,1.0,,0.03496503496503497,0.9786879786879787,13.0,5,0.03496503496503497,5,0.03496503496503497,5,0.03496503496503497,5,0.03496503496503497
cohort_transfer,entropy_low__current,timeout_while_holding_target,23,23,0,1,0,0.043478260869565216,,1.0,,0.043478260869565216,0.9910044977511244,6.0,1,0.043478260869565216,1,0.043478260869565216,1,0.043478260869565216,0,0.0
cohort_transfer,entropy_low__mean,approached_target_without_observed_contact,14,14,0,1,0,0.07142857142857142,,1.0,,0.07142857142857142,0.9421768707482993,17.0,1,0.07142857142857142,1,0.07142857142857142,1,0.07142857142857142,1,0.07142857142857142
cohort_transfer,entropy_low__mean,goal_predicate_regressed,26,26,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__mean,mechanism_threshold_not_reached,1,1,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__mean,no_meaningful_target_progress,2,2,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__mean,object_moved_but_goal_unmet,89,89,0,5,0,0.056179775280898875,,1.0,,0.056179775280898875,0.9802033172819689,1.0,5,0.056179775280898875,2,0.02247191011235955,2,0.02247191011235955,2,0.02247191011235955
cohort_transfer,entropy_low__mean,object_released_or_dropped_before_goal,241,241,0,28,0,0.11618257261410789,,1.0,,0.11618257261410789,0.9426990713297768,10.5,28,0.11618257261410789,21,0.08713692946058091,17,0.07053941908713693,17,0.07053941908713693
cohort_transfer,entropy_low__mean,object_released_outside_goal,25,25,0,1,0,0.04,,1.0,,0.04,0.9790476190476189,11.0,1,0.04,1,0.04,1,0.04,1,0.04
cohort_transfer,entropy_low__mean,stable_grasp_not_observed,143,143,0,1,0,0.006993006993006993,,1.0,,0.006993006993006993,0.9943389943389944,17.0,1,0.006993006993006993,1,0.006993006993006993,1,0.006993006993006993,1,0.006993006993006993
cohort_transfer,entropy_low__mean,timeout_while_holding_target,23,23,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,margin_low__current,approached_target_without_observed_contact,14,14,0,0,0,0.0,,,,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,margin_low__current,goal_predicate_regressed,26,26,0,2,0,0.07692307692307693,,1.0,,0.07692307692307693,0.9374057315233786,41.5,2,0.07692307692307693,2,0.07692307692307693,2,0.07692307692307693,2,0.07692307692307693
