setting,method,budget,available_episodes,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,alarm_rate,t_det,median_lead_detected,tp_lead0,recall_lead0,tp_lead2,recall_lead2,tp_lead4,recall_lead4,tp_lead8,recall_lead8,recall_lo,recall_hi,fpr_lo,fpr_hi,recall_lead4_lo,recall_lead4_hi
cohort_transfer,entropy_high__current,0.01,15600,15600,564,15036,0,112,0.0,0.0074487895716946,0.0,0.4962756052141527,0.0071794871794871795,1.0,,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,
cohort_transfer,entropy_high__mean,0.01,15600,15600,564,15036,0,149,0.0,0.00990955041234371,0.0,0.4950452247938281,0.009551282051282051,1.0,,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,
cohort_transfer,entropy_low__current,0.01,15600,15600,564,15036,31,153,0.0549645390070922,0.010175578611332801,0.16847826086956522,0.5223944801978797,0.011794871794871795,0.9751481908488512,10.0,31,0.0549645390070922,31,0.0549645390070922,22,0.03900709219858156,20,0.03546099290780142,,,,,,
cohort_transfer,entropy_low__mean,0.01,15600,15600,564,15036,7,163,0.012411347517730497,0.010840649108805533,0.041176470588235294,0.5007853492044625,0.010897435897435897,0.9916413373860181,17.0,7,0.012411347517730497,7,0.012411347517730497,7,0.012411347517730497,5,0.008865248226950355,,,,,,
cohort_transfer,margin_low__current,0.01,15600,15600,564,15036,4,144,0.0070921985815602835,0.009577015163607342,0.02702702702702703,0.49875759170897643,0.009487179487179488,0.994143781259141,31.0,4,0.0070921985815602835,4,0.0070921985815602835,4,0.0070921985815602835,4,0.0070921985815602835,,,,,,
cohort_transfer,margin_low__mean,0.01,15600,15600,564,15036,4,156,0.0070921985815602835,0.010375099760574621,0.025,0.4983585494104928,0.010256410256410256,0.9929078014184397,29.0,4,0.0070921985815602835,4,0.0070921985815602835,4,0.0070921985815602835,4,0.0070921985815602835,,,,,,
cohort_transfer,token_collapse__current,0.01,15600,15600,564,15036,18,117,0.031914893617021274,0.007781324820430965,0.13333333333333333,0.5120667843982951,0.008653846153846154,0.986805159280092,10.0,18,0.031914893617021274,18,0.031914893617021274,17,0.030141843971631204,17,0.030141843971631204,,,,,,
cohort_transfer,token_collapse__mean,0.01,15600,15600,564,15036,16,101,0.028368794326241134,0.006717212024474594,0.13675213675213677,0.5108257911508833,0.0075,0.9716312056737588,51.0,16,0.028368794326241134,16,0.028368794326241134,16,0.028368794326241134,16,0.028368794326241134,,,,,,
cohort_transfer,flow_path_high__current,0.01,15600,15600,564,15036,69,119,0.12234042553191489,0.007914338919925512,0.3670212765957447,0.5572130433059947,0.012051282051282051,0.9560440409418297,8.0,69,0.12234042553191489,65,0.11524822695035461,54,0.09574468085106383,37,0.06560283687943262,,,,,,
cohort_transfer,flow_path_high__mean,0.01,15600,15600,564,15036,28,167,0.04964539007092199,0.011106677307794625,0.14358974358974358,0.5192693563815637,0.0125,0.9858156028368794,2.0,28,0.04964539007092199,17,0.030141843971631204,11,0.01950354609929078,9,0.015957446808510637,,,,,,
cohort_transfer,frontback_inversion__current,0.01,15600,15600,564,15036,104,102,0.18439716312056736,0.006783719074221868,0.5048543689320388,0.5888067220231727,0.013205128205128204,0.9363463246226182,9.0,104,0.18439716312056736,101,0.17907801418439717,94,0.16666666666666666,63,0.11170212765957446,,,,,,
cohort_transfer,frontback_inversion__mean,0.01,15600,15600,564,15036,18,116,0.031914893617021274,0.007714817770683693,0.13432835820895522,0.5121000379231688,0.00858974358974359,0.9856933235509905,10.0,18,0.031914893617021274,10,0.01773049645390071,10,0.01773049645390071,10,0.01773049645390071,,,,,,
cohort_transfer,entropy_front_low__current,0.01,15600,15600,564,15036,24,148,0.0425531914893617,0.009843043362596435,0.13953488372093023,0.5163550740633827,0.011025641025641025,0.9829449510300574,9.0,24,0.0425531914893617,22,0.03900709219858156,20,0.03546099290780142,18,0.031914893617021274,,,,,,
cohort_transfer,entropy_front_low__mean,0.01,15600,15600,564,15036,2,237,0.0035460992907801418,0.015762170790103752,0.008368200836820083,0.49389196425033816,0.01532051282051282,0.9964539007092199,21.0,2,0.0035460992907801418,2,0.0035460992907801418,2,0.0035460992907801418,2,0.0035460992907801418,,,,,,
cohort_transfer,entropy_first_flow_low__current,0.01,15600,15600,564,15036,57,147,0.10106382978723404,0.009776536312849162,0.27941176470588236,0.5456436467371923,0.013076923076923076,0.9650455927051671,8.0,57,0.10106382978723404,52,0.09219858156028368,45,0.0797872340425532,31,0.0549645390070922,,,,,,
cohort_transfer,entropy_first_flow_low__mean,0.01,15600,15600,564,15036,65,151,0.11524822695035461,0.010042564511838254,0.30092592592592593,0.5526028312192581,0.013846153846153847,0.965467747382641,4.0,65,0.11524822695035461,53,0.09397163120567376,36,0.06382978723404255,20,0.03546099290780142,,,,,,
cohort_transfer,token_front_collapse__current,0.01,15600,15600,564,15036,0,245,0.0,0.016294227188081937,0.0,0.49185288640595903,0.015705128205128205,1.0,,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,
cohort_transfer,token_front_collapse__mean,0.01,15600,15600,564,15036,0,153,0.0,0.010175578611332801,0.0,0.4949122106943336,0.009807692307692307,1.0,,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,
cohort_transfer,freeze__current,0.01,15600,15600,564,15036,156,7,0.2765957446808511,0.0004655493482309125,0.9570552147239264,0.6380650976663101,0.01044871794871795,0.9168061289894616,14.0,156,0.2765957446808511,143,0.25354609929078015,130,0.23049645390070922,120,0.2127659574468085,,,,,,
cohort_transfer,freeze__mean,0.01,15600,15600,564,15036,141,12,0.25,0.0007980845969672786,0.9215686274509803,0.6246009577015164,0.009807692307692307,0.9192636838436904,10.0,141,0.25,135,0.2393617021276596,129,0.22872340425531915,101,0.17907801418439717,,,,,,
cohort_transfer,deviation_global__current,0.01,15600,15600,564,15036,26,160,0.04609929078014184,0.010641127959563713,0.13978494623655913,0.5177290814102891,0.011923076923076923,0.9781015990537951,11.0,26,0.04609929078014184,25,0.044326241134751775,24,0.0425531914893617,21,0.03723404255319149,,,,,,
