setting,method,suite,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,alarm_rate,t_det,median_lead_detected,tp_lead0,recall_lead0,tp_lead2,recall_lead2,tp_lead4,recall_lead4,tp_lead8,recall_lead8
cohort_transfer,entropy_high__current,libero_goal,4000,106,3894,0,135,0.0,0.03466872110939907,0.0,0.48266563944530044,0.03375,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,libero_long,4000,274,3726,0,0,0.0,0.0,,0.5,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,libero_object,3600,44,3556,0,232,0.0,0.06524184476940383,0.0,0.46737907761529807,0.06444444444444444,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,libero_spatial,4000,140,3860,0,0,0.0,0.0,,0.5,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,libero_goal,4000,106,3894,0,439,0.0,0.11273754494093477,0.0,0.4436312275295326,0.10975,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,libero_long,4000,274,3726,0,13,0.0,0.003488996242619431,0.0,0.4982555018786903,0.00325,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,libero_object,3600,44,3556,0,0,0.0,0.0,,0.5,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,libero_spatial,4000,140,3860,0,0,0.0,0.0,,0.5,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__current,libero_goal,4000,106,3894,1,0,0.009433962264150943,0.0,1.0,0.5047169811320755,0.00025,0.9980481457384515,6.0,1,0.009433962264150943,1,0.009433962264150943,1,0.009433962264150943,0,0.0
cohort_transfer,entropy_low__current,libero_long,4000,274,3726,2,6,0.0072992700729927005,0.001610305958132045,0.25,0.5028444820574304,0.002,0.9974953485043653,17.5,2,0.0072992700729927005,1,0.0036496350364963502,1,0.0036496350364963502,1,0.0036496350364963502
cohort_transfer,entropy_low__current,libero_object,3600,44,3556,0,11,0.0,0.003093363329583802,0.0,0.4984533183352081,0.0030555555555555557,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__current,libero_spatial,4000,140,3860,59,438,0.42142857142857143,0.11347150259067358,0.11871227364185111,0.6539785344189489,0.12425,0.795578231292517,10.0,59,0.42142857142857143,55,0.39285714285714285,53,0.37857142857142856,44,0.3142857142857143
