setting,fold,method,budget,episodes,alarms,actual_rate
cohort_transfer,all,entropy_high__current,0.01,16000,160,0.01
cohort_transfer,all,entropy_high__current,0.03,16000,480,0.03
cohort_transfer,all,entropy_high__current,0.05,16000,800,0.05
cohort_transfer,all,entropy_high__current,0.1,16000,1600,0.1
cohort_transfer,all,entropy_high__mean,0.01,16000,160,0.01
cohort_transfer,all,entropy_high__mean,0.03,16000,480,0.03
cohort_transfer,all,entropy_high__mean,0.05,16000,799,0.0499375
cohort_transfer,all,entropy_high__mean,0.1,16000,1600,0.1
cohort_transfer,all,entropy_low__current,0.01,16000,160,0.01
cohort_transfer,all,entropy_low__current,0.03,16000,480,0.03
cohort_transfer,all,entropy_low__current,0.05,16000,800,0.05
cohort_transfer,all,entropy_low__current,0.1,16000,1600,0.1
cohort_transfer,all,entropy_low__mean,0.01,16000,160,0.01
cohort_transfer,all,entropy_low__mean,0.03,16000,480,0.03
cohort_transfer,all,entropy_low__mean,0.05,16000,800,0.05
cohort_transfer,all,entropy_low__mean,0.1,16000,1600,0.1
cohort_transfer,all,margin_low__current,0.01,16000,160,0.01
cohort_transfer,all,margin_low__current,0.03,16000,480,0.03
cohort_transfer,all,margin_low__current,0.05,16000,800,0.05
cohort_transfer,all,margin_low__current,0.1,16000,1600,0.1
cohort_transfer,all,margin_low__mean,0.01,16000,160,0.01
cohort_transfer,all,margin_low__mean,0.03,16000,480,0.03
cohort_transfer,all,margin_low__mean,0.05,16000,800,0.05
cohort_transfer,all,margin_low__mean,0.1,16000,1600,0.1
cohort_transfer,all,token_collapse__current,0.01,16000,160,0.01
cohort_transfer,all,token_collapse__current,0.03,16000,480,0.03
cohort_transfer,all,token_collapse__current,0.05,16000,800,0.05
cohort_transfer,all,token_collapse__current,0.1,16000,1599,0.0999375
cohort_transfer,all,token_collapse__mean,0.01,16000,160,0.01
cohort_transfer,all,token_collapse__mean,0.03,16000,480,0.03
cohort_transfer,all,token_collapse__mean,0.05,16000,800,0.05
cohort_transfer,all,token_collapse__mean,0.1,16000,1600,0.1
cohort_transfer,all,flow_path_high__current,0.01,16000,160,0.01
cohort_transfer,all,flow_path_high__current,0.03,16000,480,0.03
cohort_transfer,all,flow_path_high__current,0.05,16000,800,0.05
cohort_transfer,all,flow_path_high__current,0.1,16000,1600,0.1
cohort_transfer,all,flow_path_high__mean,0.01,16000,160,0.01
cohort_transfer,all,flow_path_high__mean,0.03,16000,480,0.03
cohort_transfer,all,flow_path_high__mean,0.05,16000,800,0.05
cohort_transfer,all,flow_path_high__mean,0.1,16000,1600,0.1
cohort_transfer,all,frontback_inversion__current,0.01,16000,160,0.01
cohort_transfer,all,frontback_inversion__current,0.03,16000,480,0.03
cohort_transfer,all,frontback_inversion__current,0.05,16000,800,0.05
cohort_transfer,all,frontback_inversion__current,0.1,16000,1600,0.1
cohort_transfer,all,frontback_inversion__mean,0.01,16000,160,0.01
cohort_transfer,all,frontback_inversion__mean,0.03,16000,480,0.03
cohort_transfer,all,frontback_inversion__mean,0.05,16000,800,0.05
cohort_transfer,all,frontback_inversion__mean,0.1,16000,1600,0.1
cohort_transfer,all,entropy_front_low__current,0.01,16000,160,0.01
cohort_transfer,all,entropy_front_low__current,0.03,16000,480,0.03
cohort_transfer,all,entropy_front_low__current,0.05,16000,800,0.05
cohort_transfer,all,entropy_front_low__current,0.1,16000,1600,0.1
cohort_transfer,all,entropy_front_low__mean,0.01,16000,160,0.01
cohort_transfer,all,entropy_front_low__mean,0.03,16000,480,0.03
cohort_transfer,all,entropy_front_low__mean,0.05,16000,800,0.05
cohort_transfer,all,entropy_front_low__mean,0.1,16000,1600,0.1
cohort_transfer,all,entropy_first_flow_low__current,0.01,16000,160,0.01
cohort_transfer,all,entropy_first_flow_low__current,0.03,16000,480,0.03
cohort_transfer,all,entropy_first_flow_low__current,0.05,16000,800,0.05
cohort_transfer,all,entropy_first_flow_low__current,0.1,16000,1600,0.1
cohort_transfer,all,entropy_first_flow_low__mean,0.01,16000,160,0.01
cohort_transfer,all,entropy_first_flow_low__mean,0.03,16000,480,0.03
cohort_transfer,all,entropy_first_flow_low__mean,0.05,16000,800,0.05
cohort_transfer,all,entropy_first_flow_low__mean,0.1,16000,1600,0.1
cohort_transfer,all,token_front_collapse__current,0.01,16000,160,0.01
cohort_transfer,all,token_front_collapse__current,0.03,16000,480,0.03
cohort_transfer,all,token_front_collapse__current,0.05,16000,800,0.05
cohort_transfer,all,token_front_collapse__current,0.1,16000,1599,0.0999375
cohort_transfer,all,token_front_collapse__mean,0.01,16000,160,0.01
cohort_transfer,all,token_front_collapse__mean,0.03,16000,480,0.03
cohort_transfer,all,token_front_collapse__mean,0.05,16000,800,0.05
cohort_transfer,all,token_front_collapse__mean,0.1,16000,1600,0.1
cohort_transfer,all,freeze__current,0.01,16000,160,0.01
cohort_transfer,all,freeze__current,0.03,16000,480,0.03
cohort_transfer,all,freeze__current,0.05,16000,800,0.05
cohort_transfer,all,freeze__current,0.1,16000,1600,0.1
cohort_transfer,all,freeze__mean,0.01,16000,160,0.01
cohort_transfer,all,freeze__mean,0.03,16000,480,0.03
cohort_transfer,all,freeze__mean,0.05,16000,800,0.05
cohort_transfer,all,freeze__mean,0.1,16000,1600,0.1
cohort_transfer,all,deviation_global__current,0.01,16000,160,0.01
cohort_transfer,all,deviation_global__current,0.03,16000,480,0.03
cohort_transfer,all,deviation_global__current,0.05,16000,800,0.05
cohort_transfer,all,deviation_global__current,0.1,16000,1600,0.1
cohort_transfer,all,deviation_global__mean,0.01,16000,160,0.01
cohort_transfer,all,deviation_global__mean,0.03,16000,480,0.03
cohort_transfer,all,deviation_global__mean,0.05,16000,800,0.05
cohort_transfer,all,deviation_global__mean,0.1,16000,1600,0.1
cohort_transfer,all,deviation_step__current,0.01,16000,160,0.01
cohort_transfer,all,deviation_step__current,0.03,16000,480,0.03
cohort_transfer,all,deviation_step__current,0.05,16000,800,0.05
cohort_transfer,all,deviation_step__current,0.1,16000,1600,0.1
cohort_transfer,all,deviation_step__mean,0.01,16000,160,0.01
cohort_transfer,all,deviation_step__mean,0.03,16000,480,0.03
cohort_transfer,all,deviation_step__mean,0.05,16000,800,0.05
cohort_transfer,all,deviation_step__mean,0.1,16000,1600,0.1
cohort_transfer,all,clock,0.01,16000,0,0.0
cohort_transfer,all,clock,0.03,16000,465,0.0290625
cohort_transfer,all,clock,0.05,16000,761,0.0475625
cohort_transfer,all,clock,0.1,16000,1549,0.0968125
cohort_transfer,all,random,0.01,16000,160,0.01
cohort_transfer,all,random,0.03,16000,480,0.03
cohort_transfer,all,random,0.05,16000,800,0.05
cohort_transfer,all,random,0.1,16000,1600,0.1
cohort_transfer,all,v7_unlabeled_budget,0.01,16000,160,0.01
cohort_transfer,all,v7_unlabeled_budget,0.03,16000,480,0.03
cohort_transfer,all,v7_unlabeled_budget,0.05,16000,800,0.05
cohort_transfer,all,v7_unlabeled_budget,0.1,16000,1600,0.1
state_heldout,0,entropy_high__current,0.01,12800,128,0.01
state_heldout,0,entropy_high__current,0.03,12800,383,0.029921875
state_heldout,0,entropy_high__current,0.05,12800,640,0.05
state_heldout,0,entropy_high__current,0.1,12800,1280,0.1
state_heldout,0,entropy_high__mean,0.01,12800,128,0.01
state_heldout,0,entropy_high__mean,0.03,12800,383,0.029921875
state_heldout,0,entropy_high__mean,0.05,12800,639,0.049921875
state_heldout,0,entropy_high__mean,0.1,12800,1280,0.1
state_heldout,0,entropy_low__current,0.01,12800,128,0.01
state_heldout,0,entropy_low__current,0.03,12800,384,0.03
state_heldout,0,entropy_low__current,0.05,12800,640,0.05
state_heldout,0,entropy_low__current,0.1,12800,1280,0.1
state_heldout,0,entropy_low__mean,0.01,12800,128,0.01
state_heldout,0,entropy_low__mean,0.03,12800,384,0.03
state_heldout,0,entropy_low__mean,0.05,12800,640,0.05
state_heldout,0,entropy_low__mean,0.1,12800,1280,0.1
state_heldout,0,margin_low__current,0.01,12800,128,0.01
state_heldout,0,margin_low__current,0.03,12800,384,0.03
state_heldout,0,margin_low__current,0.05,12800,640,0.05
state_heldout,0,margin_low__current,0.1,12800,1280,0.1
state_heldout,0,margin_low__mean,0.01,12800,128,0.01
state_heldout,0,margin_low__mean,0.03,12800,384,0.03
state_heldout,0,margin_low__mean,0.05,12800,640,0.05
state_heldout,0,margin_low__mean,0.1,12800,1280,0.1
state_heldout,0,token_collapse__current,0.01,12800,128,0.01
state_heldout,0,token_collapse__current,0.03,12800,384,0.03
state_heldout,0,token_collapse__current,0.05,12800,640,0.05
state_heldout,0,token_collapse__current,0.1,12800,1280,0.1
state_heldout,0,token_collapse__mean,0.01,12800,128,0.01
state_heldout,0,token_collapse__mean,0.03,12800,384,0.03
state_heldout,0,token_collapse__mean,0.05,12800,640,0.05
state_heldout,0,token_collapse__mean,0.1,12800,1280,0.1
state_heldout,0,flow_path_high__current,0.01,12800,128,0.01
state_heldout,0,flow_path_high__current,0.03,12800,384,0.03
state_heldout,0,flow_path_high__current,0.05,12800,640,0.05
state_heldout,0,flow_path_high__current,0.1,12800,1280,0.1
state_heldout,0,flow_path_high__mean,0.01,12800,128,0.01
state_heldout,0,flow_path_high__mean,0.03,12800,384,0.03
state_heldout,0,flow_path_high__mean,0.05,12800,640,0.05
state_heldout,0,flow_path_high__mean,0.1,12800,1280,0.1
state_heldout,0,frontback_inversion__current,0.01,12800,128,0.01
state_heldout,0,frontback_inversion__current,0.03,12800,384,0.03
state_heldout,0,frontback_inversion__current,0.05,12800,640,0.05
state_heldout,0,frontback_inversion__current,0.1,12800,1280,0.1
state_heldout,0,frontback_inversion__mean,0.01,12800,128,0.01
state_heldout,0,frontback_inversion__mean,0.03,12800,384,0.03
state_heldout,0,frontback_inversion__mean,0.05,12800,640,0.05
state_heldout,0,frontback_inversion__mean,0.1,12800,1280,0.1
state_heldout,0,entropy_front_low__current,0.01,12800,128,0.01
state_heldout,0,entropy_front_low__current,0.03,12800,384,0.03
state_heldout,0,entropy_front_low__current,0.05,12800,640,0.05
state_heldout,0,entropy_front_low__current,0.1,12800,1280,0.1
state_heldout,0,entropy_front_low__mean,0.01,12800,128,0.01
state_heldout,0,entropy_front_low__mean,0.03,12800,384,0.03
state_heldout,0,entropy_front_low__mean,0.05,12800,640,0.05
state_heldout,0,entropy_front_low__mean,0.1,12800,1280,0.1
state_heldout,0,entropy_first_flow_low__current,0.01,12800,128,0.01
state_heldout,0,entropy_first_flow_low__current,0.03,12800,384,0.03
state_heldout,0,entropy_first_flow_low__current,0.05,12800,640,0.05
state_heldout,0,entropy_first_flow_low__current,0.1,12800,1280,0.1
state_heldout,0,entropy_first_flow_low__mean,0.01,12800,128,0.01
state_heldout,0,entropy_first_flow_low__mean,0.03,12800,384,0.03
state_heldout,0,entropy_first_flow_low__mean,0.05,12800,640,0.05
state_heldout,0,entropy_first_flow_low__mean,0.1,12800,1280,0.1
state_heldout,0,token_front_collapse__current,0.01,12800,128,0.01
state_heldout,0,token_front_collapse__current,0.03,12800,384,0.03
state_heldout,0,token_front_collapse__current,0.05,12800,640,0.05
state_heldout,0,token_front_collapse__current,0.1,12800,1279,0.099921875
state_heldout,0,token_front_collapse__mean,0.01,12800,128,0.01
state_heldout,0,token_front_collapse__mean,0.03,12800,384,0.03
state_heldout,0,token_front_collapse__mean,0.05,12800,640,0.05
state_heldout,0,token_front_collapse__mean,0.1,12800,1280,0.1
state_heldout,0,freeze__current,0.01,12800,128,0.01
state_heldout,0,freeze__current,0.03,12800,384,0.03
state_heldout,0,freeze__current,0.05,12800,640,0.05
state_heldout,0,freeze__current,0.1,12800,1280,0.1
state_heldout,0,freeze__mean,0.01,12800,128,0.01
state_heldout,0,freeze__mean,0.03,12800,384,0.03
state_heldout,0,freeze__mean,0.05,12800,640,0.05
state_heldout,0,freeze__mean,0.1,12800,1280,0.1
state_heldout,0,deviation_global__current,0.01,12800,128,0.01
state_heldout,0,deviation_global__current,0.03,12800,384,0.03
state_heldout,0,deviation_global__current,0.05,12800,640,0.05
state_heldout,0,deviation_global__current,0.1,12800,1280,0.1
state_heldout,0,deviation_global__mean,0.01,12800,128,0.01
state_heldout,0,deviation_global__mean,0.03,12800,384,0.03
state_heldout,0,deviation_global__mean,0.05,12800,640,0.05
state_heldout,0,deviation_global__mean,0.1,12800,1280,0.1
state_heldout,0,deviation_step__current,0.01,12800,128,0.01
state_heldout,0,deviation_step__current,0.03,12800,384,0.03
state_heldout,0,deviation_step__current,0.05,12800,640,0.05
state_heldout,0,deviation_step__current,0.1,12800,1280,0.1
state_heldout,0,deviation_step__mean,0.01,12800,128,0.01
state_heldout,0,deviation_step__mean,0.03,12800,384,0.03
state_heldout,0,deviation_step__mean,0.05,12800,640,0.05
state_heldout,0,deviation_step__mean,0.1,12800,1280,0.1
state_heldout,0,clock,0.01,12800,0,0.0
state_heldout,0,clock,0.03,12800,382,0.02984375
state_heldout,0,clock,0.05,12800,602,0.04703125
state_heldout,0,clock,0.1,12800,1226,0.09578125
state_heldout,0,random,0.01,12800,128,0.01
state_heldout,0,random,0.03,12800,384,0.03
state_heldout,0,random,0.05,12800,640,0.05
state_heldout,0,random,0.1,12800,1280,0.1
state_heldout,0,v7_unlabeled_budget,0.01,12800,128,0.01
state_heldout,0,v7_unlabeled_budget,0.03,12800,384,0.03
state_heldout,0,v7_unlabeled_budget,0.05,12800,640,0.05
state_heldout,0,v7_unlabeled_budget,0.1,12800,1280,0.1
