setting,baseline,metric,primary_minus_baseline,lo,hi
cohort_transfer,clock,recall,0.2570921985815603,0.03708859451664527,0.568340380180306
cohort_transfer,clock,fpr,-0.006185155626496409,-0.027369736070116755,0.00541101664109293
cohort_transfer,clock,recall_lead4,0.07624113475177305,-0.06382416469149017,0.31732402912621355
cohort_transfer,freeze__current,recall,0.08687943262411348,-0.06148320158102766,0.25132716049382714
cohort_transfer,freeze__current,fpr,-6.650704974727321e-05,-0.005117533037369603,0.004489939914542399
cohort_transfer,freeze__current,recall_lead4,0.06205673758865248,-0.080536579038395,0.1825219314595293
state_heldout,clock,recall,0.24645390070921985,0.018428628381761205,0.5714405160057333
state_heldout,clock,fpr,-0.006185155626496409,-0.027240681074154924,0.005465706588802617
state_heldout,clock,recall_lead4,0.0726950354609929,-0.07984531353671583,0.3200417299329634
state_heldout,freeze__current,recall,0.07801418439716312,-0.0698767107793236,0.24741339931480777
state_heldout,freeze__current,fpr,-0.00026602819898909286,-0.005193486150551492,0.004370095356579761
state_heldout,freeze__current,recall_lead4,0.06028368794326241,-0.0653256492958934,0.18182531753960327
task_heldout,clock,recall,0.2641843971631206,0.07196147464891663,0.5333647798742138
task_heldout,clock,fpr,-0.010175578611332801,-0.03692245393156019,0.0035097276503218196
task_heldout,clock,recall_lead4,0.11347517730496454,-0.004005906729341909,0.3257016490553954
task_heldout,freeze__current,recall,0.11879432624113476,-0.05016129032258064,0.28516513726679804
task_heldout,freeze__current,fpr,0.0027267890396382014,-0.0031009684810140987,0.011228325099877479
task_heldout,freeze__current,recall_lead4,0.08156028368794327,-0.09352581465977182,0.21761525902668757
suite_heldout,clock,recall,0.2730496453900709,0.1265298117154812,0.5000296912114014
suite_heldout,clock,fpr,-0.15808725724926842,-0.2648988773888481,-0.05835675598721323
suite_heldout,clock,recall_lead4,0.11702127659574468,0.039755775346053124,0.28093346155143906
suite_heldout,freeze__current,recall,0.10106382978723404,-0.09615227909345557,0.2473591065858266
suite_heldout,freeze__current,fpr,0.06271614791167864,0.0226165504101068,0.10806587459837876
suite_heldout,freeze__current,recall_lead4,0.09219858156028368,-0.09872441066997518,0.21793381800805514
