setting,method,checkpoint,scope,eligible_episodes,scored_episodes,overall_coverage,eligible_score_coverage,scored_failures,scored_successes,failure_coverage,auc,ap,task_macro_auc,task_macro_ap,macro_tasks
cohort_transfer,entropy_high__current,q0,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.46918305436141344,0.024320222847141113,0.4872626498419367,0.037729467319587824,26
cohort_transfer,entropy_high__current,q0,long,4000,4000,1.0,1.0,274,3726,1.0,0.5323427600879204,0.082293076845315,0.4180260138686984,0.0730414579786215,10
cohort_transfer,entropy_high__current,q3,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.4369041739077411,0.021041031991399107,0.49076955926894095,0.03615824097132489,26
cohort_transfer,entropy_high__current,q3,long,4000,4000,1.0,1.0,274,3726,1.0,0.6359489051094891,0.11718514604363127,0.48010274549457393,0.07508561808849082,10
cohort_transfer,entropy_high__current,q7,standard_3_suites,11463,11463,0.9881896551724138,1.0,290,11173,1.0,0.3902569926886552,0.019474150102646914,0.29138944123393923,0.034340569459191755,26
cohort_transfer,entropy_high__current,q7,long,4000,4000,1.0,1.0,274,3726,1.0,0.7917602093789547,0.24396130746888184,0.4945011966669558,0.07140718938219018,10
cohort_transfer,entropy_high__current,q11,standard_3_suites,6735,6735,0.5806034482758621,1.0,290,6445,1.0,0.3550493566250234,0.030775323819209752,0.42312015715936757,0.20630767221722976,22
cohort_transfer,entropy_high__current,q11,long,4000,4000,1.0,1.0,274,3726,1.0,0.4645811049598207,0.058782751263094596,0.40553073481797275,0.08232091803468508,10
cohort_transfer,entropy_high__current,q15,standard_3_suites,1106,1106,0.0953448275862069,1.0,290,816,1.0,0.23101546653144017,0.17159853593699093,0.3977138718960828,0.519288540672559,19
cohort_transfer,entropy_high__current,q15,long,3968,3968,0.992,1.0,274,3694,1.0,0.6721493524713582,0.10837079110468746,0.5252145650371209,0.07088705304768758,10
cohort_transfer,entropy_high__current,q19,standard_3_suites,398,398,0.03431034482758621,1.0,290,108,1.0,0.32991698595146873,0.7140143191470996,0.3194627295362589,0.7023407500764399,15
cohort_transfer,entropy_high__current,q19,long,3695,3695,0.92375,1.0,274,3421,1.0,0.6100011308427766,0.11638936821073878,0.4717382465325576,0.0793769403103844,10
cohort_transfer,entropy_high__current,retrospective_half,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.4560940882343974,0.024148259914661883,0.44807576920387115,0.16238240921588007,26
cohort_transfer,entropy_high__current,retrospective_half,long,4000,4000,1.0,1.0,274,3726,1.0,0.6559949614270993,0.22500298332072122,0.38621970702930597,0.11438979512477998,10
cohort_transfer,entropy_high__current,safe_task_min_prefixmax,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.360137504192201,0.017681139303352484,0.26871504791268686,0.02831668244936671,26
cohort_transfer,entropy_high__current,safe_task_min_prefixmax,long,4000,4000,1.0,1.0,274,3726,1.0,0.7069453749740431,0.15082315073597327,0.4294425852426983,0.09659721120143834,10
cohort_transfer,entropy_high__current,full_rollout_prefixmax,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.3736068172810147,0.01812769812576197,0.33681194214554533,0.08842693573436314,26
cohort_transfer,entropy_high__current,full_rollout_prefixmax,long,4000,4000,1.0,1.0,274,3726,1.0,0.706500190023939,0.14979707674699239,0.4374836950776171,0.09679410964191926,10
cohort_transfer,entropy_high__mean,q0,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.46918305436141344,0.024320222847141113,0.4872626498419367,0.037729467319587824,26
cohort_transfer,entropy_high__mean,q0,long,4000,4000,1.0,1.0,274,3726,1.0,0.5323427600879204,0.082293076845315,0.4180260138686984,0.0730414579786215,10
cohort_transfer,entropy_high__mean,q3,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.4437566694106528,0.021589048945808275,0.42341751107875647,0.03533450412583802,26
cohort_transfer,entropy_high__mean,q3,long,4000,4000,1.0,1.0,274,3726,1.0,0.5697975559395214,0.0764900131625936,0.42281091256434256,0.07394686121225122,10
cohort_transfer,entropy_high__mean,q7,standard_3_suites,11463,11463,0.9881896551724138,1.0,290,11173,1.0,0.44021255057605,0.02340784005452164,0.3004496787253571,0.03181079847333547,26
cohort_transfer,entropy_high__mean,q7,long,4000,4000,1.0,1.0,274,3726,1.0,0.7647151012220302,0.22944618495657332,0.519837091150727,0.19513921404592802,10
cohort_transfer,entropy_high__mean,q11,standard_3_suites,6735,6735,0.5806034482758621,1.0,290,6445,1.0,0.3749399427516653,0.03691322847313773,0.28327970899205196,0.19641728485806206,22
cohort_transfer,entropy_high__mean,q11,long,4000,4000,1.0,1.0,274,3726,1.0,0.7780172667113321,0.27457845573300094,0.43238850737129975,0.08915435868507096,10
cohort_transfer,entropy_high__mean,q15,standard_3_suites,1106,1106,0.0953448275862069,1.0,290,816,1.0,0.2357716362407032,0.17164743765244417,0.3550255713829425,0.484350448861613,19
cohort_transfer,entropy_high__mean,q15,long,3968,3968,0.992,1.0,274,3694,1.0,0.7546850485498283,0.1718338105541775,0.4009890217853984,0.08853602114774865,10
cohort_transfer,entropy_high__mean,q19,standard_3_suites,398,398,0.03431034482758621,1.0,290,108,1.0,0.16767241379310344,0.5602477093876627,0.32533412937824707,0.6726007538241031,15
cohort_transfer,entropy_high__mean,q19,long,3695,3695,0.92375,1.0,274,3421,1.0,0.7856274150427693,0.24299141111341097,0.37012684746597163,0.10586788906170949,10
cohort_transfer,entropy_high__mean,retrospective_half,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.3960744230007012,0.019575024474010234,0.29162007189469885,0.1401816303453464,26
cohort_transfer,entropy_high__mean,retrospective_half,long,4000,4000,1.0,1.0,274,3726,1.0,0.7055931685414389,0.2601125400067387,0.2605378070741152,0.09222559820089529,10
cohort_transfer,entropy_high__mean,safe_task_min_prefixmax,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.4385511753407116,0.02183726906257523,0.3524150438253352,0.033454988041492786,26
cohort_transfer,entropy_high__mean,safe_task_min_prefixmax,long,4000,4000,1.0,1.0,274,3726,1.0,0.6538988210679737,0.10090633668433509,0.4232472608115886,0.07734929710671326,10
cohort_transfer,entropy_high__mean,full_rollout_prefixmax,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.43859736577334674,0.02183820535000254,0.3533092505141738,0.03347145435109905,26
cohort_transfer,entropy_high__mean,full_rollout_prefixmax,long,4000,4000,1.0,1.0,274,3726,1.0,0.6540046075907707,0.10092486272732702,0.423273857263622,0.07735647740961007,10
cohort_transfer,entropy_high__max,q0,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.46918305436141344,0.024320222847141113,0.4872626498419367,0.037729467319587824,26
cohort_transfer,entropy_high__max,q0,long,4000,4000,1.0,1.0,274,3726,1.0,0.5323427600879204,0.082293076845315,0.4180260138686984,0.0730414579786215,10
cohort_transfer,entropy_high__max,q3,standard_3_suites,11600,11600,1.0,1.0,290,11310,1.0,0.4301074727888045,0.02085030877717589,0.39838660960450806,0.033195151752076144,26
cohort_transfer,entropy_high__max,q3,long,4000,4000,1.0,1.0,274,3726,1.0,0.6545144398603618,0.11760867357936658,0.5082873491001596,0.10697434655630929,10
cohort_transfer,entropy_high__max,q7,standard_3_suites,11463,11463,0.9881896551724138,1.0,290,11173,1.0,0.43358836110450993,0.02296483334501111,0.341962207491243,0.029637203987747787,26
cohort_transfer,entropy_high__max,q7,long,4000,4000,1.0,1.0,274,3726,1.0,0.6974064670827603,0.12979603621967373,0.5576371598462799,0.10226522946572658,10
