row,onset,reason
441,16,object_released_or_dropped_before_goal
443,16,object_released_or_dropped_before_goal
445,17,object_released_or_dropped_before_goal
446,17,object_released_or_dropped_before_goal
447,17,object_released_or_dropped_before_goal
459,14,object_released_or_dropped_before_goal
528,19,object_released_or_dropped_before_goal
531,18,object_released_or_dropped_before_goal
532,28,object_released_outside_goal
535,17,object_released_or_dropped_before_goal
545,16,object_released_or_dropped_before_goal
547,14,object_released_or_dropped_before_goal
548,16,object_released_or_dropped_before_goal
551,14,object_released_outside_goal
604,14,object_released_or_dropped_before_goal
618,14,object_released_outside_goal
619,16,object_released_or_dropped_before_goal
656,15,object_released_or_dropped_before_goal
720,15,object_released_or_dropped_before_goal
721,15,object_released_or_dropped_before_goal
722,15,object_released_or_dropped_before_goal
723,19,object_released_or_dropped_before_goal
725,19,object_released_or_dropped_before_goal
726,15,object_released_or_dropped_before_goal
727,15,object_released_or_dropped_before_goal
753,14,object_released_outside_goal
758,14,object_released_or_dropped_before_goal
760,14,object_released_or_dropped_before_goal
761,16,object_released_or_dropped_before_goal
763,15,object_released_or_dropped_before_goal
764,16,object_released_or_dropped_before_goal
765,18,object_released_or_dropped_before_goal
766,16,object_released_or_dropped_before_goal
1257,6,object_released_outside_goal
1261,6,object_released_or_dropped_before_goal
1456,6,object_released_or_dropped_before_goal
1458,6,object_released_or_dropped_before_goal
1461,6,object_released_or_dropped_before_goal
1462,6,object_released_or_dropped_before_goal
1482,6,object_released_or_dropped_before_goal
1486,6,object_released_or_dropped_before_goal
1488,6,object_released_or_dropped_before_goal
1626,6,object_released_outside_goal
2024,6,object_released_or_dropped_before_goal
2025,6,object_released_or_dropped_before_goal
2026,6,object_released_or_dropped_before_goal
2040,7,object_released_or_dropped_before_goal
2047,6,object_released_or_dropped_before_goal
2402,10,object_released_outside_goal
2407,13,object_released_outside_goal
2725,9,object_released_or_dropped_before_goal
2755,6,object_released_or_dropped_before_goal
2956,15,object_released_or_dropped_before_goal
4908,14,object_released_outside_goal
5230,43,object_released_or_dropped_before_goal
5240,40,object_released_or_dropped_before_goal
5250,38,object_released_or_dropped_before_goal
5266,20,object_released_or_dropped_before_goal
5269,20,object_released_or_dropped_before_goal
5271,20,object_released_or_dropped_before_goal
5414,23,object_released_or_dropped_before_goal
5478,38,object_released_or_dropped_before_goal
5525,41,object_released_or_dropped_before_goal
5529,18,object_released_or_dropped_before_goal
5978,8,object_released_or_dropped_before_goal
5981,8,object_released_outside_goal
6257,11,object_released_or_dropped_before_goal
6262,34,object_released_or_dropped_before_goal
6947,11,object_released_or_dropped_before_goal
6962,11,object_released_or_dropped_before_goal
7002,21,object_released_or_dropped_before_goal
7022,11,object_released_or_dropped_before_goal
7053,11,object_released_or_dropped_before_goal
7121,41,object_released_or_dropped_before_goal
7152,11,object_released_or_dropped_before_goal
7154,11,object_released_or_dropped_before_goal
7238,15,object_released_or_dropped_before_goal
7239,11,object_released_or_dropped_before_goal
7256,24,object_released_outside_goal
7291,12,object_released_or_dropped_before_goal
7294,13,object_released_or_dropped_before_goal
7295,12,object_released_or_dropped_before_goal
7309,24,object_released_outside_goal
7313,24,object_released_outside_goal
7316,25,object_released_outside_goal
7317,30,object_released_outside_goal
7335,17,object_released_or_dropped_before_goal
7369,11,object_released_or_dropped_before_goal
7370,11,object_released_or_dropped_before_goal
7371,11,object_released_or_dropped_before_goal
7372,12,object_released_or_dropped_before_goal
7374,11,object_released_or_dropped_before_goal
7375,11,object_released_or_dropped_before_goal
7389,11,object_released_or_dropped_before_goal
7413,11,object_released_or_dropped_before_goal
7415,11,object_released_or_dropped_before_goal
7441,13,object_released_or_dropped_before_goal
7442,13,object_released_or_dropped_before_goal
7465,11,object_released_or_dropped_before_goal
7575,45,object_released_or_dropped_before_goal
7626,25,object_released_or_dropped_before_goal
7761,23,object_released_or_dropped_before_goal
7762,22,object_released_or_dropped_before_goal
7764,22,object_released_or_dropped_before_goal
7766,20,object_released_or_dropped_before_goal
7912,20,object_released_or_dropped_before_goal
8164,9,object_released_or_dropped_before_goal
8274,11,object_released_or_dropped_before_goal
8435,13,object_released_or_dropped_before_goal
8655,10,object_released_or_dropped_before_goal
9266,8,object_released_outside_goal
9268,11,object_released_outside_goal
9381,8,object_released_or_dropped_before_goal
9472,8,object_released_outside_goal
9581,11,object_released_or_dropped_before_goal
9999,15,object_released_or_dropped_before_goal
10118,24,object_released_or_dropped_before_goal
10197,27,object_released_or_dropped_before_goal
10984,13,object_released_or_dropped_before_goal
10986,7,object_released_or_dropped_before_goal
10987,14,object_released_or_dropped_before_goal
10988,7,object_released_or_dropped_before_goal
11462,19,object_released_outside_goal
12103,12,object_released_or_dropped_before_goal
12389,8,object_released_or_dropped_before_goal
12390,11,object_released_or_dropped_before_goal
12656,8,object_released_or_dropped_before_goal
12657,9,object_released_or_dropped_before_goal
12663,9,object_released_or_dropped_before_goal
12773,7,object_released_outside_goal
12811,8,object_released_or_dropped_before_goal
13101,8,object_released_outside_goal
13228,7,object_released_or_dropped_before_goal
13277,9,object_released_or_dropped_before_goal
13296,10,object_released_or_dropped_before_goal
13300,10,object_released_or_dropped_before_goal
13302,11,object_released_or_dropped_before_goal
13308,10,object_released_or_dropped_before_goal
13320,11,object_released_or_dropped_before_goal
13321,10,object_released_or_dropped_before_goal
13339,9,object_released_or_dropped_before_goal
13367,7,object_released_outside_goal
13413,7,object_released_or_dropped_before_goal
13414,8,object_released_or_dropped_before_goal
13481,10,object_released_or_dropped_before_goal
13483,10,object_released_or_dropped_before_goal
13485,10,object_released_or_dropped_before_goal
13486,10,object_released_or_dropped_before_goal
13487,10,object_released_or_dropped_before_goal
13518,11,object_released_or_dropped_before_goal
13560,11,object_released_or_dropped_before_goal
13563,11,object_released_or_dropped_before_goal
13566,11,object_released_or_dropped_before_goal
13567,11,object_released_or_dropped_before_goal
13731,8,object_released_or_dropped_before_goal
13820,12,object_released_or_dropped_before_goal
13860,12,object_released_or_dropped_before_goal
13987,13,object_released_or_dropped_before_goal
13989,13,object_released_or_dropped_before_goal
13991,13,object_released_or_dropped_before_goal
14016,9,object_released_or_dropped_before_goal
14036,9,object_released_or_dropped_before_goal
14059,9,object_released_or_dropped_before_goal
14087,9,object_released_or_dropped_before_goal
14238,10,object_released_or_dropped_before_goal
14267,10,object_released_or_dropped_before_goal
14321,10,object_released_or_dropped_before_goal
14322,10,object_released_or_dropped_before_goal
14340,10,object_released_or_dropped_before_goal
14342,10,object_released_or_dropped_before_goal
14464,11,object_released_or_dropped_before_goal
14494,5,object_released_outside_goal
14528,10,object_released_or_dropped_before_goal
14618,11,object_released_or_dropped_before_goal
14672,10,object_released_or_dropped_before_goal
14675,10,object_released_or_dropped_before_goal
14678,10,object_released_or_dropped_before_goal
14766,10,object_released_or_dropped_before_goal
14813,8,object_released_or_dropped_before_goal
14815,8,object_released_or_dropped_before_goal
14909,13,object_released_or_dropped_before_goal
14926,9,object_released_or_dropped_before_goal
14941,7,object_released_or_dropped_before_goal
14944,6,object_released_or_dropped_before_goal
14946,6,object_released_or_dropped_before_goal
14947,8,object_released_or_dropped_before_goal
14949,6,object_released_outside_goal
14950,7,object_released_or_dropped_before_goal
15068,10,object_released_or_dropped_before_goal
15106,10,object_released_or_dropped_before_goal
15183,9,object_released_or_dropped_before_goal
15233,12,object_released_or_dropped_before_goal
15234,10,object_released_or_dropped_before_goal
15280,12,object_released_or_dropped_before_goal
15291,12,object_released_or_dropped_before_goal
15295,13,object_released_or_dropped_before_goal
15303,12,object_released_or_dropped_before_goal
15359,8,object_released_or_dropped_before_goal
15373,9,object_released_or_dropped_before_goal
15403,13,object_released_or_dropped_before_goal
15407,11,object_released_or_dropped_before_goal
15428,7,object_released_outside_goal
15539,13,object_released_or_dropped_before_goal
15555,9,object_released_or_dropped_before_goal
15560,8,object_released_or_dropped_before_goal
15573,13,object_released_or_dropped_before_goal
