setting,method,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,alarm_rate,t_det,median_lead_detected,tp_lead0,recall_lead0,tp_lead2,recall_lead2,tp_lead4,recall_lead4,tp_lead8,recall_lead8
cohort_transfer,entropy_high__current,all,15600,564,15036,0,367,0.0,0.02440808725724927,0.0,0.48779595637137535,0.023525641025641024,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,standard_3_suites,11600,290,11310,0,367,0.0,0.03244916003536693,0.0,0.48377541998231655,0.03163793103448276,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__current,long,4000,274,3726,0,0,0.0,0.0,,0.5,0.0,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,all,15600,564,15036,0,452,0.0,0.030061186485767492,0.0,0.48496940675711625,0.028974358974358974,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,standard_3_suites,11600,290,11310,0,439,0.0,0.038815207780725024,0.0,0.4805923961096375,0.0378448275862069,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_high__mean,long,4000,274,3726,0,13,0.0,0.003488996242619431,0.0,0.4982555018786903,0.00325,1.0,,0,0.0,0,0.0,0,0.0,0,0.0
cohort_transfer,entropy_low__current,all,15600,564,15036,62,455,0.1099290780141844,0.03026070763500931,0.11992263056092843,0.5398341851895876,0.03314102564102564,0.9476733711337312,10.0,62,0.1099290780141844,57,0.10106382978723404,55,0.0975177304964539,45,0.0797872340425532
cohort_transfer,entropy_low__current,standard_3_suites,11600,290,11310,60,449,0.20689655172413793,0.03969938107869142,0.11787819253438114,0.5835985853227232,0.04387931034482759,0.9006001925145801,10.0,60,0.20689655172413793,56,0.19310344827586207,54,0.18620689655172415,44,0.15172413793103448
cohort_transfer,entropy_low__current,long,4000,274,3726,2,6,0.0072992700729927005,0.001610305958132045,0.25,0.5028444820574304,0.002,0.9974953485043653,17.5,2,0.0072992700729927005,1,0.0036496350364963502,1,0.0036496350364963502,1,0.0036496350364963502
cohort_transfer,entropy_low__mean,all,15600,564,15036,36,432,0.06382978723404255,0.028731045490822026,0.07692307692307693,0.5175493708716102,0.03,0.9685916919959472,11.0,36,0.06382978723404255,26,0.04609929078014184,22,0.03900709219858156,22,0.03900709219858156
