setting,method,scope,events,detected,median_delay_detected,within2_fraction_all_events,recall_before0,recall_before2,recall_before4
cohort_transfer,deviation_global__current,all_observed_releases_in_failures,397,41,1.0,0.037783375314861464,0.04785894206549118,0.022670025188916875,0.017632241813602016
cohort_transfer,deviation_global__current,drop_related_primary_reason,208,38,1.0,0.07211538461538461,0.08173076923076923,0.03365384615384615,0.02403846153846154
cohort_transfer,deviation_global__mean,all_observed_releases_in_failures,397,18,-2.5,0.007556675062972292,0.030226700251889168,0.02518891687657431,0.020151133501259445
cohort_transfer,deviation_global__mean,drop_related_primary_reason,208,18,-2.5,0.014423076923076924,0.057692307692307696,0.04807692307692308,0.038461538461538464
cohort_transfer,deviation_step__current,all_observed_releases_in_failures,397,76,7.0,0.027707808564231738,0.04030226700251889,0.027707808564231738,0.02518891687657431
cohort_transfer,deviation_step__current,drop_related_primary_reason,208,65,7.0,0.052884615384615384,0.057692307692307696,0.03365384615384615,0.028846153846153848
cohort_transfer,deviation_step__mean,all_observed_releases_in_failures,397,45,8.0,0.005037783375314861,0.0327455919395466,0.0327455919395466,0.027707808564231738
cohort_transfer,deviation_step__mean,drop_related_primary_reason,208,45,8.0,0.009615384615384616,0.0625,0.0625,0.052884615384615384
cohort_transfer,clock,all_observed_releases_in_failures,397,244,19.0,0.010075566750629723,0.04030226700251889,0.037783375314861464,0.02518891687657431
cohort_transfer,clock,drop_related_primary_reason,208,55,26.0,0.0,0.004807692307692308,0.004807692307692308,0.0
cohort_transfer,random,all_observed_releases_in_failures,397,36,6.5,0.007556675062972292,0.0327455919395466,0.0327455919395466,0.027707808564231738
cohort_transfer,random,drop_related_primary_reason,208,16,9.5,0.009615384615384616,0.014423076923076924,0.014423076923076924,0.004807692307692308
cohort_transfer,v7_unlabeled_budget,all_observed_releases_in_failures,397,314,14.0,0.0025188916876574307,0.04785894206549118,0.04534005037783375,0.04030226700251889
cohort_transfer,v7_unlabeled_budget,drop_related_primary_reason,208,149,11.0,0.004807692307692308,0.019230769230769232,0.014423076923076924,0.004807692307692308
task_heldout,entropy_high__current,all_observed_releases_in_failures,397,0,,0.0,0.0,0.0,0.0
task_heldout,entropy_high__current,drop_related_primary_reason,208,0,,0.0,0.0,0.0,0.0
task_heldout,entropy_high__mean,all_observed_releases_in_failures,397,2,-6.0,0.0,0.005037783375314861,0.005037783375314861,0.005037783375314861
task_heldout,entropy_high__mean,drop_related_primary_reason,208,2,-6.0,0.0,0.009615384615384616,0.009615384615384616,0.009615384615384616
task_heldout,entropy_low__current,all_observed_releases_in_failures,397,47,3.0,0.030226700251889168,0.04534005037783375,0.027707808564231738,0.022670025188916875
task_heldout,entropy_low__current,drop_related_primary_reason,208,46,3.0,0.057692307692307696,0.08173076923076923,0.04807692307692308,0.038461538461538464
task_heldout,entropy_low__mean,all_observed_releases_in_failures,397,29,1.0,0.007556675062972292,0.03526448362720403,0.030226700251889168,0.027707808564231738
task_heldout,entropy_low__mean,drop_related_primary_reason,208,29,1.0,0.014423076923076924,0.0673076923076923,0.057692307692307696,0.052884615384615384
task_heldout,margin_low__current,all_observed_releases_in_failures,397,14,-5.5,0.0,0.020151133501259445,0.020151133501259445,0.020151133501259445
task_heldout,margin_low__current,drop_related_primary_reason,208,6,-7.0,0.0,0.019230769230769232,0.019230769230769232,0.019230769230769232
task_heldout,margin_low__mean,all_observed_releases_in_failures,397,8,-16.5,0.0,0.020151133501259445,0.020151133501259445,0.020151133501259445
task_heldout,margin_low__mean,drop_related_primary_reason,208,7,-16.0,0.0,0.03365384615384615,0.03365384615384615,0.03365384615384615
task_heldout,token_collapse__current,all_observed_releases_in_failures,397,20,4.0,0.005037783375314861,0.007556675062972292,0.007556675062972292,0.007556675062972292
task_heldout,token_collapse__current,drop_related_primary_reason,208,17,4.0,0.009615384615384616,0.0,0.0,0.0
task_heldout,token_collapse__mean,all_observed_releases_in_failures,397,52,-12.0,0.0,0.1309823677581864,0.1309823677581864,0.1309823677581864
task_heldout,token_collapse__mean,drop_related_primary_reason,208,24,-11.0,0.0,0.11538461538461539,0.11538461538461539,0.11538461538461539
task_heldout,flow_path_high__current,all_observed_releases_in_failures,397,68,1.0,0.08564231738035265,0.07304785894206549,0.022670025188916875,0.015113350125944584
task_heldout,flow_path_high__current,drop_related_primary_reason,208,67,1.0,0.16346153846153846,0.1346153846153846,0.038461538461538464,0.02403846153846154
task_heldout,flow_path_high__mean,all_observed_releases_in_failures,397,46,3.0,0.010075566750629723,0.04030226700251889,0.03526448362720403,0.0327455919395466
task_heldout,flow_path_high__mean,drop_related_primary_reason,208,46,3.0,0.019230769230769232,0.07692307692307693,0.0673076923076923,0.0625
task_heldout,frontback_inversion__current,all_observed_releases_in_failures,397,112,5.0,0.0654911838790932,0.07808564231738035,0.04030226700251889,0.037783375314861464
task_heldout,frontback_inversion__current,drop_related_primary_reason,208,90,4.0,0.125,0.11057692307692307,0.038461538461538464,0.03365384615384615
task_heldout,frontback_inversion__mean,all_observed_releases_in_failures,397,37,0.0,0.012594458438287154,0.05037783375314862,0.04534005037783375,0.042821158690176324
task_heldout,frontback_inversion__mean,drop_related_primary_reason,208,37,0.0,0.02403846153846154,0.09615384615384616,0.08653846153846154,0.08173076923076923
task_heldout,entropy_front_low__current,all_observed_releases_in_failures,397,42,0.0,0.07304785894206549,0.06801007556675064,0.0025188916876574307,0.0
task_heldout,entropy_front_low__current,drop_related_primary_reason,208,42,0.0,0.13942307692307693,0.12980769230769232,0.004807692307692308,0.0
task_heldout,entropy_front_low__mean,all_observed_releases_in_failures,397,10,-10.0,0.0,0.02518891687657431,0.02518891687657431,0.02518891687657431
task_heldout,entropy_front_low__mean,drop_related_primary_reason,208,10,-10.0,0.0,0.04807692307692308,0.04807692307692308,0.04807692307692308
task_heldout,entropy_first_flow_low__current,all_observed_releases_in_failures,397,64,1.0,0.07556675062972293,0.05793450881612091,0.02518891687657431,0.02518891687657431
task_heldout,entropy_first_flow_low__current,drop_related_primary_reason,208,64,1.0,0.14423076923076922,0.11057692307692307,0.04807692307692308,0.04807692307692308
