episode,init_state_id,flow_noise_seed,physical_type,pot2_anchor_query,prospective_cut_query,physical_onset_query
0,0,1000,active_return,16,24,37
1,0,1001,stagnation_core,17,25,27
2,0,1002,success,17,25,26
3,0,1003,stagnation_core,17,25,30
4,0,1004,success,17,25,27
5,0,1005,active_return,17,25,51
6,0,1006,success,17,25,27
7,0,1007,stagnation_core,18,26,28
8,0,1008,success,17,25,27
10,0,1010,success,17,25,27
11,0,1011,stagnation_core,16,24,28
12,0,1012,success,18,26,27
13,0,1013,stagnation_core,17,25,27
14,0,1014,stagnation_core,17,25,27
15,0,1015,success,17,25,27
16,0,1016,stagnation_core,17,25,27
17,0,1017,active_return,17,25,36
18,0,1018,active_return,17,25,46
19,0,1019,success,17,25,27
20,0,1020,success,17,25,26
21,0,1021,success,17,25,27
22,0,1022,success,17,25,27
23,0,1023,active_return,16,24,46
24,0,1024,active_return,16,24,45
25,0,1025,success,17,25,26
26,0,1026,success,17,25,26
27,0,1027,stagnation_core,17,25,27
29,0,1029,success,18,26,28
30,0,1030,active_return,16,24,36
31,0,1031,stagnation_core,17,25,29
32,3,1000,stagnation_core,19,27,28
33,3,1001,stagnation_core,19,27,28
34,3,1002,active_return,19,27,40
35,3,1003,stagnation_core,19,27,29
36,3,1004,active_return,19,27,39
37,3,1005,stagnation_core,19,27,29
38,3,1006,stagnation_core,19,27,29
39,3,1007,success,19,27,28
40,3,1008,active_return,19,27,40
41,3,1009,stagnation_core,19,27,29
42,3,1010,stagnation_core,19,27,29
43,3,1011,success,18,26,28
45,3,1013,stagnation_core,19,27,29
46,3,1014,active_return,19,27,37
47,3,1015,success,19,27,28
49,3,1017,stagnation_core,19,27,29
50,3,1018,active_return,19,27,39
51,3,1019,success,19,27,29
52,3,1020,stagnation_core,19,27,29
53,3,1021,stagnation_core,19,27,29
55,3,1023,active_return,19,27,39
57,3,1025,active_return,19,27,38
58,3,1026,stagnation_core,19,27,29
59,3,1027,success,19,27,28
60,3,1028,stagnation_core,19,27,28
61,3,1029,stagnation_core,19,27,29
63,3,1031,stagnation_core,19,27,29
64,7,1000,success,17,25,27
65,7,1001,success,17,25,26
67,7,1003,success,18,26,28
68,7,1004,success,18,26,27
69,7,1005,active_return,18,26,47
70,7,1006,success,18,26,28
71,7,1007,success,18,26,28
72,7,1008,success,18,26,28
73,7,1009,success,18,26,28
75,7,1011,success,18,26,27
76,7,1012,success,18,26,27
77,7,1013,success,17,25,26
78,7,1014,success,17,25,26
79,7,1015,success,18,26,27
80,7,1016,success,18,26,27
82,7,1018,success,18,26,28
83,7,1019,success,18,26,27
84,7,1020,success,18,26,28
85,7,1021,success,17,25,26
86,7,1022,success,19,27,29
87,7,1023,success,19,27,29
88,7,1024,success,18,26,27
89,7,1025,success,18,26,28
90,7,1026,success,18,26,27
91,7,1027,success,18,26,27
92,7,1028,success,18,26,28
93,7,1029,success,18,26,27
94,7,1030,success,17,25,27
95,7,1031,success,18,26,27
97,10,1001,active_return,15,23,42
100,10,1004,success,16,24,26
101,10,1005,active_return,15,23,44
102,10,1006,active_return,16,24,47
103,10,1007,success,17,25,27
104,10,1008,success,16,24,26
108,10,1012,success,17,25,27
111,10,1015,success,17,25,27
112,10,1016,success,17,25,27
113,10,1017,active_return,16,24,45
115,10,1019,success,17,25,27
116,10,1020,active_return,15,23,45
120,10,1024,success,17,25,26
123,10,1027,success,17,25,26
124,10,1028,active_return,16,24,46
129,13,1001,stagnation_core,18,26,27
130,13,1002,stagnation_core,18,26,27
132,13,1004,stagnation_core,18,26,27
133,13,1005,stagnation_core,18,26,27
134,13,1006,success,18,26,27
135,13,1007,stagnation_core,18,26,27
136,13,1008,success,18,26,28
137,13,1009,stagnation_core,18,26,27
138,13,1010,stagnation_core,18,26,27
140,13,1012,stagnation_core,19,27,28
141,13,1013,stagnation_core,18,26,27
142,13,1014,stagnation_core,18,26,27
143,13,1015,stagnation_core,19,27,28
145,13,1017,stagnation_core,18,26,28
146,13,1018,stagnation_core,18,26,27
147,13,1019,stagnation_core,18,26,27
149,13,1021,success,18,26,27
151,13,1023,success,19,27,28
152,13,1024,active_return,18,26,42
153,13,1025,stagnation_core,18,26,27
155,13,1027,stagnation_core,18,26,27
158,13,1030,stagnation_core,18,26,27
159,13,1031,stagnation_core,18,26,27
160,16,1000,success,17,25,27
161,16,1001,stagnation_core,16,24,25
162,16,1002,success,17,25,26
163,16,1003,success,17,25,27
164,16,1004,success,18,26,28
165,16,1005,success,17,25,27
166,16,1006,success,17,25,27
167,16,1007,stagnation_core,18,26,27
168,16,1008,success,17,25,26
169,16,1009,success,17,25,26
170,16,1010,success,17,25,27
171,16,1011,success,18,26,27
172,16,1012,stagnation_core,18,26,27
173,16,1013,success,17,25,27
174,16,1014,success,18,26,27
175,16,1015,success,18,26,27
176,16,1016,success,16,24,25
178,16,1018,success,18,26,27
179,16,1019,success,18,26,27
180,16,1020,success,16,24,27
181,16,1021,success,17,25,27
182,16,1022,success,17,25,26
183,16,1023,success,18,26,27
184,16,1024,success,17,25,26
185,16,1025,success,17,25,27
186,16,1026,success,17,25,27
187,16,1027,success,18,26,28
188,16,1028,success,18,26,28
189,16,1029,success,17,25,26
190,16,1030,success,18,26,27
191,16,1031,success,18,26,28
192,20,1000,success,19,27,29
193,20,1001,success,19,27,29
194,20,1002,success,19,27,29
195,20,1003,success,19,27,29
196,20,1004,success,20,28,30
197,20,1005,success,20,28,29
198,20,1006,stagnation_core,19,27,45
199,20,1007,success,20,28,30
200,20,1008,success,19,27,28
201,20,1009,stagnation_core,20,28,37
202,20,1010,success,19,27,29
205,20,1013,success,20,28,29
206,20,1014,success,20,28,29
207,20,1015,success,20,28,29
208,20,1016,success,19,27,29
209,20,1017,success,20,28,29
210,20,1018,success,19,27,31
212,20,1020,success,19,27,29
213,20,1021,stagnation_core,20,28,38
214,20,1022,success,20,28,29
215,20,1023,success,19,27,29
216,20,1024,success,20,28,29
217,20,1025,success,19,27,28
218,20,1026,stagnation_core,19,27,45
219,20,1027,success,19,27,29
220,20,1028,stagnation_core,19,27,46
221,20,1029,stagnation_core,19,27,45
222,20,1030,success,20,28,29
223,20,1031,success,20,28,29
224,23,1000,success,20,28,29
225,23,1001,success,20,28,29
226,23,1002,active_return,21,29,45
227,23,1003,success,19,27,29
228,23,1004,success,19,27,28
230,23,1006,success,19,27,28
231,23,1007,success,19,27,28
232,23,1008,success,19,27,29
234,23,1010,success,19,27,28
235,23,1011,success,19,27,29
236,23,1012,success,21,29,31
237,23,1013,success,20,28,29
238,23,1014,success,20,28,29
239,23,1015,success,20,28,29
240,23,1016,stagnation_core,21,29,36
241,23,1017,success,19,27,28
242,23,1018,success,20,28,29
243,23,1019,active_return,23,31,50
244,23,1020,success,20,28,29
245,23,1021,success,20,28,30
246,23,1022,success,20,28,29
247,23,1023,success,19,27,28
248,23,1024,success,19,27,28
250,23,1026,success,20,28,29
252,23,1028,success,19,27,29
253,23,1029,success,20,28,29
254,23,1030,success,20,28,31
255,23,1031,success,19,27,28
256,26,1000,success,19,27,29
257,26,1001,active_return,21,29,38
258,26,1002,stagnation_core,20,28,30
259,26,1003,stagnation_core,19,27,29
260,26,1004,stagnation_core,22,30,31
261,26,1005,active_return,21,29,46
262,26,1006,stagnation_core,19,27,29
263,26,1007,success,19,27,29
264,26,1008,success,20,28,30
