suite,phase,rows,horizon,vl_absolute,vl_fraction
libero_goal,approach,9833,27,10.0,0.37037037037037035
libero_goal,closed,2877,27,12.0,0.4444444444444444
libero_goal,transport,13502,27,17.0,0.6296296296296297
libero_long,approach,12482,51,10.0,0.19607843137254902
libero_long,closed,2578,51,12.0,0.23529411764705882
libero_long,transport,43473,51,31.0,0.6078431372549019
libero_object,approach,8112,26,5.0,0.19230769230769232
libero_object,closed,2499,26,6.0,0.23076923076923078
libero_object,transport,19862,26,14.0,0.5384615384615384
libero_spatial,approach,9276,17,4.0,0.23529411764705882
libero_spatial,closed,3874,17,6.0,0.35294117647058826
libero_spatial,transport,20612,17,11.0,0.6470588235294118
