run_role,episode_index,init_state_id,failure_family,anchors,raw_count,any_raw,consecutive2,two_in5,two_in10,three_in10
preliminary_gpu4,0,3,target_missed_grasp_proxy,[37],1,True,False,False,False,False
preliminary_gpu4,1,0,success,"[11,29]",1,True,False,False,False,False
preliminary_gpu4,2,20,target_missed_grasp_proxy,"[14,33]",1,True,False,False,False,False
preliminary_gpu4,3,7,success,"[10,29]",0,False,False,False,False,False
preliminary_gpu4,4,7,success,"[10,28]",2,True,False,False,True,False
preliminary_gpu4,5,20,success,"[14,32]",0,False,False,False,False,False
preliminary_gpu4,6,0,success,"[11,29]",1,True,False,False,False,False
preliminary_gpu4,7,3,other_failure,[],1,True,False,False,False,False
heldout_gpu4,0,7,success,"[15,33]",0,False,False,False,False,False
heldout_gpu4,1,3,target_missed_grasp_proxy,[34],5,True,False,True,True,True
heldout_gpu4,2,20,other_failure,[],1,True,False,False,False,False
heldout_gpu4,3,0,other_failure,[],0,False,False,False,False,False
heldout_gpu4,4,20,target_missed_grasp_proxy,"[14,34]",1,True,False,False,False,False
heldout_gpu4,5,7,success,"[10,30]",1,True,False,False,False,False
heldout_gpu4,6,3,other_failure,[],2,True,False,True,True,False
heldout_gpu4,7,0,success,"[11,31]",1,True,False,False,False,False
gpu5_extended,0,7,success,"[10,28]",1,True,False,False,False,False
gpu5_extended,1,20,other_failure,[],0,False,False,False,False,False
gpu5_extended,2,0,success,"[12,30]",0,False,False,False,False,False
gpu5_extended,3,3,other_failure,[],4,True,False,True,True,True
gpu5_extended,4,3,target_missed_grasp_proxy,[48],2,True,False,False,False,False
gpu5_extended,5,7,success,"[10,28]",0,False,False,False,False,False
gpu5_extended,6,0,success,"[11,33]",2,True,False,True,True,False
gpu5_extended,7,20,other_failure,[],0,False,False,False,False,False
gpu5_extended,8,7,success,"[11,29]",0,False,False,False,False,False
gpu5_extended,9,0,other_failure,[],0,False,False,False,False,False
gpu5_extended,10,20,target_missed_grasp_proxy,"[15,35]",1,True,False,False,False,False
gpu5_extended,11,3,other_failure,[],5,True,True,True,True,True
gpu5_extended,12,7,success,"[10,28]",0,False,False,False,False,False
gpu5_extended,13,0,success,"[11,29]",0,False,False,False,False,False
gpu5_extended,14,20,target_missed_grasp_proxy,[37],3,True,True,True,True,True
gpu5_extended,15,3,other_failure,[],4,True,False,True,True,True
gpu5_extended,16,7,success,"[10,29]",0,False,False,False,False,False
gpu5_extended,17,20,other_failure,[],3,True,False,False,False,False
gpu5_extended,18,0,success,"[11,30]",0,False,False,False,False,False
gpu5_extended,19,3,other_failure,[],3,True,False,True,True,True
gpu5_extended,20,7,success,"[10,28]",0,False,False,False,False,False
gpu5_extended,21,20,target_missed_grasp_proxy,"[14,34]",0,False,False,False,False,False
gpu5_extended,22,3,other_failure,[],4,True,True,True,True,False
gpu5_extended,23,0,target_missed_grasp_proxy,[45],0,False,False,False,False,False
