run_role,episode_index,init_state_id,failure_family,window,feature,score
preliminary_gpu4,1,0,success,pre5,front_chunk_jump_h,0.04184931702911854
preliminary_gpu4,1,0,success,pre5,back_chunk_jump_h,0.0346136474981904
preliminary_gpu4,1,0,success,pre5,layer5_state_action_gap,0.23414307832717896
preliminary_gpu4,1,0,success,at,frozen_conjunction_margin,-0.28006534464495275
preliminary_gpu4,1,0,success,at,layer5_gap_log_ratio,-0.28006534464495275
preliminary_gpu4,1,0,success,at,back_jump_log_ratio,-0.025135869589158703
preliminary_gpu4,1,0,success,at,nominal_action_log_margin,0.13959668514296003
preliminary_gpu4,1,0,success,at,phase_match_distance,0.04022638180426189
preliminary_gpu4,1,0,success,at,front_late_flow_wj,0.035454750061035156
preliminary_gpu4,1,0,success,at,back_late_flow_wj,0.02709275484085083
preliminary_gpu4,1,0,success,at,front_route_acceleration,0.013066708930921461
preliminary_gpu4,1,0,success,at,back_route_acceleration,0.0075300035203913675
preliminary_gpu4,1,0,success,at,front_chunk_jump_h,0.04542984161525965
preliminary_gpu4,1,0,success,at,back_chunk_jump_h,0.04018976166844368
preliminary_gpu4,1,0,success,at,layer5_state_action_gap,0.2244846224784851
preliminary_gpu4,1,0,success,post5,frozen_conjunction_margin,0.017667407565195317
preliminary_gpu4,1,0,success,post5,layer5_gap_log_ratio,0.017667407565195317
preliminary_gpu4,1,0,success,post5,back_jump_log_ratio,0.1082067781544656
preliminary_gpu4,1,0,success,post5,nominal_action_log_margin,0.2400168993360401
preliminary_gpu4,1,0,success,post5,phase_match_distance,0.03798170068434307
preliminary_gpu4,1,0,success,post5,front_late_flow_wj,0.029482578858733177
preliminary_gpu4,1,0,success,post5,back_late_flow_wj,0.027940167114138603
preliminary_gpu4,1,0,success,post5,front_route_acceleration,0.012005449062829437
preliminary_gpu4,1,0,success,post5,back_route_acceleration,0.007488026319119585
preliminary_gpu4,1,0,success,post5,front_chunk_jump_h,0.043594774790108204
preliminary_gpu4,1,0,success,post5,back_chunk_jump_h,0.046131839975714684
preliminary_gpu4,1,0,success,post5,layer5_state_action_gap,0.7158213257789612
preliminary_gpu4,1,0,success,around5,frozen_conjunction_margin,0.017667407565195317
preliminary_gpu4,1,0,success,around5,layer5_gap_log_ratio,0.017667407565195317
preliminary_gpu4,1,0,success,around5,back_jump_log_ratio,0.1082067781544656
preliminary_gpu4,1,0,success,around5,nominal_action_log_margin,0.2871563418140662
preliminary_gpu4,1,0,success,around5,phase_match_distance,0.04022638180426189
preliminary_gpu4,1,0,success,around5,front_late_flow_wj,0.035454750061035156
preliminary_gpu4,1,0,success,around5,back_late_flow_wj,0.027940167114138603
preliminary_gpu4,1,0,success,around5,front_route_acceleration,0.013066708930921461
preliminary_gpu4,1,0,success,around5,back_route_acceleration,0.0075300035203913675
preliminary_gpu4,1,0,success,around5,front_chunk_jump_h,0.04542984161525965
preliminary_gpu4,1,0,success,around5,back_chunk_jump_h,0.046131839975714684
preliminary_gpu4,1,0,success,around5,layer5_state_action_gap,0.7158213257789612
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,frozen_conjunction_margin,-0.03636806684539644
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,layer5_gap_log_ratio,0.11564333936945295
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,back_jump_log_ratio,0.06971375600384684
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,nominal_action_log_margin,0.15522811434711176
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,phase_match_distance,0.039356631359883716
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,front_late_flow_wj,0.037814173847436905
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,back_late_flow_wj,0.036615028977394104
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,front_route_acceleration,0.012971579968561306
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,back_route_acceleration,0.009636736491805253
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,front_chunk_jump_h,0.04175562039017677
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,back_chunk_jump_h,0.03376647178083658
preliminary_gpu4,2,20,target_missed_grasp_proxy,pre5,layer5_state_action_gap,0.2600962817668915
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,frozen_conjunction_margin,-0.11623409527798904
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,layer5_gap_log_ratio,-0.11623409527798904
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,back_jump_log_ratio,-0.11574030669484259
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,nominal_action_log_margin,0.23341645040223755
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,phase_match_distance,0.04036903381347656
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,front_late_flow_wj,0.03761965036392212
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,back_late_flow_wj,0.03173403814435005
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,front_route_acceleration,0.013340901715877068
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,back_route_acceleration,0.008498377087097463
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,front_chunk_jump_h,0.04381559509783983
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,back_chunk_jump_h,0.03929893206804991
preliminary_gpu4,2,20,target_missed_grasp_proxy,at,layer5_state_action_gap,0.4822266101837158
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,frozen_conjunction_margin,0.07341134359597169
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,layer5_gap_log_ratio,0.27986914892497067
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,back_jump_log_ratio,0.2739358491502237
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,nominal_action_log_margin,0.16585014629878922
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,phase_match_distance,0.042741336460624425
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,front_late_flow_wj,0.033292487263679504
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,back_late_flow_wj,0.030790280550718307
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,front_route_acceleration,0.012824681680265496
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,back_route_acceleration,0.007980340176579203
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,front_chunk_jump_h,0.0465763621032238
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,back_chunk_jump_h,0.03884588088840246
preliminary_gpu4,2,20,target_missed_grasp_proxy,post5,layer5_state_action_gap,0.701069176197052
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,frozen_conjunction_margin,0.07341134359597169
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,layer5_gap_log_ratio,0.27986914892497067
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,back_jump_log_ratio,0.2739358491502237
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,nominal_action_log_margin,0.23341645040223755
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,phase_match_distance,0.042741336460624425
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,front_late_flow_wj,0.037814173847436905
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,back_late_flow_wj,0.036615028977394104
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,front_route_acceleration,0.013340901715877068
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,back_route_acceleration,0.009636736491805253
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,front_chunk_jump_h,0.0465763621032238
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,back_chunk_jump_h,0.03929893206804991
preliminary_gpu4,2,20,target_missed_grasp_proxy,around5,layer5_state_action_gap,0.701069176197052
preliminary_gpu4,3,7,success,pre5,frozen_conjunction_margin,-0.03108192798175259
preliminary_gpu4,3,7,success,pre5,layer5_gap_log_ratio,0.22775448888207617
preliminary_gpu4,3,7,success,pre5,back_jump_log_ratio,0.04979109603375666
preliminary_gpu4,3,7,success,pre5,nominal_action_log_margin,0.15875541361394147
preliminary_gpu4,3,7,success,pre5,phase_match_distance,0.03924615574734552
preliminary_gpu4,3,7,success,pre5,front_late_flow_wj,0.03493944928050041
preliminary_gpu4,3,7,success,pre5,back_late_flow_wj,0.0258344616740942
preliminary_gpu4,3,7,success,pre5,front_route_acceleration,0.01253822412843702
preliminary_gpu4,3,7,success,pre5,back_route_acceleration,0.007385707388400789
preliminary_gpu4,3,7,success,pre5,front_chunk_jump_h,0.04434138536453247
preliminary_gpu4,3,7,success,pre5,back_chunk_jump_h,0.03508201986551285
preliminary_gpu4,3,7,success,pre5,layer5_state_action_gap,0.2882108688354492
preliminary_gpu4,3,7,success,at,frozen_conjunction_margin,-0.042112346454456974
preliminary_gpu4,3,7,success,at,layer5_gap_log_ratio,-0.042112346454456974
preliminary_gpu4,3,7,success,at,back_jump_log_ratio,0.11511993478424651
preliminary_gpu4,3,7,success,at,nominal_action_log_margin,0.08936913489505728
preliminary_gpu4,3,7,success,at,phase_match_distance,0.04093354833977563
preliminary_gpu4,3,7,success,at,front_late_flow_wj,0.034825779497623444
preliminary_gpu4,3,7,success,at,back_late_flow_wj,0.025616323575377464
preliminary_gpu4,3,7,success,at,front_route_acceleration,0.012745001851022165
preliminary_gpu4,3,7,success,at,back_route_acceleration,0.007712154908332977
preliminary_gpu4,3,7,success,at,front_chunk_jump_h,0.04627282731235027
preliminary_gpu4,3,7,success,at,back_chunk_jump_h,0.0396569911390543
preliminary_gpu4,3,7,success,at,layer5_state_action_gap,0.28363773226737976
preliminary_gpu4,3,7,success,post5,frozen_conjunction_margin,-0.0048353532123365335
preliminary_gpu4,3,7,success,post5,layer5_gap_log_ratio,0.4357457973620074
preliminary_gpu4,3,7,success,post5,back_jump_log_ratio,0.43863826256663285
preliminary_gpu4,3,7,success,post5,nominal_action_log_margin,0.2982718465117167
preliminary_gpu4,3,7,success,post5,phase_match_distance,0.04413807126028197
preliminary_gpu4,3,7,success,post5,front_late_flow_wj,0.0328964963555336
preliminary_gpu4,3,7,success,post5,back_late_flow_wj,0.027808938175439835
preliminary_gpu4,3,7,success,post5,front_route_acceleration,0.012250778831874873
preliminary_gpu4,3,7,success,post5,back_route_acceleration,0.007350007595957273
preliminary_gpu4,3,7,success,post5,front_chunk_jump_h,0.04929548595100641
preliminary_gpu4,3,7,success,post5,back_chunk_jump_h,0.041997519321739674
preliminary_gpu4,3,7,success,post5,layer5_state_action_gap,0.692994236946106
preliminary_gpu4,3,7,success,around5,frozen_conjunction_margin,-0.0048353532123365335
preliminary_gpu4,3,7,success,around5,layer5_gap_log_ratio,0.4357457973620074
preliminary_gpu4,3,7,success,around5,back_jump_log_ratio,0.43863826256663285
preliminary_gpu4,3,7,success,around5,nominal_action_log_margin,0.2982718465117167
preliminary_gpu4,3,7,success,around5,phase_match_distance,0.04413807126028197
preliminary_gpu4,3,7,success,around5,front_late_flow_wj,0.03493944928050041
preliminary_gpu4,3,7,success,around5,back_late_flow_wj,0.027808938175439835
preliminary_gpu4,3,7,success,around5,front_route_acceleration,0.012745001851022165
preliminary_gpu4,3,7,success,around5,back_route_acceleration,0.007712154908332977
preliminary_gpu4,3,7,success,around5,front_chunk_jump_h,0.04929548595100641
preliminary_gpu4,3,7,success,around5,back_chunk_jump_h,0.041997519321739674
preliminary_gpu4,3,7,success,around5,layer5_state_action_gap,0.692994236946106
preliminary_gpu4,4,7,success,pre5,frozen_conjunction_margin,-0.10169327289757735
preliminary_gpu4,4,7,success,pre5,layer5_gap_log_ratio,0.40722243638152933
preliminary_gpu4,4,7,success,pre5,back_jump_log_ratio,0.11635128622614685
preliminary_gpu4,4,7,success,pre5,nominal_action_log_margin,0.23351385681955544
preliminary_gpu4,4,7,success,pre5,phase_match_distance,0.03670879719512803
preliminary_gpu4,4,7,success,pre5,front_late_flow_wj,0.03418400511145592
preliminary_gpu4,4,7,success,pre5,back_late_flow_wj,0.026841478422284126
preliminary_gpu4,4,7,success,pre5,front_route_acceleration,0.012436062706129895
preliminary_gpu4,4,7,success,pre5,back_route_acceleration,0.007604272866289327
preliminary_gpu4,4,7,success,pre5,front_chunk_jump_h,0.03918638825416565
preliminary_gpu4,4,7,success,pre5,back_chunk_jump_h,0.03169506462290883
preliminary_gpu4,4,7,success,pre5,layer5_state_action_gap,0.3548709750175476
preliminary_gpu4,4,7,success,at,frozen_conjunction_margin,-0.23248965163219512
preliminary_gpu4,4,7,success,at,layer5_gap_log_ratio,-0.23248965163219512
preliminary_gpu4,4,7,success,at,back_jump_log_ratio,0.05592648282726842
preliminary_gpu4,4,7,success,at,nominal_action_log_margin,0.10837476144079865
preliminary_gpu4,4,7,success,at,phase_match_distance,0.04060175642371178
preliminary_gpu4,4,7,success,at,front_late_flow_wj,0.03665534034371376
preliminary_gpu4,4,7,success,at,back_late_flow_wj,0.028355615213513374
preliminary_gpu4,4,7,success,at,front_route_acceleration,0.012990913636558878
preliminary_gpu4,4,7,success,at,back_route_acceleration,0.007856016023314172
preliminary_gpu4,4,7,success,at,front_chunk_jump_h,0.04582199640572071
preliminary_gpu4,4,7,success,at,back_chunk_jump_h,0.041555244475603104
preliminary_gpu4,4,7,success,at,layer5_state_action_gap,0.18812377750873566
preliminary_gpu4,4,7,success,post5,frozen_conjunction_margin,0.019707803999801682
preliminary_gpu4,4,7,success,post5,layer5_gap_log_ratio,0.019707803999801682
preliminary_gpu4,4,7,success,post5,back_jump_log_ratio,0.12845314822237652
preliminary_gpu4,4,7,success,post5,nominal_action_log_margin,0.28481815373876934
preliminary_gpu4,4,7,success,post5,phase_match_distance,0.04269691822784288
preliminary_gpu4,4,7,success,post5,front_late_flow_wj,0.03285663574934006
preliminary_gpu4,4,7,success,post5,back_late_flow_wj,0.02739766240119934
preliminary_gpu4,4,7,success,post5,front_route_acceleration,0.01237489579777691
preliminary_gpu4,4,7,success,post5,back_route_acceleration,0.007350431734634566
preliminary_gpu4,4,7,success,post5,front_chunk_jump_h,0.04512409307062626
preliminary_gpu4,4,7,success,post5,back_chunk_jump_h,0.04569625575095415
preliminary_gpu4,4,7,success,post5,layer5_state_action_gap,0.7036871314048767
preliminary_gpu4,4,7,success,around5,frozen_conjunction_margin,0.019707803999801682
preliminary_gpu4,4,7,success,around5,layer5_gap_log_ratio,0.40722243638152933
preliminary_gpu4,4,7,success,around5,back_jump_log_ratio,0.12845314822237652
preliminary_gpu4,4,7,success,around5,nominal_action_log_margin,0.28481815373876934
preliminary_gpu4,4,7,success,around5,phase_match_distance,0.04269691822784288
preliminary_gpu4,4,7,success,around5,front_late_flow_wj,0.03665534034371376
preliminary_gpu4,4,7,success,around5,back_late_flow_wj,0.028355615213513374
