scope,window,feature,target_episodes,success_episodes,auc_target_higher,p_one_sided,p_maxT
gpu5_extended,pre5,frozen_conjunction_margin,5,10,0.42,0.6656668666266746,1.0
gpu5_extended,pre5,layer5_gap_log_ratio,5,10,0.4,0.7504499100179964,1.0
gpu5_extended,pre5,back_jump_log_ratio,5,10,0.32,0.8462307538492302,1.0
gpu5_extended,pre5,nominal_action_log_margin,5,10,0.22,0.9514097180563887,1.0
gpu5_extended,pre5,phase_match_distance,5,10,0.86,0.011597680463907219,0.3509298140371926
gpu5_extended,pre5,front_late_flow_wj,5,10,0.78,0.041991601679664065,0.6660667866426715
gpu5_extended,pre5,back_late_flow_wj,5,10,0.68,0.15396920615876825,0.9858028394321136
gpu5_extended,pre5,front_route_acceleration,5,10,0.64,0.1843631273745251,0.9946010797840432
gpu5_extended,pre5,back_route_acceleration,5,10,0.8,0.038992201559688064,0.6660667866426715
gpu5_extended,pre5,front_chunk_jump_h,5,10,0.32,0.8494301139772046,1.0
gpu5_extended,pre5,back_chunk_jump_h,5,10,0.16,0.981003799240152,1.0
gpu5_extended,pre5,layer5_state_action_gap,5,10,0.12,0.9914017196560688,1.0
gpu5_extended,at,frozen_conjunction_margin,5,10,0.14,0.9914017196560688,1.0
gpu5_extended,at,layer5_gap_log_ratio,5,10,0.3,0.902619476104779,1.0
gpu5_extended,at,back_jump_log_ratio,5,10,0.18,0.9788042391521695,1.0
gpu5_extended,at,nominal_action_log_margin,5,10,0.12,0.9882023595280944,1.0
gpu5_extended,at,phase_match_distance,5,10,0.74,0.08258348330333934,0.8914217156568687
gpu5_extended,at,front_late_flow_wj,5,10,0.7,0.09438112377524495,0.9388122375524895
gpu5_extended,at,back_late_flow_wj,5,10,0.92,0.004399120175964807,0.124375124975005
gpu5_extended,at,front_route_acceleration,5,10,0.7,0.10417916416716656,0.9388122375524895
gpu5_extended,at,back_route_acceleration,5,10,0.9,0.003599280143971206,0.124375124975005
gpu5_extended,at,front_chunk_jump_h,5,10,0.54,0.4427114577084583,1.0
gpu5_extended,at,back_chunk_jump_h,5,10,0.18,0.9816036792641472,1.0
gpu5_extended,at,layer5_state_action_gap,5,10,0.5,0.5342931413717257,1.0
gpu5_extended,post5,frozen_conjunction_margin,5,10,0.64,0.1851629674065187,0.9946010797840432
gpu5_extended,post5,layer5_gap_log_ratio,5,10,0.76,0.04859028194361128,0.7516496700659868
gpu5_extended,post5,back_jump_log_ratio,5,10,0.9,0.003799240151969606,0.124375124975005
gpu5_extended,post5,nominal_action_log_margin,5,10,0.32,0.8446310737852429,1.0
gpu5_extended,post5,phase_match_distance,5,10,0.84,0.01739652069586083,0.3509298140371926
gpu5_extended,post5,front_late_flow_wj,5,10,0.6,0.30133973205358927,1.0
gpu5_extended,post5,back_late_flow_wj,5,10,0.86,0.015596880623875225,0.3509298140371926
gpu5_extended,post5,front_route_acceleration,5,10,0.64,0.1895620875824835,0.9946010797840432
gpu5_extended,post5,back_route_acceleration,5,10,1.0,0.0007998400319936012,0.011797640471905619
gpu5_extended,post5,front_chunk_jump_h,5,10,0.68,0.15196960607878424,0.9858028394321136
gpu5_extended,post5,back_chunk_jump_h,5,10,0.8,0.033193361327734455,0.6660667866426715
gpu5_extended,post5,layer5_state_action_gap,5,10,0.52,0.4225154969006199,1.0
gpu5_extended,around5,frozen_conjunction_margin,5,10,0.56,0.384123175364927,1.0
gpu5_extended,around5,layer5_gap_log_ratio,5,10,0.76,0.04899020195960808,0.7516496700659868
