representation,direction,width,confirmations,quantile,structure,selected_by,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp
L2,low,4,4,0.6,or_l5,A_max_early_tp,307,99,0.5443262411347518,0.006584197924980048,0.7561576354679803,87,80,0.5209580838323353,0.28338762214983715,0.5371485266027782,1.4077254204723146,41,5,40,56,6,3,0,16
back_median,low,1,2,0.925,or_l5,,286,78,0.5070921985815603,0.0051875498802873106,0.7857142857142857,84,62,0.5753424657534246,0.2937062937062937,0.5055359676475755,1.5542203443416138,34,4,31,48,9,8,10,2
back_median,low,4,2,0.96,or_l5,,257,80,0.45567375886524825,0.005320563979781857,0.7626112759643917,67,60,0.5275590551181102,0.2607003891050584,0.5224075137545476,1.4598015072246902,35,14,21,34,10,10,1,2
L2,low,4,4,0.7,or_l5,,297,62,0.526595744680851,0.004123437084330939,0.8272980501392758,83,45,0.6484375,0.27946127946127947,0.585648296746904,1.4126192370654227,39,3,38,33,6,2,0,7
front_min,low,4,4,0.6,or_l5,,298,92,0.5283687943262412,0.006118648576749135,0.764102564102564,83,76,0.5220125786163522,0.2785234899328859,0.543906757724276,1.4048410931675028,38,3,39,56,6,1,0,16
front_back_mean_gap,low,1,2,0.9,or_l5,,211,61,0.374113475177305,0.004056930034583666,0.7757352941176471,46,53,0.46464646464646464,0.21800947867298578,0.5921763975217564,1.309973341328834,31,7,4,25,8,15,3,6
L2,low,4,4,0.8,or_l5,B_max_early_precision,270,42,0.4787234042553192,0.002793296089385475,0.8653846153846154,72,27,0.7272727272727273,0.26666666666666666,0.6105804579341813,1.417314629283306,37,3,29,20,6,1,0,3
L2,low,4,4,0.75,or_l5,,288,50,0.5106382978723404,0.0033253524873636604,0.8520710059171598,81,36,0.6923076923076923,0.28125,0.5956142014003449,1.430575368944966,38,3,37,28,6,1,0,4
front_min,low,4,4,0.75,or_l5,,272,46,0.48226950354609927,0.0030593242883745677,0.8553459119496856,74,30,0.7115384615384616,0.27205882352941174,0.6088894371779754,1.4047639189044958,34,2,35,23,5,1,0,4
back_median,low,1,2,0.96,or_l5,,195,38,0.34574468085106386,0.002527267890396382,0.8369098712446352,65,27,0.7065217391304348,0.3333333333333333,0.5049569344377849,1.65738860914237,34,2,15,18,7,6,9,1
back_median,low,1,2,0.95,or_l5,,217,52,0.38475177304964536,0.003458366586858207,0.8066914498141264,70,41,0.6306306306306306,0.3225806451612903,0.5006122566252096,1.611409707090067,34,3,19,31,8,6,9,1
