representation,direction,width,confirmations,quantile,structure,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
L2,low,1,1,0.5,single,366,7019,0.7515400410677618,0.4903933487039754,0.049559918754231554,230,6912,0.032203864463735646,0.6284153005464481,0.05652159372859726,0.8768315874496754
L2,low,1,1,0.5,or_l5,376,7020,0.7720739219712526,0.4904632152588556,0.05083829096809086,234,6914,0.03273642977056519,0.6223404255319149,0.0568641956470166,0.8940298968382244
L2,low,1,1,0.6,single,351,5571,0.7207392197125256,0.38922657723747645,0.05927051671732523,197,5466,0.03478721525693095,0.5612535612535613,0.06277640481439625,0.9441527735231656
L2,low,1,1,0.6,or_l5,361,5572,0.7412731006160165,0.3892964437923566,0.060846114950278106,203,5468,0.035796155880797036,0.5623268698060941,0.0629382003952776,0.9667596875687524
L2,low,1,1,0.7,single,323,4131,0.6632443531827515,0.2886187382100189,0.07251908396946564,156,4033,0.03724039150155168,0.48297213622291024,0.073169212900842,0.9911147201725758
L2,low,1,1,0.7,or_l5,335,4133,0.6878850102669405,0.2887584713197792,0.07497761862130707,164,4035,0.039056918313884255,0.48955223880597015,0.07336383813707945,1.0219969473408996
L2,low,1,1,0.75,single,314,3392,0.6447638603696099,0.2369873541535667,0.08472746896923908,139,3306,0.04034833091436865,0.4426751592356688,0.08070035312710587,1.049902084514926
L2,low,1,1,0.75,or_l5,326,3395,0.6694045174537988,0.2371969538182072,0.08761085729642569,148,3308,0.04282407407407408,0.4539877300613497,0.08064457570518953,1.0863825189768823
L2,low,1,1,0.8,single,298,2689,0.6119096509240246,0.18787116607280094,0.09976565115500502,121,2615,0.04422514619883041,0.40604026845637586,0.09001433162252594,1.1083307441905044
L2,low,1,1,0.8,or_l5,310,2692,0.6365503080082136,0.18808076573744148,0.10326449033977349,131,2617,0.04767103347889374,0.42258064516129035,0.08967676824851628,1.1515188644354613
L2,low,1,1,0.85,single,271,1964,0.5564681724845996,0.13721791378467127,0.12125279642058165,108,1906,0.05362462760675273,0.3985239852398524,0.10115603168376358,1.1986709482598632
L2,low,1,1,0.85,or_l5,284,1968,0.5831622176591376,0.13749738000419198,0.1261101243339254,118,1908,0.05824284304047384,0.4154929577464789,0.10112272324447812,1.2470997644024757
L2,low,1,1,0.9,single,239,1282,0.49075975359342916,0.0895689233563893,0.1571334648257725,79,1238,0.05998481397114654,0.3305439330543933,0.12720386978143702,1.2352884003903404
L2,low,1,1,0.9,or_l5,256,1287,0.5256673511293635,0.08991825613079019,0.1659105638366818,91,1240,0.06836964688204357,0.35546875,0.12848394097558216,1.2912941693484667
L2,low,1,1,0.925,single,214,927,0.4394250513347023,0.06476629637392581,0.18755477651183172,64,891,0.06701570680628273,0.29906542056074764,0.15003515568583647,1.250072195776294
L2,low,1,1,0.925,or_l5,231,932,0.47433264887063653,0.06511562914832669,0.19862424763542563,76,893,0.0784313725490196,0.329004329004329,0.15130158867179444,1.3127704036623447
L2,low,1,1,0.95,single,184,582,0.37782340862423,0.0406623349402641,0.2402088772845953,53,556,0.08702791461412152,0.28804347826086957,0.18503098544839613,1.2982089281018714
