corpus,mode,K,nstates,t,variant,det_auc,res_det_auc,res_auc_succ,npairs,base_det_auc,p_raw,p_res
A,order1,4,4,20,absorb,0.5075008523695874,0.5298329355608592,0.5298329355608592,2933,0.594272076372315,0.9402985074626866,0.7761194029850746
A,order1,4,4,20,absorb_w8,0.5690419365837027,0.5564268666893966,0.4435731333106035,2933,0.594272076372315,0.29850746268656714,0.40298507462686567
A,order1,4,4,20,emp_pool,0.5255710876235936,0.5022161609273781,0.4977838390726219,2933,0.594272076372315,0.6666666666666666,0.9651741293532339
A,order1,4,4,20,emp_pool_w8,0.5581316058643028,0.5550630753494715,0.4449369246505285,2933,0.594272076372315,0.472636815920398,0.527363184079602
A,order1,4,4,25,absorb,0.5306853051483124,0.515854074326628,0.515854074326628,2933,0.6345039209001023,0.7860696517412935,0.8855721393034826
A,order1,4,4,25,absorb_w8,0.5073303784520968,0.5260825093760655,0.5260825093760655,2933,0.6345039209001023,0.9402985074626866,0.7661691542288557
A,order1,4,4,25,emp_pool,0.527616774633481,0.5294919877258779,0.5294919877258779,2933,0.6345039209001023,0.6666666666666666,0.6318407960199005
A,order1,4,4,25,emp_pool_w8,0.5981929764745995,0.509035117627003,0.49096488237299696,2933,0.6345039209001023,0.23880597014925373,0.9104477611940298
A,order1,4,4,30,absorb,0.5223320831912717,0.5905216501875213,0.5905216501875213,2933,0.7988407773610637,0.7860696517412935,0.22885572139303484
A,order1,4,4,30,absorb_w8,0.5063075349471532,0.5383566314353904,0.5383566314353904,2933,0.7988407773610637,0.9502487562189055,0.6218905472636815
A,order1,4,4,30,emp_pool,0.5799522673031026,0.5704057279236276,0.5704057279236276,2933,0.7988407773610637,0.2537313432835821,0.3482587064676617
A,order1,4,4,30,emp_pool_w8,0.6495056256392773,0.5564268666893966,0.5564268666893966,2933,0.7988407773610637,0.03482587064676617,0.5323383084577115
A,order1,8,8,20,absorb,0.528128196385953,0.5635867712240027,0.5635867712240027,2933,0.594272076372315,0.7611940298507462,0.472636815920398
A,order1,8,8,20,absorb_w8,0.5647800886464371,0.5584725536992841,0.441527446300716,2933,0.594272076372315,0.4079601990049751,0.44776119402985076
A,order1,8,8,20,emp_pool,0.5536992840095465,0.5918854415274463,0.5918854415274463,2933,0.594272076372315,0.4228855721393035,0.20398009950248755
A,order1,8,8,20,emp_pool_w8,0.548073644732356,0.5441527446300716,0.45584725536992843,2933,0.594272076372315,0.527363184079602,0.5771144278606966
A,order1,8,8,25,absorb,0.528980565973406,0.5141493351517218,0.4858506648482782,2933,0.6345039209001023,0.7412935323383084,0.8656716417910447
A,order1,8,8,25,absorb_w8,0.5187521309239687,0.5247187180361405,0.5247187180361405,2933,0.6345039209001023,0.845771144278607,0.7910447761194029
A,order1,8,8,25,emp_pool,0.6220593249232867,0.5857483804977839,0.4142516195022162,2933,0.6345039209001023,0.06467661691542288,0.14427860696517414
A,order1,8,8,25,emp_pool_w8,0.6268325946130242,0.6430276167746335,0.3569723832253665,2933,0.6345039209001023,0.03980099502487562,0.024875621890547265
A,order1,8,8,30,absorb,0.5748380497783839,0.6385952949198773,0.6385952949198773,2933,0.7988407773610637,0.2835820895522388,0.04975124378109453
A,order1,8,8,30,absorb_w8,0.559836345039209,0.5809751108080464,0.5809751108080464,2933,0.7988407773610637,0.4427860696517413,0.2935323383084577
A,order1,8,8,30,emp_pool,0.5659734060688715,0.5584725536992841,0.5584725536992841,2933,0.7988407773610637,0.3383084577114428,0.40298507462686567
A,order1,8,8,30,emp_pool_w8,0.7344016365496079,0.642345721104671,0.357654278895329,2933,0.7988407773610637,0.004975124378109453,0.01990049751243781
A,order1,16,16,20,absorb,0.561200136379134,0.5257415615410842,0.4742584384589158,2933,0.594272076372315,0.31840796019900497,0.6616915422885572
A,order1,16,16,20,absorb_w8,0.5555744971019434,0.5472212751449028,0.4527787248550972,2933,0.594272076372315,0.3880597014925373,0.47761194029850745
A,order1,16,16,20,emp_pool,0.5748380497783839,0.5533583361745653,0.4466416638254347,2933,0.594272076372315,0.263681592039801,0.39800995024875624
A,order1,16,16,20,emp_pool_w8,0.619672690078418,0.5884759631776338,0.41152403682236616,2933,0.594272076372315,0.03980099502487562,0.12437810945273632
A,order1,16,16,25,absorb,0.6309239686327992,0.6385952949198772,0.36140470508012273,2933,0.6345039209001023,0.03980099502487562,0.029850746268656716
A,order1,16,16,25,absorb_w8,0.5654619843163997,0.5577906580293215,0.44220934197067846,2933,0.6345039209001023,0.3333333333333333,0.42786069651741293
A,order1,16,16,25,emp_pool,0.6486532560518241,0.6413228775997273,0.3586771224002728,2933,0.6345039209001023,0.01990049751243781,0.01990049751243781
A,order1,16,16,25,emp_pool_w8,0.650017047391749,0.6276849642004774,0.3723150357995227,2933,0.6345039209001023,0.029850746268656716,0.03980099502487562
A,order1,16,16,30,absorb,0.5888169110126151,0.5741561541084214,0.5741561541084214,2933,0.7988407773610637,0.23880597014925373,0.31840796019900497
A,order1,16,16,30,absorb_w8,0.6109785202863962,0.5189226048414592,0.5189226048414592,2933,0.7988407773610637,0.09950248756218906,0.8208955223880597
A,order1,16,16,30,emp_pool,0.6027957722468462,0.5121036481418343,0.5121036481418343,2933,0.7988407773610637,0.07960199004975124,0.9054726368159204
A,order1,16,16,30,emp_pool_w8,0.6968973747016707,0.6181384248210025,0.3818615751789976,2933,0.7988407773610637,0.004975124378109453,0.014925373134328358
A,order1,32,32,20,absorb,0.5859188544152745,0.5468803273099216,0.4531196726900784,2933,0.594272076372315,0.1691542288557214,0.46766169154228854
A,order1,32,32,20,absorb_w8,0.5929082850323901,0.5772246846232527,0.42277531537674734,2933,0.594272076372315,0.23383084577114427,0.3333333333333333
A,order1,32,32,20,emp_pool,0.6714967609955677,0.6426866689396522,0.3573133310603478,2933,0.594272076372315,0.009950248756218905,0.024875621890547265
A,order1,32,32,20,emp_pool_w8,0.6931469485168769,0.6559836345039209,0.3440163654960791,2933,0.594272076372315,0.004975124378109453,0.014925373134328358
A,order1,32,32,25,absorb,0.650017047391749,0.6532560518240709,0.3467439481759291,2933,0.6345039209001023,0.009950248756218905,0.009950248756218905
A,order1,32,32,25,absorb_w8,0.6721786566655301,0.680872826457552,0.319127173542448,2933,0.6345039209001023,0.01990049751243781,0.01990049751243781
A,order1,32,32,25,emp_pool,0.6882032049096488,0.6648482782134333,0.33515172178656666,2933,0.6345039209001023,0.004975124378109453,0.004975124378109453
A,order1,32,32,25,emp_pool_w8,0.7236617797476985,0.7122400272758268,0.2877599727241732,2933,0.6345039209001023,0.004975124378109453,0.004975124378109453
A,order1,32,32,30,absorb,0.6326287078077054,0.5376747357654279,0.5376747357654279,2933,0.7988407773610637,0.04975124378109453,0.6119402985074627
A,order1,32,32,30,absorb_w8,0.6379133992499147,0.513126491646778,0.513126491646778,2933,0.7988407773610637,0.029850746268656716,0.8706467661691543
A,order1,32,32,30,emp_pool,0.7400272758267985,0.5601772928741903,0.43982270712580973,2933,0.7988407773610637,0.004975124378109453,0.417910447761194
A,order1,32,32,30,emp_pool_w8,0.7395158540743266,0.5632458233890214,0.43675417661097854,2933,0.7988407773610637,0.004975124378109453,0.3034825870646766
A,order1,64,64,20,absorb,0.5658029321513809,0.5189226048414592,0.48107739515854075,2933,0.594272076372315,0.38308457711442784,0.8159203980099502
A,order1,64,64,20,absorb_w8,0.571599045346062,0.5659734060688715,0.4340265939311285,2933,0.594272076372315,0.5074626865671642,0.5472636815920398
A,order1,64,64,20,emp_pool,0.6957040572792363,0.6593931128537334,0.34060688714626663,2933,0.594272076372315,0.004975124378109453,0.004975124378109453
A,order1,64,64,20,emp_pool_w8,0.7185475622229799,0.6784861916126832,0.32151380838731675,2933,0.594272076372315,0.004975124378109453,0.009950248756218905
A,order1,64,64,25,absorb,0.636038186157518,0.6501875213092396,0.3498124786907603,2933,0.6345039209001023,0.03980099502487562,0.03980099502487562
A,order1,64,64,25,absorb_w8,0.6167746334810774,0.6102966246164336,0.3897033753835663,2933,0.6345039209001023,0.14427860696517414,0.1890547263681592
A,order1,64,64,25,emp_pool,0.7393453801568359,0.7217865666553017,0.2782134333446983,2933,0.6345039209001023,0.004975124378109453,0.004975124378109453
A,order1,64,64,25,emp_pool_w8,0.6941697920218206,0.686327991817252,0.31367200818274804,2933,0.6345039209001023,0.004975124378109453,0.004975124378109453
A,order1,64,64,30,absorb,0.6997954312990112,0.5025571087623594,0.5025571087623594,2933,0.7988407773610637,0.004975124378109453,0.9651741293532339
A,order1,64,64,30,absorb_w8,0.6928060006818957,0.515854074326628,0.484145925673372,2933,0.7988407773610637,0.004975124378109453,0.835820895522388
A,order1,64,64,30,emp_pool,0.7574156154108421,0.5792703716331401,0.4207296283668599,2933,0.7988407773610637,0.004975124378109453,0.24875621890547264
A,order1,64,64,30,emp_pool_w8,0.7964541425161951,0.6362086600750085,0.36379133992499146,2933,0.7988407773610637,0.004975124378109453,0.03482587064676617
A,order2,4,13,20,absorb,0.5098874872144562,0.526764405046028,0.526764405046028,2933,0.594272076372315,0.8805970149253731,0.736318407960199
