feat,K,t,variant,res_A,res_B,raw_A,raw_B,p_res_A,p_res_B,both
cell1280,4,20,absorb,0.5298329355608592,0.579183266932271,0.5075008523695874,0.579183266932271,0.7761194029850746,0.25870646766169153,False
cell1280,4,20,absorb_w8,0.5564268666893966,0.5418326693227091,0.5690419365837027,0.5301294820717132,0.40298507462686567,0.7761194029850746,False
cell1280,4,20,absorb_drift,0.5001704739174906,0.5204183266932271,0.5339243095806341,0.5276394422310757,1.0,0.5621890547263682,False
cell1280,4,20,absorb_max_w8,0.5342652574156154,0.5667330677290837,0.5015342652574156,0.5575199203187251,0.746268656716418,0.43781094527363185,False
cell1280,4,20,frac_hirisk_w8,0.5700647800886465,0.5677290836653386,0.5854074326628026,0.5943725099601593,0.17412935323383086,0.06965174129353234,False
cell1280,4,20,emp_pool,0.5022161609273781,0.5672310756972112,0.5255710876235936,0.545816733067729,0.9651741293532339,0.3482587064676617,False
cell1280,4,20,emp_pool_w8,0.5550630753494715,0.5029880478087649,0.5581316058643028,0.523406374501992,0.527363184079602,0.9950248756218906,False
cell1280,4,20,emp_time,0.5083532219570406,0.5273904382470119,0.5361404705080123,0.5169322709163346,0.9154228855721394,0.8706467661691543,False
cell1280,4,20,esteps,0.5206273440163655,0.5826693227091634,0.5102284350494375,0.6060756972111554,0.7064676616915423,0.03980099502487562,False
cell1280,4,20,esteps_w8,0.5305148312308217,0.5507968127490039,0.5456870098874872,0.5637450199203188,0.5572139303482587,0.1791044776119403,False
cell1280,4,20,dwell,0.6351858165700648,0.5483067729083666,0.5971701329696557,0.5779382470119522,0.004975124378109453,0.24378109452736318,False
cell1280,4,20,stayp_w8,0.5479031708148654,0.5044820717131474,0.563927719058984,0.5184262948207171,0.3781094527363184,0.9104477611940298,False
cell1280,4,20,nll_w8,0.6123423116263211,0.5039840637450199,0.5876235935901807,0.5495517928286853,0.014925373134328358,0.9601990049751243,False
cell1280,4,25,absorb,0.515854074326628,0.5662350597609562,0.5306853051483124,0.5610059760956175,0.8855721393034826,0.4079601990049751,False
cell1280,4,25,absorb_w8,0.5260825093760655,0.576195219123506,0.5073303784520968,0.5774402390438247,0.7661691542288557,0.2885572139303483,False
cell1280,4,25,absorb_drift,0.5165359699965906,0.5438247011952191,0.5588135015342652,0.5403386454183268,0.736318407960199,0.208955223880597,False
cell1280,4,25,absorb_max_w8,0.5121036481418343,0.5647410358565738,0.5103989089669281,0.5582669322709163,0.945273631840796,0.43283582089552236,False
cell1280,4,25,frac_hirisk_w8,0.5005114217524719,0.5059760956175299,0.5591544493692465,0.5092131474103585,0.9950248756218906,0.8706467661691543,False
cell1280,4,25,emp_pool,0.5294919877258779,0.5742031872509961,0.527616774633481,0.5699701195219123,0.6318407960199005,0.2835820895522388,False
cell1280,4,25,emp_pool_w8,0.509035117627003,0.6000996015936255,0.5981929764745995,0.6040836653386454,0.9104477611940298,0.08955223880597014,False
cell1280,4,25,emp_time,0.5080122741220594,0.5537848605577689,0.52454824411865,0.5470617529880478,0.9104477611940298,0.5970149253731343,False
cell1280,4,25,esteps,0.5202863961813843,0.5393426294820717,0.5494374360722809,0.5281374501992032,0.7164179104477612,0.2736318407960199,False
cell1280,4,25,esteps_w8,0.5332424139106716,0.5826693227091634,0.5342652574156154,0.5978585657370518,0.5323383084577115,0.014925373134328358,False
cell1280,4,25,dwell,0.517217865666553,0.5149402390438247,0.5347766791680872,0.526394422310757,0.7313432835820896,0.681592039800995,False
cell1280,4,25,stayp_w8,0.5277872485509717,0.5866533864541832,0.5688714626662121,0.6060756972111554,0.6268656716417911,0.014925373134328358,False
cell1280,4,25,nll_w8,0.5468803273099215,0.5652390438247012,0.5930787589498807,0.6048306772908366,0.373134328358209,0.07960199004975124,False
cell1280,4,30,absorb,0.5905216501875213,0.5562749003984064,0.5223320831912717,0.6847609561752988,0.22885572139303484,0.42786069651741293,False
cell1280,4,30,absorb_w8,0.5383566314353904,0.5712151394422311,0.5063075349471532,0.6994521912350598,0.6218905472636815,0.21393034825870647,False
cell1280,4,30,absorb_drift,0.5182407091714968,0.5742031872509961,0.6285373337879304,0.7116533864541832,0.7164179104477612,0.1044776119402985,False
