corpus,block,feat,K,t,variant,auc_succ,det_auc,res_auc_succ,res_det_auc,base_det_auc,npairs,n_scored,p_raw,p_res
A,detect,cell1280,4,20,absorb,0.4924991476304125,0.5075008523695874,0.5298329355608592,0.5298329355608592,0.594272076372315,2933.0,352.0,0.9104477611940298,0.7611940298507462
A,detect,cell1280,4,20,absorb_w8,0.4309580634162973,0.5690419365837027,0.4435731333106035,0.5564268666893966,0.594272076372315,2933.0,352.0,0.2985074626865671,0.373134328358209
A,detect,cell1280,4,20,absorb_drift,0.4660756904193658,0.5339243095806341,0.5001704739174906,0.5001704739174906,0.594272076372315,2933.0,352.0,0.5771144278606966,1.0
A,detect,cell1280,4,20,absorb_max_w8,0.4984657347425844,0.5015342652574156,0.5342652574156154,0.5342652574156154,0.594272076372315,2933.0,352.0,0.9850746268656716,0.746268656716418
A,detect,cell1280,4,20,frac_hirisk_w8,0.4145925673371974,0.5854074326628026,0.4299352199113536,0.5700647800886465,0.594272076372315,2933.0,352.0,0.099502487562189,0.1741293532338308
A,detect,cell1280,4,20,emp_pool,0.4744289123764064,0.5255710876235936,0.4977838390726219,0.5022161609273781,0.594272076372315,2933.0,352.0,0.6616915422885572,0.9900497512437813
A,detect,cell1280,4,20,emp_pool_w8,0.4418683941356972,0.5581316058643028,0.4449369246505285,0.5550630753494715,0.594272076372315,2933.0,352.0,0.4029850746268656,0.4527363184079602
A,detect,cell1280,4,20,emp_time,0.5361404705080123,0.5361404705080123,0.4916467780429594,0.5083532219570406,0.594272076372315,2933.0,352.0,0.572139303482587,0.9552238805970148
A,detect,cell1280,4,20,esteps,0.4897715649505625,0.5102284350494375,0.5206273440163655,0.5206273440163655,0.594272076372315,2933.0,352.0,0.8507462686567164,0.6517412935323383
A,detect,cell1280,4,20,esteps_w8,0.4543129901125128,0.5456870098874872,0.4694851687691783,0.5305148312308217,0.594272076372315,2933.0,352.0,0.3432835820895522,0.5572139303482587
A,detect,cell1280,4,20,dwell,0.4028298670303443,0.5971701329696557,0.3648141834299352,0.6351858165700648,0.594272076372315,2933.0,352.0,0.0547263681592039,0.0199004975124378
A,detect,cell1280,4,20,stayp_w8,0.436072280941016,0.563927719058984,0.4520968291851346,0.5479031708148654,0.594272076372315,2933.0,352.0,0.2935323383084577,0.4278606965174129
A,detect,cell1280,4,20,nll_w8,0.5876235935901807,0.5876235935901807,0.6123423116263211,0.6123423116263211,0.594272076372315,2933.0,352.0,0.1094527363184079,0.0348258706467661
A,detect,cell1280,4,25,absorb,0.5306853051483124,0.5306853051483124,0.515854074326628,0.515854074326628,0.6345039209001023,2933.0,352.0,0.7910447761194029,0.8905472636815921
A,detect,cell1280,4,25,absorb_w8,0.4926696215479031,0.5073303784520968,0.5260825093760655,0.5260825093760655,0.6345039209001023,2933.0,352.0,0.9154228855721394,0.7860696517412935
A,detect,cell1280,4,25,absorb_drift,0.5588135015342652,0.5588135015342652,0.5165359699965906,0.5165359699965906,0.6345039209001023,2933.0,352.0,0.3233830845771144,0.7910447761194029
A,detect,cell1280,4,25,absorb_max_w8,0.4896010910330719,0.5103989089669281,0.5121036481418343,0.5121036481418343,0.6345039209001023,2933.0,352.0,0.9701492537313432,0.9701492537313432
A,detect,cell1280,4,25,frac_hirisk_w8,0.4408455506307535,0.5591544493692465,0.5005114217524719,0.5005114217524719,0.6345039209001023,2933.0,352.0,0.2786069651741293,0.9850746268656716
A,detect,cell1280,4,25,emp_pool,0.4723832253665189,0.527616774633481,0.5294919877258779,0.5294919877258779,0.6345039209001023,2933.0,352.0,0.6567164179104478,0.6069651741293532
A,detect,cell1280,4,25,emp_pool_w8,0.4018070235254006,0.5981929764745995,0.4909648823729969,0.509035117627003,0.6345039209001023,2933.0,352.0,0.2537313432835821,0.945273631840796
A,detect,cell1280,4,25,emp_time,0.52454824411865,0.52454824411865,0.4919877258779406,0.5080122741220594,0.6345039209001023,2933.0,352.0,0.7164179104477612,0.9104477611940298
A,detect,cell1280,4,25,esteps,0.5494374360722809,0.5494374360722809,0.5202863961813843,0.5202863961813843,0.6345039209001023,2933.0,352.0,0.3482587064676617,0.7412935323383084
A,detect,cell1280,4,25,esteps_w8,0.5342652574156154,0.5342652574156154,0.5332424139106716,0.5332424139106716,0.6345039209001023,2933.0,352.0,0.4776119402985074,0.5373134328358209
A,detect,cell1280,4,25,dwell,0.4652233208319127,0.5347766791680872,0.4827821343334469,0.517217865666553,0.6345039209001023,2933.0,352.0,0.5572139303482587,0.8059701492537313
A,detect,cell1280,4,25,stayp_w8,0.4311285373337879,0.5688714626662121,0.4722127514490283,0.5277872485509717,0.6345039209001023,2933.0,352.0,0.208955223880597,0.6169154228855721
A,detect,cell1280,4,25,nll_w8,0.5930787589498807,0.5930787589498807,0.5468803273099215,0.5468803273099215,0.6345039209001023,2933.0,352.0,0.1094527363184079,0.4129353233830846
A,detect,cell1280,4,30,absorb,0.4776679168087283,0.5223320831912717,0.5905216501875213,0.5905216501875213,0.7988407773610637,2933.0,352.0,0.8308457711442786,0.2139303482587064
A,detect,cell1280,4,30,absorb_w8,0.5063075349471532,0.5063075349471532,0.5383566314353904,0.5383566314353904,0.7988407773610637,2933.0,352.0,0.945273631840796,0.6766169154228856
A,detect,cell1280,4,30,absorb_drift,0.3714626662120696,0.6285373337879304,0.5182407091714968,0.5182407091714968,0.7988407773610637,2933.0,352.0,0.0199004975124378,0.6915422885572139
A,detect,cell1280,4,30,absorb_max_w8,0.5937606546198432,0.5937606546198432,0.5806341629730651,0.5806341629730651,0.7988407773610637,2933.0,352.0,0.1791044776119403,0.2786069651741293
A,detect,cell1280,4,30,frac_hirisk_w8,0.4336856460961473,0.5663143539038527,0.5796113194681214,0.5796113194681214,0.7988407773610637,2933.0,352.0,0.2039800995024875,0.1343283582089552
A,detect,cell1280,4,30,emp_pool,0.4200477326968974,0.5799522673031026,0.5704057279236276,0.5704057279236276,0.7988407773610637,2933.0,352.0,0.2736318407960199,0.4228855721393035
A,detect,cell1280,4,30,emp_pool_w8,0.3504943743607228,0.6495056256392773,0.5564268666893966,0.5564268666893966,0.7988407773610637,2933.0,352.0,0.0398009950248756,0.5671641791044776
A,detect,cell1280,4,30,emp_time,0.4636890555744971,0.536310944425503,0.5693828844186839,0.5693828844186839,0.7988407773610637,2933.0,352.0,0.6019900497512438,0.3930348258706467
A,detect,cell1280,4,30,esteps,0.515854074326628,0.515854074326628,0.528128196385953,0.528128196385953,0.7988407773610637,2933.0,352.0,0.7860696517412935,0.6169154228855721
