variant,A_raw,A_res,A_p,B_raw,B_res,B_p,beats_both
absorb,0.6997954312990112,0.5025571087623594,0.9651741293532339,0.7704183266932271,0.6723107569721116,0.004975124378109453,False
absorb_drift,0.6515513126491647,0.5243777702011593,0.7263681592039801,0.762699203187251,0.6762948207171315,0.004975124378109453,False
absorb_max_w8,0.6276849642004774,0.5540402318445278,0.417910447761194,0.7382968127490039,0.6623505976095618,0.004975124378109453,False
absorb_w8,0.6928060006818957,0.515854074326628,0.835820895522388,0.7602091633466135,0.6528884462151394,0.004975124378109453,False
dwell,0.6841118308898739,0.5325605182407092,0.5621890547263682,0.6805278884462151,0.5547808764940239,0.18407960199004975,False
emp_pool,0.7574156154108421,0.5792703716331401,0.24875621890547264,0.7813745019920318,0.7006972111553784,0.004975124378109453,False
emp_pool_w8,0.7964541425161951,0.6362086600750085,0.03482587064676617,0.8137450199203187,0.7250996015936255,0.004975124378109453,False
emp_time,0.7333787930446642,0.5860893283327651,0.208955223880597,0.772410358565737,0.6927290836653386,0.004975124378109453,False
esteps,0.621036481418343,0.5366518922604842,0.5074626865671642,0.7385458167330677,0.6254980079681275,0.004975124378109453,False
esteps_w8,0.6351858165700648,0.6174565291510399,0.01990049751243781,0.68949203187251,0.5936254980079682,0.009950248756218905,False
frac_hirisk_w8,0.647800886464371,0.6072280941016025,0.04975124378109453,0.7756474103585658,0.703187250996016,0.004975124378109453,False
nll_w8,0.6807023525400614,0.5567678145243777,0.25870646766169153,0.7328187250996017,0.7116533864541832,0.004975124378109453,False
stayp_w8,0.672690078418002,0.665871121718377,0.004975124378109453,0.75,0.6469123505976095,0.004975124378109453,False
