feat,K,t,variant
clock,8,20,esteps
clock,8,20,esteps_w8
clock,8,20,dwell
clock,8,20,stayp_w8
clock,8,20,nll_w8
clock,8,25,absorb
clock,8,25,absorb_w8
clock,8,25,absorb_drift
clock,8,25,absorb_max_w8
clock,8,25,frac_hirisk_w8
clock,8,25,emp_pool
clock,8,25,emp_pool_w8
clock,8,25,emp_time
clock,8,25,esteps
clock,8,25,esteps_w8
clock,8,25,dwell
clock,8,25,stayp_w8
clock,8,25,nll_w8
clock,8,30,absorb
clock,8,30,absorb_w8
clock,8,30,absorb_drift
clock,8,30,absorb_max_w8
clock,8,30,frac_hirisk_w8
clock,8,30,emp_pool
clock,8,30,emp_pool_w8
clock,8,30,emp_time
clock,8,30,esteps
clock,8,30,esteps_w8
clock,8,30,dwell
clock,8,30,stayp_w8
clock,8,30,nll_w8
clock,16,20,absorb
clock,16,20,absorb_w8
clock,16,20,absorb_drift
clock,16,20,absorb_max_w8
clock,16,20,frac_hirisk_w8
clock,16,20,emp_pool
clock,16,20,emp_pool_w8
clock,16,20,emp_time
clock,16,20,esteps
clock,16,20,esteps_w8
clock,16,20,dwell
clock,16,20,stayp_w8
clock,16,20,nll_w8
clock,16,25,absorb
clock,16,25,absorb_w8
clock,16,25,absorb_drift
clock,16,25,absorb_max_w8
clock,16,25,frac_hirisk_w8
clock,16,25,emp_pool
clock,16,25,emp_pool_w8
clock,16,25,emp_time
clock,16,25,esteps
clock,16,25,esteps_w8
clock,16,25,dwell
clock,16,25,stayp_w8
clock,16,25,nll_w8
clock,16,30,absorb
clock,16,30,absorb_w8
clock,16,30,absorb_drift
clock,16,30,absorb_max_w8
clock,16,30,frac_hirisk_w8
clock,16,30,emp_pool
clock,16,30,emp_pool_w8
clock,16,30,emp_time
clock,16,30,esteps
clock,16,30,esteps_w8
clock,16,30,dwell
clock,16,30,stayp_w8
clock,16,30,nll_w8
clock,32,20,absorb
clock,32,20,absorb_w8
clock,32,20,absorb_drift
clock,32,20,absorb_max_w8
clock,32,20,frac_hirisk_w8
clock,32,20,emp_pool
clock,32,20,emp_pool_w8
clock,32,20,emp_time
clock,32,20,esteps
clock,32,20,esteps_w8
clock,32,20,dwell
clock,32,20,stayp_w8
clock,32,20,nll_w8
clock,32,25,absorb
clock,32,25,absorb_w8
clock,32,25,absorb_drift
clock,32,25,absorb_max_w8
clock,32,25,frac_hirisk_w8
clock,32,25,emp_pool
clock,32,25,emp_pool_w8
clock,32,25,emp_time
clock,32,25,esteps
clock,32,25,esteps_w8
clock,32,25,dwell
clock,32,25,stayp_w8
clock,32,25,nll_w8
clock,32,30,absorb
clock,32,30,absorb_w8
clock,32,30,absorb_drift
clock,32,30,absorb_max_w8
clock,32,30,frac_hirisk_w8
clock,32,30,emp_pool
clock,32,30,emp_pool_w8
clock,32,30,emp_time
