corpus,block,feat,K,self_p_max,self_p_mean,self_p_median,p_exit_max,h_min,h_max,h_std,esteps_min,esteps_max,spearman_h_esteps,nscc_eps0.0,maxscc_eps0.0,nclosed_eps0.0,closed_states_eps0.0,nscc_eps0.01,maxscc_eps0.01,nclosed_eps0.01,closed_states_eps0.01,nscc_eps0.02,maxscc_eps0.02,nclosed_eps0.02,closed_states_eps0.02,nscc_eps0.05,maxscc_eps0.05,nclosed_eps0.05,closed_states_eps0.05,dwell_mean_succ,dwell_mean_fail,dwell_p_ge7_succ,dwell_p_ge7_fail,dwell_max_succ,dwell_max_fail,dwell_mwu_p,dwell_auc_runlevel,maxdwell30_auc_succ,maxdwell30_det_auc,dwell7_fires,dwell7_fail_rate,dwell7_base_fail
A,structure,cell1280,4,0.8504250316512931,0.7524655848136829,0.812057743283666,0.049843014128728415,0.5649753337622518,0.6663494011018283,0.04388889183532331,43.34171375212709,47.00209086233458,0.0,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,3.848013816925734,4.941722972972973,0.09153713298791019,0.1875,18.0,44.0,7.793451733620779e-13,0.5733734260491061,0.6070576201841118,0.6070576201841118,228,0.8596491228070176,0.6676136363636364
A,structure,cell1280,8,0.9125364431486881,0.739639577918787,0.7461332313804461,0.06772255598033862,0.5751267312738063,0.7750867871905434,0.06421185152642651,35.264207170907724,45.85320792470944,0.14285714285714288,1,8,1,8,1,8,1,8,1,8,1,8,3,6,2,7,3.5619504396482813,3.950708980418636,0.06634692246203037,0.0675219446320054,15.0,31.0,0.3115300093784251,0.5097006796993195,0.5427889532901466,0.5427889532901466,128,0.4921875,0.6676136363636364
A,structure,cell1280,16,0.9113149847094801,0.5879479412592254,0.6232218658677091,0.11088082901554404,0.5885600470972381,0.7824662925695061,0.06261342855837344,32.83528229796812,45.87045303600651,-0.16764705882352943,1,16,1,16,1,16,1,16,1,16,1,16,2,15,1,1,2.243705941591138,2.6409388399909726,0.003524672708962739,0.026179192055969306,14.0,26.0,0.0007383129116034333,0.5253844730763733,0.5905216501875213,0.5905216501875213,35,0.8571428571428571,0.6676136363636364
A,structure,cell1280,32,0.9050410316529894,0.4658657328034244,0.4889400779035888,0.1462882096069869,0.41505956880686606,0.7752851802913152,0.07010504126870722,24.592230158249667,45.66580134832988,-0.27382697947214074,1,32,1,32,1,32,1,32,2,31,1,1,10,23,2,2,1.8210053126277075,2.05010511562719,0.002043318348998774,0.018044849334267695,11.0,25.0,0.6202195774955311,0.4967918684807477,0.5376747357654279,0.5376747357654279,19,0.9473684210526315,0.6676136363636364
A,structure,cell1280,64,0.8962765957446809,0.2806560767655124,0.24001804646965938,0.736,0.23003725048714038,0.743423538271962,0.08420269018273967,14.271195672402099,45.27457218427841,-0.23635531135531135,7,58,1,58,8,57,1,57,9,56,1,56,19,46,2,2,1.3102028815054396,1.5244919228764982,0.0005880623346074683,0.012636789994788953,8.0,26.0,0.08853829990550333,0.507967589614004,0.6285373337879304,0.6285373337879304,16,0.875,0.6676136363636364
A,structure,mean32,4,0.8000400320256205,0.760638885538946,0.7640521311635,0.029501748251748252,0.6088465104651634,0.6764356234563114,0.025987283542781695,41.839261130198416,45.79640622826017,0.7999999999999999,1,4,1,4,1,4,1,4,1,4,1,4,2,3,1,3,3.550597609561753,4.707160096540628,0.11235059760956176,0.25382139983909896,25.0,42.0,8.451647069509425e-09,0.5566916565435763,0.5078418002045687,0.5078418002045687,346,0.661849710982659,0.6676136363636364
A,structure,mean32,8,0.730977130977131,0.6672202280227582,0.6806936329165139,0.039466370205669815,0.5790793420986432,0.6923366258071036,0.03295006125528342,40.70925340105155,45.96016556041618,0.1666666666666667,1,8,1,8,1,8,1,8,1,8,1,8,2,7,1,7,2.7253822629969418,3.050573514077164,0.062385321100917435,0.051094890510948905,14.0,34.0,0.0014436114239162105,0.5264447069928219,0.60109103307194,0.60109103307194,68,0.8970588235294118,0.6676136363636364
A,structure,mean32,16,0.7434701492537313,0.5797069670367552,0.5772978762669484,0.04869857262804366,0.573533429139847,0.7221340497348865,0.033274970386182254,36.39876042909134,46.17942779675886,-0.31764705882352945,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,2.14954172696575,2.526884042323472,0.027978774722624215,0.02915137119412654,11.0,42.0,5.093638782762525e-06,0.5331671781737266,0.5772246846232526,0.5772246846232526,50,0.9,0.6676136363636364
A,structure,mean32,32,0.8443708609271523,0.49937371004792175,0.514241917502787,0.1990632318501171,0.3481602795697487,0.731045852479635,0.06893129532109006,22.71519350974294,45.5259513592344,-0.27382697947214074,1,32,1,32,1,32,1,32,1,32,1,32,2,31,2,32,1.8945578231292517,2.116859623733719,0.004251700680272109,0.02007959479015919,13.0,41.0,0.8854450173846962,0.4990414830005808,0.4626662120695534,0.5373337879304466,27,0.7407407407407407,0.6676136363636364
A,structure,mean32,64,0.8805031446540881,0.3763395658352032,0.3917325691068708,0.5284090909090909,0.27531440657511497,0.7189945750601424,0.06677133468777288,18.348534236395526,44.971226676776155,-0.4567765567765567,1,64,1,64,2,63,1,63,13,47,1,47,17,43,2,2,1.5069327020629015,1.744744297003131,0.0010145417653026716,0.015506187565230357,9.0,27.0,0.04392341369948172,0.511190868125756,0.6355267644050461,0.6355267644050461,19,0.8947368421052632,0.6676136363636364
B,structure,cell1280,4,0.9365649311789348,0.8279194750046928,0.815888638229779,0.030819868342309993,0.39633418673017123,0.7003805511854552,0.12452807589433505,36.609071575667734,44.39921112437267,-0.7999999999999999,1,4,1,4,1,4,1,4,1,4,1,4,2,3,2,4,4.998283998283998,6.0257510729613735,0.3183183183183183,0.31276824034334766,23.0,27.0,0.433465736566213,0.506939035908993,0.3677788844621514,0.6322211155378485,497,0.4084507042253521,0.421875
B,structure,cell1280,8,0.9367973260407171,0.6759772380569746,0.6854890148830617,0.08291991495393337,0.33999616996903437,0.6815376953294389,0.10094366896735278,31.022236754329867,47.17351979658403,0.4285714285714286,1,8,1,8,2,6,1,6,2,6,1,6,3,5,2,6,2.9347607052896727,3.9,0.005037783375314861,0.06736111111111111,16.0,27.0,0.013495643941003133,0.517070170375035,0.42554780876494025,0.5744521912350598,9,0.2222222222222222,0.421875
B,structure,cell1280,16,0.9369479134937557,0.5156837517021109,0.6021341329418797,0.16036772216547499,0.2727654296373429,0.6986675043605234,0.08927013215662913,21.759902121367695,43.852300791826764,0.2911764705882353,4,13,1,13,5,12,1,12,5,12,1,12,8,9,1,1,2.2290032523436007,2.928813559322034,0.0022957719533193035,0.04485006518904824,16.0,27.0,0.9950982478945528,0.4999636827035633,0.6058266932270916,0.6058266932270916,1,1.0,0.421875
B,structure,cell1280,32,0.9172517552657974,0.3349365434947315,0.3283020942120596,0.2794759825327511,0.25152184540379197,0.7198592203920292,0.09737914112521076,19.431788327774953,43.554214728611576,0.31231671554252194,6,27,1,27,8,25,1,25,10,22,1,2,11,22,2,2,1.440885481078407,1.9883165161975571,0.0012367054167697256,0.031155956806514427,15.0,26.0,1.1858934310684006e-08,0.5243403942228935,0.5550298804780877,0.5550298804780877,0,,0.421875
B,structure,cell1280,64,0.8820116054158608,0.24085644770242015,0.13140706987020162,0.5991561181434599,0.18299388705130246,0.6328631946803974,0.07415014380211224,15.517794328376603,44.63221086149325,0.22170329670329667,16,49,1,49,19,46,1,46,21,44,1,1,25,40,3,3,1.2303062302006336,1.6964204802899865,0.0009503695881731784,0.026431052711070834,16.0,26.0,6.243279821238323e-25,0.5340439694058472,0.5662350597609562,0.5662350597609562,0,,0.421875
B,structure,mean32,4,0.9230538922155689,0.7430056240830398,0.7124254785288835,0.03143712574850299,0.41833791042541457,0.6557615455561644,0.10217503917618939,39.22508288264157,46.5753620726188,-1.0,1,4,1,4,1,4,1,4,1,4,1,4,2,3,2,4,3.31748291571754,4.166172106824926,0.155751708428246,0.1572700296735905,15.0,27.0,0.0012741114469626666,0.5231615280040286,0.44272908366533864,0.5572709163346614,397,0.3677581863979849,0.421875
