corpus,block,feat,K,t,variant,auc_succ,det_auc,res_auc_succ,res_det_auc,base_det_auc,npairs,n_scored,p_raw,p_res,ndraw
A,detect,cell1280,4,20,absorb,0.4924991476304125,0.5075008523695874,0.5298329355608592,0.5298329355608592,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,absorb_w8,0.43095806341629733,0.5690419365837027,0.4435731333106035,0.5564268666893966,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,absorb_drift,0.46607569041936586,0.5339243095806341,0.5001704739174906,0.5001704739174906,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,absorb_max_w8,0.4984657347425844,0.5015342652574156,0.5342652574156154,0.5342652574156154,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,frac_hirisk_w8,0.4145925673371974,0.5854074326628026,0.4299352199113536,0.5700647800886465,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,emp_pool,0.4744289123764064,0.5255710876235936,0.4977838390726219,0.5022161609273781,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,emp_pool_w8,0.44186839413569723,0.5581316058643028,0.4449369246505285,0.5550630753494715,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,emp_time,0.5361404705080123,0.5361404705080123,0.4916467780429594,0.5083532219570406,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,esteps,0.48977156495056257,0.5102284350494375,0.5206273440163655,0.5206273440163655,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,esteps_w8,0.4543129901125128,0.5456870098874872,0.46948516876917834,0.5305148312308217,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,dwell,0.40282986703034435,0.5971701329696557,0.3648141834299352,0.6351858165700648,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,stayp_w8,0.436072280941016,0.563927719058984,0.45209682918513466,0.5479031708148654,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,20,nll_w8,0.5876235935901807,0.5876235935901807,0.6123423116263211,0.6123423116263211,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,4,25,absorb,0.5306853051483124,0.5306853051483124,0.515854074326628,0.515854074326628,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,absorb_w8,0.49266962154790317,0.5073303784520968,0.5260825093760655,0.5260825093760655,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,absorb_drift,0.5588135015342652,0.5588135015342652,0.5165359699965906,0.5165359699965906,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,absorb_max_w8,0.4896010910330719,0.5103989089669281,0.5121036481418343,0.5121036481418343,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,frac_hirisk_w8,0.4408455506307535,0.5591544493692465,0.5005114217524719,0.5005114217524719,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,emp_pool,0.47238322536651894,0.527616774633481,0.5294919877258779,0.5294919877258779,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,emp_pool_w8,0.4018070235254006,0.5981929764745995,0.49096488237299696,0.509035117627003,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,emp_time,0.52454824411865,0.52454824411865,0.49198772587794065,0.5080122741220594,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,esteps,0.5494374360722809,0.5494374360722809,0.5202863961813843,0.5202863961813843,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,esteps_w8,0.5342652574156154,0.5342652574156154,0.5332424139106716,0.5332424139106716,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,dwell,0.4652233208319127,0.5347766791680872,0.48278213433344697,0.517217865666553,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,stayp_w8,0.4311285373337879,0.5688714626662121,0.4722127514490283,0.5277872485509717,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,25,nll_w8,0.5930787589498807,0.5930787589498807,0.5468803273099215,0.5468803273099215,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,4,30,absorb,0.4776679168087283,0.5223320831912717,0.5905216501875213,0.5905216501875213,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,absorb_w8,0.5063075349471532,0.5063075349471532,0.5383566314353904,0.5383566314353904,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,absorb_drift,0.3714626662120696,0.6285373337879304,0.5182407091714968,0.5182407091714968,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,absorb_max_w8,0.5937606546198432,0.5937606546198432,0.5806341629730651,0.5806341629730651,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,frac_hirisk_w8,0.4336856460961473,0.5663143539038527,0.5796113194681214,0.5796113194681214,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,emp_pool,0.4200477326968974,0.5799522673031026,0.5704057279236276,0.5704057279236276,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,emp_pool_w8,0.3504943743607228,0.6495056256392773,0.5564268666893966,0.5564268666893966,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,emp_time,0.4636890555744971,0.536310944425503,0.5693828844186839,0.5693828844186839,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,esteps,0.515854074326628,0.515854074326628,0.528128196385953,0.528128196385953,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,esteps_w8,0.5697238322536652,0.5697238322536652,0.5523354926696216,0.5523354926696216,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,dwell,0.3653256051824071,0.6346743948175929,0.49266962154790317,0.5073303784520968,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,stayp_w8,0.40436413228775997,0.59563586771224,0.504943743607228,0.504943743607228,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,4,30,nll_w8,0.6621206955335834,0.6621206955335834,0.4933515172178657,0.5066484827821343,0.7988407773610637,2933.0,352.0,,,
A,perm,cell1280,4,20,absorb,,,,,,,,0.9104477611940298,0.7611940298507462,200.0
A,perm,cell1280,4,20,absorb_w8,,,,,,,,0.29850746268656714,0.373134328358209,200.0
A,perm,cell1280,4,20,absorb_drift,,,,,,,,0.5771144278606966,1.0,200.0
A,perm,cell1280,4,20,absorb_max_w8,,,,,,,,0.9850746268656716,0.746268656716418,200.0
A,perm,cell1280,4,20,frac_hirisk_w8,,,,,,,,0.09950248756218906,0.17412935323383086,200.0
A,perm,cell1280,4,20,emp_pool,,,,,,,,0.6616915422885572,0.9900497512437811,200.0
A,perm,cell1280,4,20,emp_pool_w8,,,,,,,,0.40298507462686567,0.4527363184079602,200.0
A,perm,cell1280,4,20,emp_time,,,,,,,,0.572139303482587,0.9552238805970149,200.0
A,perm,cell1280,4,20,esteps,,,,,,,,0.8507462686567164,0.6517412935323383,200.0
A,perm,cell1280,4,20,esteps_w8,,,,,,,,0.34328358208955223,0.5572139303482587,200.0
A,perm,cell1280,4,20,dwell,,,,,,,,0.05472636815920398,0.01990049751243781,200.0
A,perm,cell1280,4,20,stayp_w8,,,,,,,,0.2935323383084577,0.42786069651741293,200.0
A,perm,cell1280,4,20,nll_w8,,,,,,,,0.10945273631840796,0.03482587064676617,200.0
A,perm,cell1280,4,25,absorb,,,,,,,,0.7910447761194029,0.8905472636815921,200.0
A,perm,cell1280,4,25,absorb_w8,,,,,,,,0.9154228855721394,0.7860696517412935,200.0
A,perm,cell1280,4,25,absorb_drift,,,,,,,,0.32338308457711445,0.7910447761194029,200.0
A,perm,cell1280,4,25,absorb_max_w8,,,,,,,,0.9701492537313433,0.9701492537313433,200.0
A,perm,cell1280,4,25,frac_hirisk_w8,,,,,,,,0.27860696517412936,0.9850746268656716,200.0
A,perm,cell1280,4,25,emp_pool,,,,,,,,0.6567164179104478,0.6069651741293532,200.0
A,perm,cell1280,4,25,emp_pool_w8,,,,,,,,0.2537313432835821,0.945273631840796,200.0
A,perm,cell1280,4,25,emp_time,,,,,,,,0.7164179104477612,0.9104477611940298,200.0
A,perm,cell1280,4,25,esteps,,,,,,,,0.3482587064676617,0.7412935323383084,200.0
A,perm,cell1280,4,25,esteps_w8,,,,,,,,0.47761194029850745,0.5373134328358209,200.0
A,perm,cell1280,4,25,dwell,,,,,,,,0.5572139303482587,0.8059701492537313,200.0
A,perm,cell1280,4,25,stayp_w8,,,,,,,,0.208955223880597,0.6169154228855721,200.0
A,perm,cell1280,4,25,nll_w8,,,,,,,,0.10945273631840796,0.4129353233830846,200.0
A,perm,cell1280,4,30,absorb,,,,,,,,0.8308457711442786,0.21393034825870647,200.0
A,perm,cell1280,4,30,absorb_w8,,,,,,,,0.945273631840796,0.6766169154228856,200.0
A,perm,cell1280,4,30,absorb_drift,,,,,,,,0.01990049751243781,0.6915422885572139,200.0
A,perm,cell1280,4,30,absorb_max_w8,,,,,,,,0.1791044776119403,0.27860696517412936,200.0
A,perm,cell1280,4,30,frac_hirisk_w8,,,,,,,,0.20398009950248755,0.13432835820895522,200.0
A,perm,cell1280,4,30,emp_pool,,,,,,,,0.2736318407960199,0.4228855721393035,200.0
A,perm,cell1280,4,30,emp_pool_w8,,,,,,,,0.03980099502487562,0.5671641791044776,200.0
A,perm,cell1280,4,30,emp_time,,,,,,,,0.6019900497512438,0.39303482587064675,200.0
A,perm,cell1280,4,30,esteps,,,,,,,,0.7860696517412935,0.6169154228855721,200.0
A,perm,cell1280,4,30,esteps_w8,,,,,,,,0.1890547263681592,0.36318407960199006,200.0
A,perm,cell1280,4,30,dwell,,,,,,,,0.014925373134328358,0.8955223880597015,200.0
A,perm,cell1280,4,30,stayp_w8,,,,,,,,0.06965174129353234,0.9203980099502488,200.0
A,perm,cell1280,4,30,nll_w8,,,,,,,,0.004975124378109453,0.8706467661691543,200.0
A,detect,cell1280,8,20,absorb,0.528128196385953,0.528128196385953,0.5635867712240027,0.5635867712240027,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,absorb_w8,0.4352199113535629,0.5647800886464371,0.441527446300716,0.5584725536992841,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,absorb_drift,0.49062393453801567,0.5093760654619843,0.5260825093760655,0.5260825093760655,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,absorb_max_w8,0.5223320831912718,0.5223320831912718,0.5441527446300716,0.5441527446300716,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,frac_hirisk_w8,0.4094783498124786,0.5905216501875215,0.41936583702693486,0.5806341629730651,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,emp_pool,0.5536992840095465,0.5536992840095465,0.5918854415274463,0.5918854415274463,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,emp_pool_w8,0.4519263552676441,0.548073644732356,0.45584725536992843,0.5441527446300716,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,emp_time,0.5871121718377088,0.5871121718377088,0.5615410842141152,0.5615410842141152,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,esteps,0.5056256392771906,0.5056256392771906,0.5629048755540402,0.5629048755540402,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,esteps_w8,0.43146948516876915,0.5685305148312308,0.4186839413569724,0.5813160586430276,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,dwell,0.44255028980565975,0.5574497101943403,0.4087964541425162,0.5912035458574838,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,stayp_w8,0.45465393794749404,0.5453460620525059,0.442891237640641,0.557108762359359,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,20,nll_w8,0.5482441186498466,0.5482441186498466,0.5482441186498466,0.5482441186498466,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,8,25,absorb,0.528980565973406,0.528980565973406,0.4858506648482782,0.5141493351517218,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,absorb_w8,0.48124786907603134,0.5187521309239687,0.5247187180361405,0.5247187180361405,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,absorb_drift,0.5375042618479373,0.5375042618479373,0.4415274463007159,0.5584725536992841,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,absorb_max_w8,0.48533924309580634,0.5146607569041937,0.5107398568019093,0.5107398568019093,0.6345039209001023,2933.0,352.0,,,
