corpus,block,feat,K,t,variant,mode,eps,stat,metric,name,value
A,sentinel,,,,,,,,cap_bit_precision,value,1.0
A,sentinel,,,,,,,,cap_bit_recall,value,0.17872340425531916
A,baseline_sentinel,,,20,,,,,baseline_hell_mean8,auc_succ,0.40572792362768495
A,baseline_sentinel,,,20,,,,,baseline_hell_mean8,det_auc,0.594272076372315
A,baseline_sentinel,,,20,,,,,baseline_hell_mean8,npairs,2933.0
A,baseline_sentinel,,,20,,,,,baseline_hell_mean8,n_alive,352.0
A,baseline_sentinel,,,20,,,,,sentinel_capbit,auc_succ,0.5668257756563246
A,baseline_sentinel,,,20,,,,,sentinel_capbit,det_auc,0.5668257756563246
A,baseline_sentinel,,,20,,,,,sentinel_capbit,npairs,2933.0
A,baseline_sentinel,,,20,,,,,sentinel_capbit,n_alive,352.0
A,baseline_sentinel,,,20,,,,,oracle_length,auc_succ,0.9894306171155813
A,baseline_sentinel,,,20,,,,,oracle_length,det_auc,0.9894306171155813
A,baseline_sentinel,,,20,,,,,oracle_length,npairs,2933.0
A,baseline_sentinel,,,20,,,,,oracle_length,n_alive,352.0
A,baseline_sentinel,,,25,,,,,baseline_hell_mean8,auc_succ,0.6345039209001023
A,baseline_sentinel,,,25,,,,,baseline_hell_mean8,det_auc,0.6345039209001023
A,baseline_sentinel,,,25,,,,,baseline_hell_mean8,npairs,2933.0
A,baseline_sentinel,,,25,,,,,baseline_hell_mean8,n_alive,352.0
A,baseline_sentinel,,,25,,,,,sentinel_capbit,auc_succ,0.5668257756563246
A,baseline_sentinel,,,25,,,,,sentinel_capbit,det_auc,0.5668257756563246
A,baseline_sentinel,,,25,,,,,sentinel_capbit,npairs,2933.0
A,baseline_sentinel,,,25,,,,,sentinel_capbit,n_alive,352.0
A,baseline_sentinel,,,25,,,,,oracle_length,auc_succ,0.9894306171155813
A,baseline_sentinel,,,25,,,,,oracle_length,det_auc,0.9894306171155813
A,baseline_sentinel,,,25,,,,,oracle_length,npairs,2933.0
A,baseline_sentinel,,,25,,,,,oracle_length,n_alive,352.0
A,baseline_sentinel,,,30,,,,,baseline_hell_mean8,auc_succ,0.7988407773610637
A,baseline_sentinel,,,30,,,,,baseline_hell_mean8,det_auc,0.7988407773610637
A,baseline_sentinel,,,30,,,,,baseline_hell_mean8,npairs,2933.0
A,baseline_sentinel,,,30,,,,,baseline_hell_mean8,n_alive,352.0
A,baseline_sentinel,,,30,,,,,sentinel_capbit,auc_succ,0.5668257756563246
A,baseline_sentinel,,,30,,,,,sentinel_capbit,det_auc,0.5668257756563246
A,baseline_sentinel,,,30,,,,,sentinel_capbit,npairs,2933.0
A,baseline_sentinel,,,30,,,,,sentinel_capbit,n_alive,352.0
A,baseline_sentinel,,,30,,,,,oracle_length,auc_succ,0.9894306171155813
A,baseline_sentinel,,,30,,,,,oracle_length,det_auc,0.9894306171155813
A,baseline_sentinel,,,30,,,,,oracle_length,npairs,2933.0
A,baseline_sentinel,,,30,,,,,oracle_length,n_alive,352.0
B,sentinel,,,,,,,,cap_bit_precision,value,0.9953917050691244
B,sentinel,,,,,,,,cap_bit_recall,value,1.0
B,baseline_sentinel,,,20,,,,,baseline_hell_mean8,auc_succ,0.6444223107569721
B,baseline_sentinel,,,20,,,,,baseline_hell_mean8,det_auc,0.6444223107569721
B,baseline_sentinel,,,20,,,,,baseline_hell_mean8,npairs,2008.0
B,baseline_sentinel,,,20,,,,,baseline_hell_mean8,n_alive,512.0
B,baseline_sentinel,,,20,,,,,sentinel_capbit,auc_succ,0.9992529880478087
B,baseline_sentinel,,,20,,,,,sentinel_capbit,det_auc,0.9992529880478087
B,baseline_sentinel,,,20,,,,,sentinel_capbit,npairs,2008.0
B,baseline_sentinel,,,20,,,,,sentinel_capbit,n_alive,512.0
B,baseline_sentinel,,,20,,,,,oracle_length,auc_succ,0.9992529880478087
B,baseline_sentinel,,,20,,,,,oracle_length,det_auc,0.9992529880478087
B,baseline_sentinel,,,20,,,,,oracle_length,npairs,2008.0
B,baseline_sentinel,,,20,,,,,oracle_length,n_alive,512.0
B,baseline_sentinel,,,25,,,,,baseline_hell_mean8,auc_succ,0.5249003984063745
B,baseline_sentinel,,,25,,,,,baseline_hell_mean8,det_auc,0.5249003984063745
B,baseline_sentinel,,,25,,,,,baseline_hell_mean8,npairs,2008.0
B,baseline_sentinel,,,25,,,,,baseline_hell_mean8,n_alive,512.0
B,baseline_sentinel,,,25,,,,,sentinel_capbit,auc_succ,0.9992529880478087
B,baseline_sentinel,,,25,,,,,sentinel_capbit,det_auc,0.9992529880478087
B,baseline_sentinel,,,25,,,,,sentinel_capbit,npairs,2008.0
B,baseline_sentinel,,,25,,,,,sentinel_capbit,n_alive,512.0
B,baseline_sentinel,,,25,,,,,oracle_length,auc_succ,0.9992529880478087
B,baseline_sentinel,,,25,,,,,oracle_length,det_auc,0.9992529880478087
B,baseline_sentinel,,,25,,,,,oracle_length,npairs,2008.0
B,baseline_sentinel,,,25,,,,,oracle_length,n_alive,512.0
B,baseline_sentinel,,,30,,,,,baseline_hell_mean8,auc_succ,0.750996015936255
B,baseline_sentinel,,,30,,,,,baseline_hell_mean8,det_auc,0.750996015936255
B,baseline_sentinel,,,30,,,,,baseline_hell_mean8,npairs,2008.0
B,baseline_sentinel,,,30,,,,,baseline_hell_mean8,n_alive,512.0
B,baseline_sentinel,,,30,,,,,sentinel_capbit,auc_succ,0.9992529880478087
B,baseline_sentinel,,,30,,,,,sentinel_capbit,det_auc,0.9992529880478087
B,baseline_sentinel,,,30,,,,,sentinel_capbit,npairs,2008.0
B,baseline_sentinel,,,30,,,,,sentinel_capbit,n_alive,512.0
B,baseline_sentinel,,,30,,,,,oracle_length,auc_succ,0.9992529880478087
B,baseline_sentinel,,,30,,,,,oracle_length,det_auc,0.9992529880478087
