method,task_macro_auc,within_init_macro_auc,scorable_fraction
clock_q7,0.5,0.5,0.8888888888888888
dyn_pca2_success_knn_k20,0.6137455967728161,0.537059615162002,0.8888888888888888
dyn_radius,0.6815098905734788,0.5892014482560701,0.8888888888888888
dyn_radius_outward,0.6892078251859862,0.6315211597054646,0.8888888888888888
dyn_success_knn_k1,0.6441438874474888,0.6422218679138322,0.8888888888888888
dyn_success_knn_k20,0.6802636235288612,0.6675172703410769,0.8888888888888888
dyn_success_knn_k20_persist3,0.6339239115581664,0.6084536125406953,0.6944444444444445
dyn_success_knn_k5,0.6604097551859122,0.6674087496249902,0.8888888888888888
dyn_vote_knn_k20,0.6150647632123948,0.6102086398707912,0.8888888888888888
eef_motion_low,0.7485882701386282,0.6704147493382875,0.8888888888888888
route_success_knn_k20,0.6695092517643387,0.6715793057542881,0.8888888888888888
success_only__cumsum,0.6927710883961082,0.6611963484187166,1.0
success_only__current,0.6734447569857506,0.6557675557596776,1.0
v7_guard_constant,0.47644127932287206,0.4521375167280717,1.0
v7_success_fusion_constant,0.6516042048459378,0.6018878866080662,1.0
v7_turbulence_constant,0.5401894539024666,0.5320392219387755,0.638888888888889
