fold,suite,seed,method,calibration,alpha,scope,origin,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.01,seen,round5,560,12,548,12,7,1.0,0.012773722627737226,0.631578947368421,0.9936131386861314,0.5666666666666668,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.01,unseen,round5,1200,78,1122,57,1,0.7307692307692307,0.00089126559714795,0.9827586206896551,0.8649389825860414,0.8452991452991452,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.03,seen,round5,560,12,548,12,19,1.0,0.03467153284671533,0.3870967741935484,0.9826642335766423,0.5527777777777779,13.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.03,unseen,round5,1200,78,1122,63,2,0.8076923076923077,0.0017825311942959,0.9692307692307692,0.9029548882490059,0.8170940170940172,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,round5,560,12,548,12,22,1.0,0.040145985401459854,0.35294117647058826,0.9799270072992701,0.4888888888888889,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,round5,1200,78,1122,63,2,0.8076923076923077,0.0017825311942959,0.9692307692307692,0.9029548882490059,0.8059829059829059,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.1,seen,round5,560,12,548,12,32,1.0,0.058394160583941604,0.2727272727272727,0.9708029197080292,0.4305555555555556,10.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.1,unseen,round5,1200,78,1122,71,2,0.9102564102564102,0.0017825311942959,0.9726027397260274,0.9542369395310571,0.7572649572649574,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.15,seen,round5,560,12,548,12,44,1.0,0.08029197080291971,0.21428571428571427,0.9598540145985401,0.39999999999999997,9.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.15,unseen,round5,1200,78,1122,76,3,0.9743589743589743,0.00267379679144385,0.9620253164556962,0.9858425887837653,0.7247863247863248,22.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.2,seen,round5,560,12,548,12,106,1.0,0.19343065693430658,0.1016949152542373,0.9032846715328468,0.37500000000000006,9.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.2,unseen,round5,1200,78,1122,78,8,1.0,0.0071301247771836,0.9069767441860465,0.9964349376114082,0.6636752136752136,18.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.01,seen,round5,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.01,unseen,round5,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
