fold,suite,seed,method,view,scope,origin,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,round5,560,12,1.0,1.0,1.0,1.0,0.9482142857142857,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,unseen,round5,1200,78,0.9992687051510581,0.9867799576465779,0.9990139634031769,0.9932539682539683,0.9908333333333333,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,round5,560,12,0.5918491484184915,0.0275321615238316,0.6701079701475271,0.5873015873015873,0.8571428571428571,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,unseen,round5,1200,78,0.6730197906668495,0.18380775879727823,0.5664462232991975,0.5563888888888889,0.6666666666666666,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,q7,seen,round5,531,12,0.7859666024405909,0.12639535908953822,0.488673370991409,0.5873015873015873,1.0,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,q7,unseen,round5,1189,78,0.3864040250178864,0.05501684816522118,0.5633870214478226,0.49351284958427816,1.0,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,q14,seen,round5,43,12,0.9005376344086021,0.8041292735042737,0.7058823529411765,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,q14,unseen,round5,428,78,0.6265934065934066,0.4220467281055145,0.3065762121467498,0.2593452380952381,1.0,2
libero_goal_20260907,libero_goal,20260907,dyn_radius,q21,seen,round5,15,12,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,q21,unseen,round5,83,78,0.33076923076923076,0.9157313874916544,0.24918300653594772,0.4375,1.0,2
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,round5,560,12,0.9989355231143552,0.9455657768157768,1.0,1.0,0.9482142857142857,3
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,unseen,round5,1200,78,0.9985145573380867,0.9772795799583454,0.9989467579621331,0.994642857142857,0.9908333333333333,3
