fold,suite,seed,method,calibration,alpha,scope,task,origin,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,22,1.0,0.27848101265822783,0.043478260869565216,0.8607594936708861,0.8333333333333334,24.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4666666666666666,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.45416666666666666,11.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,48,1,0.9411764705882353,0.0028653295128939827,0.9795918367346939,0.9691555705376707,0.8156862745098039,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,6,1,0.3333333333333333,0.002617801047120419,0.8571428571428571,0.6653577661431064,0.8796296296296297,18.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.6037037037037036,16.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,7,1.0,0.08860759493670886,0.125,0.9556962025316456,0.8666666666666667,25.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.48888888888888893,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.5666666666666667,14.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,45,1,0.8823529411764706,0.0028653295128939827,0.9782608695652174,0.9397438058317883,0.8483660130718955,24.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,3,0,0.16666666666666666,0.0,1.0,0.5833333333333334,0.9388888888888888,17.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.6629629629629631,19.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,18,1.0,0.22784810126582278,0.05263157894736842,0.8860759493670887,0.4,11.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4666666666666666,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.5791666666666666,16.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,50,2,0.9803921568627451,0.0057306590257879654,0.9615384615384616,0.9873307489184786,0.7673202614379084,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,7,1,0.3888888888888889,0.002617801047120419,0.875,0.6931355439208842,0.8796296296296297,19.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5814814814814814,15.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,4,1.0,0.05063291139240506,0.2,0.9746835443037974,0.8666666666666667,25.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.5,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.6375,18.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,48,1,0.9411764705882353,0.0028653295128939827,0.9795918367346939,0.9691555705376707,0.8307189542483658,24.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,1,0,0.05555555555555555,0.0,1.0,0.5277777777777778,0.9851851851851853,21.0
