blocked_by,folds,rows,episodes,target_sd,mae_clock,mae_clock_routing,mae_gain,mae_gain_ci95,r2_clock,r2_clock_routing
task,5,89002,13179,5.941321911295129,4.682733010422445,4.352643399226823,0.3300896111956222,"[-0.09736323858840057, 0.6767956769861323]",-0.09410000072330749,0.017832294768074797
suite,4,89002,13179,5.941321911295129,5.974830214292096,6.487983998376438,-0.5131537840843423,"[-1.246726455578402, 0.014660336008651485]",-0.6615317928989286,-0.9329629329235445
