level,macro_risk_recall,macro_precision,macro_timely_fpr,macro_early4,micro_tp,micro_fp,micro_risk_recall,micro_precision,micro_timely_fpr
published,0.7053554213311822,0.8729626602294775,0.00538025746740409,0.49051097126258947,439,80,0.7783687943262412,0.8458574181117534,0.005320563979781857
loso_l1,0.6229666542657177,0.8716280333744638,0.008389079859323632,0.4300493250723935,413,125,0.7322695035460993,0.7676579925650557,0.008313381218409152
loso_reweighted,0.6191989046623395,0.6773348338755316,0.022231197914703116,0.4474389730225703,305,320,0.5407801418439716,0.488,0.021282255919127427
loso_reweighted_fa,0.6347787146058734,0.6625805553072748,0.022704078116272126,0.4579230661226943,330,327,0.5851063829787234,0.502283105022831,0.02174780526735834
oracle_same,0.685610703509409,0.7260390749095784,0.0069066319000727515,0.518935667692726,380,102,0.6737588652482269,0.7883817427385892,0.006783719074221868
