cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,held_out_suite,level
external_8b,libero_goal,libero_goal__published,4000,106,3894,0,106,74,73,1,33,3893,0.6886792452830188,0.00025680534155110427,0.9864864864864865,,0.6886792452830188,5.0,0.5943396226415094,0.5754716981132075,0.20754716981132076,0.16981132075471697,0.3787878787878788,0.9232142857142838,0.0,0.0007911392405063291,0.9777777777777777,1.0,libero_goal,published
external_8b,libero_goal,libero_goal__loso_l1,4000,106,3894,0,106,62,61,1,45,3893,0.5754716981132075,0.00025680534155110427,0.9838709677419355,,0.5754716981132075,5.0,0.49056603773584906,0.4056603773584906,0.18867924528301888,0.16037735849056603,0.2982456140350877,0.875,0.0,0.0007915567282321899,0.9711538461538461,1.0,libero_goal,loso_l1
external_8b,libero_goal,libero_goal__loso_reweighted,4000,106,3894,0,106,129,91,38,15,3856,0.8584905660377359,0.009758602978941962,0.7054263565891473,,0.8584905660377359,6.0,0.8301886792452831,0.7924528301886793,0.330188679245283,0.2358490566037736,0.6382978723404256,0.9629629629629629,0.0,0.028762382958310455,0.24489795918367346,1.0,libero_goal,loso_reweighted
external_8b,libero_goal,libero_goal__loso_reweighted_fa,4000,106,3894,0,106,124,86,38,20,3856,0.8113207547169812,0.009758602978941962,0.6935483870967742,,0.8113207547169812,6.0,0.7830188679245284,0.7358490566037735,0.27358490566037735,0.20754716981132076,0.5161290322580645,0.9553621031746031,0.0,0.02914624709827186,0.22105263157894736,1.0,libero_goal,loso_reweighted_fa
external_8b,libero_goal,libero_goal__oracle_same,4000,106,3894,0,106,122,89,33,17,3861,0.839622641509434,0.00847457627118644,0.7295081967213115,,0.839622641509434,6.0,0.8113207547169812,0.7547169811320755,0.29245283018867924,0.2169811320754717,0.6461538461538462,0.9425287356321839,0.0,0.024987603164186495,0.2727272727272727,1.0,libero_goal,oracle_same
external_8b,libero_long,libero_long__published,4000,274,3726,26,248,305,236,69,38,3657,0.8613138686131386,0.018518518518518517,0.7737704918032787,0.6538461538461539,0.8830645161290323,19.0,0.8576642335766423,0.843065693430657,0.8065693430656934,0.7299270072992701,0.8207831325301205,0.952054794520548,0.009587789961229132,0.029801530143143597,0.488171751968504,0.869049823633157,libero_long,published
external_8b,libero_long,libero_long__loso_l1,4000,274,3726,26,248,366,247,119,27,3607,0.9014598540145985,0.031937734836285564,0.674863387978142,0.6923076923076923,0.9233870967741935,20.0,0.9014598540145985,0.8905109489051095,0.843065693430657,0.791970802919708,0.8652342433878032,0.975,0.015013849373362465,0.05371446147474761,0.36495143312101913,0.8024956235856711,libero_long,loso_l1
external_8b,libero_long,libero_long__loso_reweighted,4000,274,3726,26,248,70,68,2,206,3724,0.24817518248175183,0.0005367686527106817,0.9714285714285714,0.11538461538461539,0.2620967741935484,11.5,0.22992700729927007,0.22262773722627738,0.17518248175182483,0.12408759124087591,0.06277326233183857,0.3210547710740265,0.0,0.0013679984156185862,0.7857142857142857,1.0,libero_long,loso_reweighted
external_8b,libero_long,libero_long__loso_reweighted_fa,4000,274,3726,26,248,106,98,8,176,3718,0.35766423357664234,0.0021470746108427268,0.9245283018867925,0.15384615384615385,0.3790322580645161,13.5,0.3357664233576642,0.32116788321167883,0.2664233576642336,0.20437956204379562,0.29411764705882354,0.45087357121126503,0.00027722719247433124,0.00427578834847675,0.714225181598063,0.9867855900765129,libero_long,loso_reweighted_fa
external_8b,libero_long,libero_long__oracle_same,4000,274,3726,26,248,155,144,11,130,3715,0.5255474452554745,0.0029522275899087494,0.9290322580645162,0.46153846153846156,0.532258064516129,15.5,0.5145985401459854,0.49635036496350365,0.45985401459854014,0.3905109489051095,0.49591280653950953,0.6078532443905396,0.0008036324241514678,0.005352158758619533,0.75,0.9774436090225563,libero_long,oracle_same
