method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,547,551,0.8305000066757202,4,551,libero_spatial_20260908
route_ja_k20,episode,0.03,536,551,0.7948095202445984,15,551,libero_spatial_20260908
route_ja_k20,episode,0.05,525,551,0.7750833630561829,26,551,libero_spatial_20260908
route_ja_k20,episode,0.1,497,551,0.7469642758369446,54,551,libero_spatial_20260908
route_ja_k20,episode,0.15,470,551,0.7367559671401978,81,551,libero_spatial_20260908
route_ja_k20,episode,0.2,442,551,0.7274404764175415,109,551,libero_spatial_20260908
route_ja_k20,task_init,0.01,71,70,inf,0,551,libero_spatial_20260908
route_ja_k20,task_init,0.03,69,70,0.8351964354515076,1,551,libero_spatial_20260908
route_ja_k20,task_init,0.05,68,70,0.8338273763656616,2,551,libero_spatial_20260908
route_ja_k20,task_init,0.1,64,70,0.7969702482223511,6,551,libero_spatial_20260908
route_ja_k20,task_init,0.15,61,70,0.781000018119812,9,551,libero_spatial_20260908
route_ja_k20,task_init,0.2,57,70,0.7777143120765686,13,551,libero_spatial_20260908
route_wj_site_k20,episode,0.01,547,551,0.14471428096294403,4,551,libero_spatial_20260908
route_wj_site_k20,episode,0.03,536,551,0.1377023607492447,15,551,libero_spatial_20260908
route_wj_site_k20,episode,0.05,525,551,0.13563139736652374,26,551,libero_spatial_20260908
route_wj_site_k20,episode,0.1,497,551,0.13012969493865967,54,551,libero_spatial_20260908
route_wj_site_k20,episode,0.15,470,551,0.12725399434566498,81,551,libero_spatial_20260908
route_wj_site_k20,episode,0.2,442,551,0.12255311012268066,109,551,libero_spatial_20260908
route_wj_site_k20,task_init,0.01,71,70,inf,0,551,libero_spatial_20260908
route_wj_site_k20,task_init,0.03,69,70,0.15266551077365875,1,551,libero_spatial_20260908
route_wj_site_k20,task_init,0.05,68,70,0.14744409918785095,2,551,libero_spatial_20260908
route_wj_site_k20,task_init,0.1,64,70,0.1440395563840866,6,551,libero_spatial_20260908
route_wj_site_k20,task_init,0.15,61,70,0.13919755816459656,9,551,libero_spatial_20260908
route_wj_site_k20,task_init,0.2,57,70,0.1368141770362854,13,551,libero_spatial_20260908
route_wj_aligned_k20,episode,0.01,547,551,0.1458767205476761,4,551,libero_spatial_20260908
route_wj_aligned_k20,episode,0.03,536,551,0.13863655924797058,15,551,libero_spatial_20260908
route_wj_aligned_k20,episode,0.05,525,551,0.1365402489900589,26,551,libero_spatial_20260908
route_wj_aligned_k20,episode,0.1,497,551,0.13092730939388275,54,551,libero_spatial_20260908
route_wj_aligned_k20,episode,0.15,470,551,0.12810851633548737,81,551,libero_spatial_20260908
route_wj_aligned_k20,episode,0.2,442,551,0.12350411713123322,109,551,libero_spatial_20260908
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,551,libero_spatial_20260908
route_wj_aligned_k20,task_init,0.03,69,70,0.15344774723052979,1,551,libero_spatial_20260908
route_wj_aligned_k20,task_init,0.05,68,70,0.1484939157962799,2,551,libero_spatial_20260908
route_wj_aligned_k20,task_init,0.1,64,70,0.14508913457393646,6,551,libero_spatial_20260908
route_wj_aligned_k20,task_init,0.15,61,70,0.1401240974664688,9,551,libero_spatial_20260908
route_wj_aligned_k20,task_init,0.2,57,70,0.13765235245227814,13,551,libero_spatial_20260908
route_hellinger_aligned_k20,episode,0.01,547,551,0.0764518454670906,4,551,libero_spatial_20260908
route_hellinger_aligned_k20,episode,0.03,536,551,0.07114456593990326,15,551,libero_spatial_20260908
route_hellinger_aligned_k20,episode,0.05,525,551,0.06947585195302963,26,551,libero_spatial_20260908
route_hellinger_aligned_k20,episode,0.1,497,551,0.0673176571726799,54,551,libero_spatial_20260908
route_hellinger_aligned_k20,episode,0.15,470,551,0.06493677198886871,81,551,libero_spatial_20260908
route_hellinger_aligned_k20,episode,0.2,442,551,0.06321089714765549,109,551,libero_spatial_20260908
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,551,libero_spatial_20260908
route_hellinger_aligned_k20,task_init,0.03,69,70,0.07890075445175171,1,551,libero_spatial_20260908
route_hellinger_aligned_k20,task_init,0.05,68,70,0.07888678461313248,2,551,libero_spatial_20260908
route_hellinger_aligned_k20,task_init,0.1,64,70,0.07538741827011108,6,551,libero_spatial_20260908
route_hellinger_aligned_k20,task_init,0.15,61,70,0.07394085079431534,9,551,libero_spatial_20260908
route_hellinger_aligned_k20,task_init,0.2,57,70,0.07050196826457977,13,551,libero_spatial_20260908
