method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,539,543,0.7989702224731445,4,543,libero_spatial_20260909
route_ja_k20,episode,0.03,528,543,0.7702202200889587,15,543,libero_spatial_20260909
route_ja_k20,episode,0.05,517,543,0.7589821219444275,26,543,libero_spatial_20260909
route_ja_k20,episode,0.1,490,543,0.7361666560173035,53,543,libero_spatial_20260909
route_ja_k20,episode,0.15,463,543,0.7222023606300354,80,543,libero_spatial_20260909
route_ja_k20,episode,0.2,436,543,0.7148095369338989,107,543,libero_spatial_20260909
route_ja_k20,task_init,0.01,71,70,inf,0,543,libero_spatial_20260909
route_ja_k20,task_init,0.03,69,70,0.8102976083755493,1,543,libero_spatial_20260909
route_ja_k20,task_init,0.05,68,70,0.8033987879753113,2,543,libero_spatial_20260909
route_ja_k20,task_init,0.1,64,70,0.7789285778999329,6,543,libero_spatial_20260909
route_ja_k20,task_init,0.15,61,70,0.7646904587745667,9,543,libero_spatial_20260909
route_ja_k20,task_init,0.2,57,70,0.7581428289413452,13,543,libero_spatial_20260909
route_wj_site_k20,episode,0.01,539,543,0.1426737755537033,4,543,libero_spatial_20260909
route_wj_site_k20,episode,0.03,528,543,0.13444727659225464,15,543,libero_spatial_20260909
route_wj_site_k20,episode,0.05,517,543,0.13232171535491943,26,543,libero_spatial_20260909
route_wj_site_k20,episode,0.1,490,543,0.12596778571605682,53,543,libero_spatial_20260909
route_wj_site_k20,episode,0.15,463,543,0.121547631919384,80,543,libero_spatial_20260909
route_wj_site_k20,episode,0.2,436,543,0.11866511404514313,107,543,libero_spatial_20260909
route_wj_site_k20,task_init,0.01,71,70,inf,0,543,libero_spatial_20260909
route_wj_site_k20,task_init,0.03,69,70,0.14333194494247437,1,543,libero_spatial_20260909
route_wj_site_k20,task_init,0.05,68,70,0.1431475430727005,2,543,libero_spatial_20260909
route_wj_site_k20,task_init,0.1,64,70,0.14009399712085724,6,543,libero_spatial_20260909
route_wj_site_k20,task_init,0.15,61,70,0.13672798871994019,9,543,libero_spatial_20260909
route_wj_site_k20,task_init,0.2,57,70,0.13444727659225464,13,543,libero_spatial_20260909
route_wj_aligned_k20,episode,0.01,539,543,0.14378254115581512,4,543,libero_spatial_20260909
route_wj_aligned_k20,episode,0.03,528,543,0.13534602522850037,15,543,libero_spatial_20260909
route_wj_aligned_k20,episode,0.05,517,543,0.1331750750541687,26,543,libero_spatial_20260909
route_wj_aligned_k20,episode,0.1,490,543,0.12695994973182678,53,543,libero_spatial_20260909
route_wj_aligned_k20,episode,0.15,463,543,0.12250658869743347,80,543,libero_spatial_20260909
route_wj_aligned_k20,episode,0.2,436,543,0.11958833783864975,107,543,libero_spatial_20260909
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,543,libero_spatial_20260909
route_wj_aligned_k20,task_init,0.03,69,70,0.14433594048023224,1,543,libero_spatial_20260909
route_wj_aligned_k20,task_init,0.05,68,70,0.14414793252944946,2,543,libero_spatial_20260909
route_wj_aligned_k20,task_init,0.1,64,70,0.14106932282447815,6,543,libero_spatial_20260909
route_wj_aligned_k20,task_init,0.15,61,70,0.1376638114452362,9,543,libero_spatial_20260909
route_wj_aligned_k20,task_init,0.2,57,70,0.13534602522850037,13,543,libero_spatial_20260909
route_hellinger_aligned_k20,episode,0.01,539,543,0.07375194877386093,4,543,libero_spatial_20260909
route_hellinger_aligned_k20,episode,0.03,528,543,0.06856416165828705,15,543,libero_spatial_20260909
route_hellinger_aligned_k20,episode,0.05,517,543,0.06772700697183609,26,543,libero_spatial_20260909
route_hellinger_aligned_k20,episode,0.1,490,543,0.06517601013183594,53,543,libero_spatial_20260909
route_hellinger_aligned_k20,episode,0.15,463,543,0.0629120022058487,80,543,libero_spatial_20260909
route_hellinger_aligned_k20,episode,0.2,436,543,0.06075812876224518,107,543,libero_spatial_20260909
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,543,libero_spatial_20260909
route_hellinger_aligned_k20,task_init,0.03,69,70,0.0756479948759079,1,543,libero_spatial_20260909
route_hellinger_aligned_k20,task_init,0.05,68,70,0.07533302158117294,2,543,libero_spatial_20260909
route_hellinger_aligned_k20,task_init,0.1,64,70,0.07197154313325882,6,543,libero_spatial_20260909
route_hellinger_aligned_k20,task_init,0.15,61,70,0.0702350065112114,9,543,libero_spatial_20260909
route_hellinger_aligned_k20,task_init,0.2,57,70,0.06854652613401413,13,543,libero_spatial_20260909
