method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,548,552,0.8460237979888916,4,552,libero_object_20260907
route_ja_k20,episode,0.03,537,552,0.8359047770500183,15,552,libero_object_20260907
route_ja_k20,episode,0.05,526,552,0.8233869075775146,26,552,libero_object_20260907
route_ja_k20,episode,0.1,498,552,0.8021726012229919,54,552,libero_object_20260907
route_ja_k20,episode,0.15,471,552,0.7889940738677979,81,552,libero_object_20260907
route_ja_k20,episode,0.2,443,552,0.7752440571784973,109,552,libero_object_20260907
route_ja_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260907
route_ja_k20,task_init,0.03,69,70,0.8513869047164917,1,552,libero_object_20260907
route_ja_k20,task_init,0.05,68,70,0.8488333225250244,2,552,libero_object_20260907
route_ja_k20,task_init,0.1,64,70,0.840708315372467,6,552,libero_object_20260907
route_ja_k20,task_init,0.15,61,70,0.830297589302063,9,552,libero_object_20260907
route_ja_k20,task_init,0.2,57,70,0.8211785554885864,13,552,libero_object_20260907
route_wj_site_k20,episode,0.01,548,552,0.13353155553340912,4,552,libero_object_20260907
route_wj_site_k20,episode,0.03,537,552,0.12460018694400787,15,552,libero_object_20260907
route_wj_site_k20,episode,0.05,526,552,0.12209177762269974,26,552,libero_object_20260907
route_wj_site_k20,episode,0.1,498,552,0.11929482221603394,54,552,libero_object_20260907
route_wj_site_k20,episode,0.15,471,552,0.11570539325475693,81,552,libero_object_20260907
route_wj_site_k20,episode,0.2,443,552,0.11259591579437256,109,552,libero_object_20260907
route_wj_site_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260907
route_wj_site_k20,task_init,0.03,69,70,0.13945649564266205,1,552,libero_object_20260907
route_wj_site_k20,task_init,0.05,68,70,0.13105951249599457,2,552,libero_object_20260907
route_wj_site_k20,task_init,0.1,64,70,0.12777365744113922,6,552,libero_object_20260907
route_wj_site_k20,task_init,0.15,61,70,0.12656566500663757,9,552,libero_object_20260907
route_wj_site_k20,task_init,0.2,57,70,0.1235453337430954,13,552,libero_object_20260907
route_wj_aligned_k20,episode,0.01,548,552,0.13430583477020264,4,552,libero_object_20260907
route_wj_aligned_k20,episode,0.03,537,552,0.12510600686073303,15,552,libero_object_20260907
route_wj_aligned_k20,episode,0.05,526,552,0.12286635488271713,26,552,libero_object_20260907
route_wj_aligned_k20,episode,0.1,498,552,0.12001079320907593,54,552,libero_object_20260907
route_wj_aligned_k20,episode,0.15,471,552,0.11633297801017761,81,552,libero_object_20260907
route_wj_aligned_k20,episode,0.2,443,552,0.11335401982069016,109,552,libero_object_20260907
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260907
route_wj_aligned_k20,task_init,0.03,69,70,0.14023612439632416,1,552,libero_object_20260907
route_wj_aligned_k20,task_init,0.05,68,70,0.13167867064476013,2,552,libero_object_20260907
route_wj_aligned_k20,task_init,0.1,64,70,0.12854576110839844,6,552,libero_object_20260907
route_wj_aligned_k20,task_init,0.15,61,70,0.1271517425775528,9,552,libero_object_20260907
route_wj_aligned_k20,task_init,0.2,57,70,0.12427113950252533,13,552,libero_object_20260907
route_hellinger_aligned_k20,episode,0.01,548,552,0.06854090839624405,4,552,libero_object_20260907
route_hellinger_aligned_k20,episode,0.03,537,552,0.06350883096456528,15,552,libero_object_20260907
route_hellinger_aligned_k20,episode,0.05,526,552,0.062010105699300766,26,552,libero_object_20260907
route_hellinger_aligned_k20,episode,0.1,498,552,0.060001060366630554,54,552,libero_object_20260907
route_hellinger_aligned_k20,episode,0.15,471,552,0.058397650718688965,81,552,libero_object_20260907
route_hellinger_aligned_k20,episode,0.2,443,552,0.05694901943206787,109,552,libero_object_20260907
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260907
route_hellinger_aligned_k20,task_init,0.03,69,70,0.07255630195140839,1,552,libero_object_20260907
route_hellinger_aligned_k20,task_init,0.05,68,70,0.06681441515684128,2,552,libero_object_20260907
route_hellinger_aligned_k20,task_init,0.1,64,70,0.06520617753267288,6,552,libero_object_20260907
route_hellinger_aligned_k20,task_init,0.15,61,70,0.06454697996377945,9,552,libero_object_20260907
route_hellinger_aligned_k20,task_init,0.2,57,70,0.06241535395383835,13,552,libero_object_20260907
