cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,representation,direction,width,confirmations,quantile,max_suite_fpr,max_task_fpr,eligible
development_main,all,candidate,14800,487,14313,30,457,6148,389,5759,98,8554,0.7987679671457906,0.40236148955495005,0.0632726089785296,0.7,0.8052516411378556,13.0,0.7905544147843943,0.7638603696098563,0.6447638603696099,0.486652977412731,all_median,low,1,1,0.5,0.49709815796114054,0.5037974683544304,False
development_main,all,candidate,14800,487,14313,30,457,4973,388,4585,99,9728,0.7967145790554415,0.32033815412562006,0.07802131510154836,0.7,0.8030634573304157,12.5,0.784394250513347,0.75564681724846,0.6180698151950719,0.4517453798767967,all_median,low,1,1,0.6,0.397930860459248,0.4050632911392405,False
development_main,all,candidate,14800,487,14313,30,457,3789,384,3405,103,10908,0.7885010266940452,0.237895619367009,0.10134600158353127,0.6666666666666666,0.7964989059080962,12.0,0.7761806981519507,0.7412731006160165,0.5934291581108829,0.4106776180698152,all_median,low,1,1,0.7,0.2985112288670199,0.3037974683544304,False
development_main,all,candidate,14800,487,14313,30,457,3188,384,2804,103,11509,0.7885010266940452,0.19590581988402153,0.12045169385194479,0.6666666666666666,0.7964989059080962,11.5,0.7761806981519507,0.7351129363449692,0.5852156057494866,0.3942505133470226,all_median,low,1,1,0.75,0.24804441079989906,0.2575,False
development_main,all,candidate,14800,487,14313,30,457,2615,384,2231,103,12082,0.7885010266940452,0.15587228393767905,0.1468451242829828,0.6666666666666666,0.7964989059080962,11.0,0.7741273100616016,0.728952772073922,0.5749486652977412,0.38193018480492813,all_median,low,1,1,0.8,0.19984859954579864,0.2075,False
development_main,all,candidate,14800,487,14313,30,457,2011,382,1629,105,12684,0.784394250513347,0.11381261789981136,0.1899552461461959,0.6666666666666666,0.7921225382932167,10.0,0.7700205338809035,0.7227926078028748,0.5605749486652978,0.3531827515400411,all_median,low,1,1,0.85,0.14887711329800657,0.1575,False
development_main,all,candidate,14800,487,14313,30,457,1421,372,1049,115,13264,0.7638603696098563,0.07329001606930763,0.2617874736101337,0.6666666666666666,0.7702407002188184,10.0,0.7412731006160165,0.675564681724846,0.4887063655030801,0.34496919917864477,all_median,low,1,1,0.9,0.09891496341155691,0.1075,False
development_main,all,candidate,14800,487,14313,30,457,1111,359,752,128,13561,0.7371663244353183,0.0525396492698945,0.32313231323132313,0.6666666666666666,0.7417943107221007,10.0,0.704312114989733,0.6365503080082136,0.459958932238193,0.33675564681724846,all_median,low,1,1,0.925,0.07317688619732526,0.085,False
development_main,all,candidate,14800,487,14313,30,457,816,335,481,152,13832,0.6878850102669405,0.03360581289736603,0.4105392156862745,0.6666666666666666,0.6892778993435449,11.0,0.6386036960985626,0.5770020533880903,0.42505133470225875,0.3326488706365503,all_median,low,1,1,0.95,0.04743880898309362,0.0575,False
development_main,all,candidate,14800,487,14313,30,457,687,326,361,161,13952,0.6694045174537988,0.025221826311744567,0.4745269286754003,0.6666666666666666,0.6695842450765864,11.0,0.6078028747433265,0.5441478439425051,0.41683778234086244,0.324435318275154,all_median,low,1,1,0.96,0.03658844309866263,0.0475,False
development_main,all,candidate,14800,487,14313,30,457,511,290,221,197,14092,0.5954825462012321,0.015440508628519528,0.5675146771037182,0.6333333333333333,0.5929978118161926,11.0,0.5359342915811088,0.4887063655030801,0.38193018480492813,0.2936344969199179,all_median,low,1,1,0.975,0.021448397678526368,0.030927835051546393,False
development_main,all,candidate,14800,487,14313,30,457,441,276,165,211,14148,0.5667351129363449,0.011527981555229511,0.6258503401360545,0.6333333333333333,0.562363238512035,12.0,0.5071868583162218,0.459958932238193,0.37166324435318276,0.28952772073921973,all_median,low,1,1,0.98,0.01791572041382791,0.028350515463917526,False
development_main,all,candidate,14800,487,14313,30,457,325,239,86,248,14227,0.49075975359342916,0.006008523719695381,0.7353846153846154,0.6,0.48358862144420134,12.0,0.43737166324435317,0.4024640657084189,0.33675564681724846,0.28336755646817247,all_median,low,1,1,0.99,0.008831693161746153,0.022408963585434174,False
development_main,all,candidate,14800,487,14313,30,457,247,200,47,287,14266,0.4106776180698152,0.0032837280793684065,0.8097165991902834,0.5,0.4048140043763676,13.0,0.3798767967145791,0.3613963039014374,0.3141683778234086,0.2731006160164271,all_median,low,1,1,0.995,0.0065942591155934835,0.022408963585434174,True
development_main,all,candidate,14800,487,14313,30,457,865,367,498,120,13815,0.7535934291581109,0.03479354433032907,0.42427745664739885,0.6333333333333333,0.7614879649890591,9.0,0.728952772073922,0.6694045174537988,0.5030800821355236,0.32854209445585214,all_median,low,1,2,0.5,0.04491546807973757,0.11282051282051282,False
development_main,all,candidate,14800,487,14313,30,457,630,366,264,121,14049,0.7515400410677618,0.018444770488367217,0.580952380952381,0.6333333333333333,0.7592997811816192,9.0,0.7248459958932238,0.6591375770020534,0.47638603696098564,0.3182751540041068,all_median,low,1,2,0.6,0.024884556182657773,0.0728643216080402,False
development_main,all,candidate,14800,487,14313,30,457,511,364,147,123,14166,0.7474332648870636,0.010270383567386292,0.7123287671232876,0.6333333333333333,0.7549234135667396,9.0,0.7166324435318275,0.6529774127310062,0.4620123203285421,0.3162217659137577,all_median,low,1,2,0.7,0.014366341713699333,0.04020100502512563,False
development_main,all,candidate,14800,487,14313,30,457,467,363,104,124,14209,0.7453798767967146,0.007266121707538601,0.7773019271948608,0.6333333333333333,0.7527352297592997,9.0,0.7145790554414785,0.6406570841889117,0.4455852156057495,0.3162217659137577,all_median,low,1,2,0.75,0.010093363613424174,0.03015075376884422,False
development_main,all,candidate,14800,487,14313,30,457,435,360,75,127,14238,0.7392197125256673,0.005239991616013414,0.8275862068965517,0.6333333333333333,0.7461706783369803,9.0,0.7104722792607803,0.6344969199178645,0.43121149897330596,0.3162217659137577,all_median,low,1,2,0.8,0.006813020439061317,0.022613065326633167,False
