cohort,arm,n_risk,n_safe,tp0,fp0,tp2,fp2,tp4,fp4,tp8,fp8,tp12,fp12,tp16,fp16,tp,fp,precision,median_lead
development_main,v7,487,14313,382,67,359,57,303,38,217,26,178,18,156,5,303,38,0.8885630498533724,16.0
development_main,v8,487,14313,405,76,385,63,331,44,241,30,189,18,160,5,331,44,0.8826666666666667,15.0
development_main,v8.1,487,14313,429,95,408,76,360,55,260,37,204,22,166,5,360,55,0.8674698795180723,13.0
external_8b,v7,564,15036,439,80,410,71,347,57,261,43,228,31,199,17,347,57,0.8589108910891089,17.0
external_8b,v8,564,15036,462,90,436,80,377,66,287,47,242,32,202,18,377,66,0.8510158013544018,16.0
external_8b,v8.1,564,15036,499,113,475,95,419,77,314,58,260,38,209,18,419,77,0.844758064516129,15.0
legacy_main16x32,v7,307,2253,257,25,250,24,220,16,160,13,158,11,158,7,220,16,0.9322033898305084,19.0
legacy_main16x32,v8,307,2253,261,26,254,25,224,16,161,13,159,11,158,7,224,16,0.9333333333333333,19.0
legacy_main16x32,v8.1,307,2253,264,31,259,26,229,17,165,13,163,11,158,7,229,17,0.9308943089430894,19.0
