层,基线,平滑,Q,向,最早,dev12_tp,dev12_fp,ext12_tp,ext12_fp,lg12_tp,lg12_fp,ext16_tp,ext16_fp,ext4_tp,ext4_fp
L2,2,2,0.99,high,4,246,211,289,332,200,124,251,140,432,1194
L2,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L2,2,2,0.995,high,4,224,102,268,162,190,60,230,71,419,716
L2,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L2,2,3,0.99,high,5,249,185,287,270,197,129,249,129,430,1148
L2,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L2,2,3,0.995,high,5,224,81,268,130,189,63,231,64,423,708
L2,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L2,3,2,0.99,high,5,244,240,293,404,203,150,261,170,431,1059
L2,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L2,3,2,0.995,high,5,226,119,268,200,190,75,230,89,421,586
L2,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L2,3,3,0.99,high,6,245,204,291,333,202,158,256,170,433,965
L2,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L2,3,3,0.995,high,6,227,109,267,163,190,82,232,79,423,544
L2,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L2,4,2,0.99,high,6,244,286,292,530,207,178,263,213,429,1082
L2,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L2,4,2,0.995,high,6,229,145,272,247,195,93,236,98,416,593
L2,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L2,4,3,0.99,high,7,245,244,292,432,205,185,262,209,429,1003
L2,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L2,4,3,0.995,high,7,231,129,274,186,194,99,236,82,417,546
L2,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
L3,2,2,0.99,high,4,262,415,314,682,207,158,272,227,439,1123
L3,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L3,2,2,0.995,high,4,230,170,282,330,197,77,238,94,417,655
L3,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L3,2,3,0.99,high,5,260,372,308,609,203,145,275,208,441,1046
L3,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L3,2,3,0.995,high,5,232,174,277,294,194,78,241,88,414,624
