baseline,width,confirm,slope,dev_tp,dev_fp,dominates_v8,total_tp,total_fp
2,3,2,-0.001,363,59,True,1023,167
2,3,2,-0.0015,371,62,True,1040,175
2,3,2,-0.002,377,67,True,1060,183
2,3,2,-0.0025,382,71,True,1075,194
2,3,3,-0.001,346,53,True,983,146
2,3,3,-0.0015,352,55,True,994,152
2,3,3,-0.002,355,57,True,1008,157
2,3,3,-0.0025,362,61,True,1025,167
2,4,2,-0.001,353,53,True,1002,150
2,4,2,-0.0015,362,56,True,1015,160
2,4,2,-0.002,369,58,True,1036,165
2,4,2,-0.0025,374,64,True,1047,173
2,4,3,-0.001,342,49,True,966,138
2,4,3,-0.0015,345,49,True,977,141
2,4,3,-0.002,352,54,True,993,148
2,4,3,-0.0025,360,55,True,1010,151
2,6,2,-0.001,340,47,True,959,133
2,6,2,-0.0015,344,47,True,967,134
2,6,2,-0.002,353,48,True,986,138
2,6,2,-0.0025,357,54,True,1002,147
2,6,3,-0.001,327,45,False,932,126
2,6,3,-0.0015,333,47,False,945,130
2,6,3,-0.002,340,47,False,960,132
2,6,3,-0.0025,346,49,False,976,138
3,3,2,-0.001,360,62,True,1020,171
3,3,2,-0.0015,368,65,True,1036,180
3,3,2,-0.002,378,70,True,1058,189
3,3,2,-0.0025,382,78,True,1072,204
3,3,3,-0.001,343,55,True,974,151
3,3,3,-0.0015,349,56,True,985,155
3,3,3,-0.002,354,57,True,1002,158
3,3,3,-0.0025,359,61,True,1018,167
3,4,2,-0.001,351,56,True,994,152
3,4,2,-0.0015,357,60,True,1005,162
3,4,2,-0.002,363,62,True,1025,167
3,4,2,-0.0025,369,67,True,1041,176
3,4,3,-0.001,337,47,True,954,134
3,4,3,-0.0015,340,47,True,962,138
3,4,3,-0.002,346,54,True,978,147
3,4,3,-0.0025,353,56,True,995,151
3,6,2,-0.001,335,47,True,948,134
3,6,2,-0.0015,341,47,True,958,136
3,6,2,-0.002,349,48,True,978,139
3,6,2,-0.0025,355,54,True,995,147
3,6,3,-0.001,324,43,False,922,124
3,6,3,-0.0015,330,45,False,936,128
3,6,3,-0.002,338,46,True,952,131
3,6,3,-0.0025,344,47,True,970,137
4,3,2,-0.001,365,65,True,1026,180
4,3,2,-0.0015,374,69,True,1044,190
4,3,2,-0.002,381,76,True,1066,200
4,3,2,-0.0025,386,82,True,1085,218
4,3,3,-0.001,346,56,True,980,151
4,3,3,-0.0015,353,58,True,994,158
4,3,3,-0.002,359,60,True,1013,164
4,3,3,-0.0025,364,64,True,1028,174
4,4,2,-0.001,354,59,True,1001,156
4,4,2,-0.0015,360,62,True,1011,166
4,4,2,-0.002,367,63,True,1033,171
4,4,2,-0.0025,373,67,True,1050,180
4,4,3,-0.001,338,45,True,959,131
4,4,3,-0.0015,342,48,True,969,138
4,4,3,-0.002,349,54,True,985,146
4,4,3,-0.0025,357,57,True,1006,155
4,6,2,-0.001,339,46,True,955,134
4,6,2,-0.0015,345,47,True,966,137
4,6,2,-0.002,352,48,True,986,140
4,6,2,-0.0025,360,55,True,1008,149
4,6,3,-0.001,326,44,False,924,125
4,6,3,-0.0015,333,45,False,940,129
4,6,3,-0.002,340,46,True,957,133
4,6,3,-0.0025,347,50,True,974,140
