cohort,arm,n_risk,n_safe,tp_lead0,fp_lead0,tp_lead2,fp_lead2,tp_lead4,fp_lead4,tp_lead8,fp_lead8,tp_lead12,fp_lead12,tp,fp,precision,median_lead
development_main,v7,487,14313,382,67,359,57,303,38,217,26,178,18,303,38,0.8885630498533724,16.0
development_main,frontback_flowpath,487,14313,149,55,140,41,128,28,84,23,33,8,128,28,0.8205128205128205,8.0
development_main,curvature_3step,487,14313,65,53,61,23,56,15,50,8,40,3,56,15,0.7887323943661971,14.0
development_main,v8,487,14313,436,162,424,111,388,74,304,53,226,29,388,74,0.8398268398268398,14.0
development_main,v7+frontback,487,14313,427,117,415,93,376,62,284,47,199,26,376,62,0.8584474885844748,12.0
development_main,v7+curvature,487,14313,410,115,386,78,332,52,254,34,212,21,332,52,0.8645833333333334,16.0
external_8b,v7,564,15036,439,80,410,71,347,57,261,43,228,31,347,57,0.8589108910891089,17.0
external_8b,frontback_flowpath,564,15036,181,98,170,64,152,50,103,29,47,14,152,50,0.7524752475247525,10.0
external_8b,curvature_3step,564,15036,83,37,78,24,72,20,62,15,50,3,72,20,0.782608695652174,14.0
external_8b,v8,564,15036,508,196,493,142,450,112,352,78,282,46,450,112,0.800711743772242,15.0
external_8b,v7+frontback,564,15036,499,165,483,124,440,97,338,66,259,43,440,97,0.819366852886406,14.5
external_8b,v7+curvature,564,15036,471,114,441,92,380,75,300,58,262,34,380,75,0.8351648351648352,17.0
