cohort,arm,n_risk,n_safe,tp_lead0,fp_lead0,tp_lead2,fp_lead2,tp_lead4,fp_lead4,tp_lead8,fp_lead8,tp_lead12,fp_lead12,tp,fp,precision,median_lead
development_main,v7,487,14313,382,67,359,57,303,38,217,26,178,18,303,38,0.8885630498533724,16.0
development_main,frontback_flowpath,487,14313,44,5,38,5,31,5,14,5,0,0,31,5,0.8611111111111112,6.0
development_main,curvature_3step,487,14313,32,5,30,2,28,2,23,0,14,0,28,2,0.9333333333333333,11.5
development_main,v8,487,14313,405,76,385,63,331,44,241,30,189,18,331,44,0.8826666666666667,15.0
external_8b,v7,564,15036,439,80,410,71,347,57,261,43,228,31,347,57,0.8589108910891089,17.0
external_8b,frontback_flowpath,564,15036,53,7,48,7,40,7,15,7,4,1,40,7,0.851063829787234,7.0
external_8b,curvature_3step,564,15036,43,10,39,9,38,9,33,2,21,1,38,9,0.8085106382978723,12.0
external_8b,v8,564,15036,462,90,436,80,377,66,287,47,242,32,377,66,0.8510158013544018,16.0
legacy_main16x32,v7,307,2253,257,25,250,24,220,16,160,13,158,11,220,16,0.9322033898305084,19.0
legacy_main16x32,frontback_flowpath,307,2253,5,2,5,2,5,0,1,0,0,0,5,0,1.0,4.0
legacy_main16x32,curvature_3step,307,2253,1,2,1,1,1,0,1,0,1,0,1,0,1.0,13.0
legacy_main16x32,v8,307,2253,261,26,254,25,224,16,161,13,159,11,224,16,0.9333333333333333,19.0
