Q,K,mode,dev_tp,dev_fp,ext_tp,ext_fp,ext_lead
0.985,1,OR,406,125,475,177,15.0
0.985,1,AND,326,40,380,63,16.0
0.985,2,OR,395,88,455,134,15.0
0.985,2,AND,321,40,373,60,16.0
0.985,3,OR,383,69,441,107,15.0
0.985,3,AND,315,38,365,60,17.0
0.985,4,OR,365,58,427,81,15.0
0.985,4,AND,310,38,360,59,17.0
0.99,1,OR,388,74,450,112,15.0
0.99,1,AND,320,40,370,60,16.0
0.99,2,OR,376,68,436,93,15.0
0.99,2,AND,315,39,361,60,17.0
0.99,3,OR,366,58,427,81,15.0
0.99,3,AND,310,38,359,58,17.0
0.99,4,OR,343,52,409,74,16.0
0.99,4,AND,310,38,358,57,17.0
0.995,1,OR,362,53,419,82,15.0
0.995,1,AND,311,38,361,59,17.0
0.995,2,OR,347,47,409,77,15.0
0.995,2,AND,311,38,356,57,17.0
0.995,3,OR,337,44,392,68,16.0
0.995,3,AND,310,38,354,57,17.0
0.995,4,OR,326,42,380,60,16.0
0.995,4,AND,308,38,354,57,17.0
0.9975,1,OR,337,44,389,67,16.0
0.9975,1,AND,310,38,354,57,17.0
0.9975,2,OR,329,43,382,63,16.0
0.9975,2,AND,308,38,354,57,17.0
0.9975,3,OR,319,40,371,58,16.0
0.9975,3,AND,306,38,353,57,17.0
0.9975,4,OR,313,38,362,57,17.0
0.9975,4,AND,306,38,352,57,17.0
