slope,development_main_tp0,development_main_fp0,development_main_tp4,development_main_fp4,development_main_tp8,development_main_fp8,development_main_tp12,development_main_fp12,development_main_lead,external_8b_tp0,external_8b_fp0,external_8b_tp4,external_8b_fp4,external_8b_tp8,external_8b_fp8,external_8b_tp12,external_8b_fp12,external_8b_lead,legacy_main16x32_tp0,legacy_main16x32_fp0,legacy_main16x32_tp4,legacy_main16x32_fp4,legacy_main16x32_tp8,legacy_main16x32_fp8,legacy_main16x32_tp12,legacy_main16x32_fp12,legacy_main16x32_lead
-0.01,487,1291,481,653,432,183,345,114,16.0,564,1512,553,763,496,244,397,124,17.0,307,514,302,285,286,79,255,73,19.0
-0.0095,485,1163,477,540,410,161,336,94,16.0,564,1312,549,622,485,202,390,102,16.0,307,469,296,258,277,56,252,53,19.0
-0.009,485,1036,464,422,395,142,325,81,16.0,564,1148,543,487,473,178,378,86,16.0,307,426,295,189,270,42,249,39,19.0
-0.0085,485,931,461,316,388,126,318,69,16.0,563,975,536,359,457,148,370,75,16.0,307,393,293,130,261,30,246,27,19.0
-0.008,485,791,454,231,375,115,311,62,15.0,563,826,531,277,441,136,363,69,16.0,307,341,290,82,251,23,239,20,18.0
-0.0075,484,651,449,186,365,99,305,54,15.0,562,671,525,229,429,114,360,63,16.0,307,283,287,58,243,22,233,19,18.0
-0.007,481,526,441,158,348,86,287,49,14.0,561,539,516,201,414,106,340,56,15.0,307,214,286,41,239,22,223,18,18.0
-0.0065,478,408,434,131,338,78,266,41,14.0,557,426,507,169,399,99,330,52,15.0,299,166,274,34,219,19,199,15,18.0
-0.006,471,347,425,109,319,65,249,32,13.0,551,355,497,145,386,91,313,46,15.0,295,141,269,29,208,18,186,14,18.0
-0.0055,462,282,409,95,302,59,236,31,13.0,543,299,481,133,365,86,301,43,15.0,290,103,263,24,194,16,179,13,18.0
-0.005,459,218,400,83,294,54,228,29,13.0,534,247,468,122,354,79,290,43,14.5,282,76,255,22,184,14,171,11,19.0
-0.0045,451,176,395,72,288,49,223,26,13.0,527,221,459,112,340,75,277,42,15.0,278,62,251,18,180,13,170,11,19.0
-0.004,447,148,382,67,279,47,215,25,13.0,523,189,450,102,336,70,267,39,15.0,276,50,244,18,177,13,169,11,19.0
-0.0035,441,128,376,64,272,44,209,23,13.0,513,145,439,91,330,63,265,39,15.0,270,41,235,18,168,13,163,11,19.0
-0.003,435,111,363,60,262,41,205,23,14.0,504,128,427,82,323,61,263,38,15.0,269,35,232,18,165,13,163,11,19.0
-0.0025,429,95,360,55,260,37,204,22,13.0,499,113,419,77,314,58,260,38,15.0,264,31,229,17,165,13,163,11,19.0
-0.002,424,84,352,48,253,34,200,20,14.0,492,108,408,75,307,57,258,38,16.0,262,28,226,17,165,13,162,11,19.0
-0.0015,420,81,345,47,248,33,195,19,14.0,483,102,396,73,303,55,254,36,16.0,262,26,225,17,164,13,161,11,19.0
-0.001,417,79,339,46,245,33,193,19,15.0,477,96,391,71,298,53,250,35,16.0,262,26,225,17,163,13,160,11,19.0
-0.0005,408,78,335,46,243,33,192,19,15.0,471,93,387,69,294,51,245,34,16.0,262,26,225,17,163,13,160,11,19.0
0.0,405,76,331,44,241,30,189,18,15.0,462,90,377,66,287,47,242,32,16.0,261,26,224,16,161,13,159,11,19.0
0.0005,401,74,327,42,238,28,188,18,15.0,458,87,372,63,283,45,239,32,16.0,261,26,224,16,161,13,159,11,19.0
0.001,401,72,325,40,236,26,187,18,15.0,458,86,371,62,278,44,236,31,16.0,260,26,223,16,161,13,158,11,19.0
