held_out_init,train_successes,pot1_shift_mm,pot2_shift_mm,fold_cohort_n,fold_cohort_active_return,test_n,test_active_return
0,282,0.3254157752948601,0.21890551546680978,158,39,16,7
3,291,0.2487620008903108,0.14523761259084791,158,39,22,7
7,267,1.2180734959288086,0.681762585637187,158,39,1,1
10,287,0.19306553712858524,0.09551499345446365,158,39,6,6
13,287,0.7846583958195578,0.24742069581024984,158,39,19,1
16,268,0.27281383192450614,0.5931749713603838,158,39,3,0
20,273,0.8512014545130422,1.582163988840833,157,38,6,0
23,267,0.7112511426035397,0.6647009914628634,158,39,3,2
26,287,0.7904881039392452,0.3728263809271588,158,39,16,2
29,268,1.5092487372807044,1.3107559206077266,158,39,2,0
33,264,1.5937757045824497,1.5552525997664444,158,39,0,0
36,264,1.9441508973032469,0.6325432476609281,158,39,0,0
39,292,0.21062587280413184,0.022366658403618477,158,39,26,11
42,282,0.3766679987671965,0.6135686563842633,158,39,7,2
46,265,0.6567210692792503,1.4645087216344301,157,38,0,0
49,296,0.0,0.0,158,39,31,0
