init_state_id,n,active_return,auc_physical,mean_score_physical,auc_action,mean_score_action,auc_physical_action,mean_score_physical_action,auc_routing,mean_score_routing,auc_joint,mean_score_joint
0,16,7,0.3492063492063492,0.37494232010448514,0.49206349206349204,0.15470608457305451,0.5555555555555556,0.2113913833835564,0.15873015873015872,0.3266428990490068,0.15873015873015872,0.13222723891162674
3,22,7,0.5142857142857142,0.16119257106602564,0.5619047619047619,0.21438741631428027,0.5619047619047619,0.10267406817213129,0.580952380952381,0.35000786798780265,0.7047619047619048,0.06668841873535863
7,1,1,,0.7651946687471194,,0.418839983100144,,0.8320422984577254,,0.3673509355834025,,0.878606974785491
10,6,6,,0.3545629726355071,,0.3305159681683416,,0.2913529113335099,,0.43920994731165236,,0.27063823842868123
13,19,1,1.0,0.4407360664700701,0.8333333333333334,0.697662810782241,1.0,0.6387347039615582,0.8888888888888888,0.6383241454091974,1.0,0.6658911173699591
16,3,0,,0.2338924850664462,,0.22932446533769568,,0.1170930283827833,,0.6814582638685375,,0.23639257504818612
20,6,0,,0.7511768067284575,,0.7004782887116779,,0.6763806662917728,,0.7893150227629563,,0.6926362173343734
23,3,2,0.0,0.8073867187889264,1.0,0.921651554204105,0.5,0.9517812830968068,1.0,0.6000990694826646,0.5,0.9308004278850741
26,16,2,0.42857142857142855,0.23711079043690364,0.5357142857142857,0.45680509775081307,0.5357142857142857,0.22930223092794938,0.21428571428571427,0.27785144857270183,0.4642857142857143,0.19660869352113944
29,2,0,,0.7557819397334697,,0.4399973954633811,,0.4526008889965386,,0.4730734424302574,,0.4056940854850595
39,26,11,0.3393939393939394,0.5725089241377521,0.4303030303030303,0.5982069642791191,0.42424242424242425,0.6358840948050002,0.43636363636363634,0.4216729367550806,0.41818181818181815,0.5942251454973035
42,7,2,0.6,0.7218221405198377,0.1,0.7880266734040877,0.1,0.7438899368040701,0.4,0.6622563634430472,0.3,0.7925420792465415
49,31,0,,0.47650872313858655,,0.45935730012334003,,0.4668249312091809,,0.4742450825834132,,0.4314589201331936
