strength_lambda,repeats,power,power_routing_only,median_increment,median_routing_increment,median_routing_within_auc,reference_within_auc
0.0,20,0.0,0.0,-0.028132992327365713,-0.07161125319693096,0.4373401534526854,0.5089514066496164
0.002,20,0.0,0.0,-0.0012787723785165905,-0.015345268542199475,0.4936061381074169,0.5089514066496164
0.004,20,0.0,0.0,0.012787723785166238,0.031969309462915596,0.540920716112532,0.5089514066496164
0.006,20,0.0,0.0,0.038363171355498715,0.07672634271099749,0.5856777493606138,0.5089514066496164
0.008,20,0.0,0.0,0.0728900255754476,0.12404092071611256,0.632992327365729,0.5089514066496164
0.011,20,0.1,0.0,0.12915601023017903,0.17007672634271104,0.6790281329923273,0.5089514066496164
0.015,20,0.6,0.0,0.19053708439897699,0.2289002557544757,0.7378516624040921,0.5089514066496164
0.02,20,0.85,0.3,0.26726342710997447,0.2762148337595908,0.7851662404092072,0.5089514066496164
0.03,20,1.0,1.0,0.3721227621483376,0.3823529411764706,0.8913043478260869,0.5089514066496164
