corpus,band,target,K,fa_clean,detect,detect_preonset,lead_med,fa_succ_loop
main16x32,switch,loop_onset_q,1,1.0,1.0,1.0,-33.0,1.0
main16x32,switch,loop_onset_q,2,1.0,1.0,1.0,-32.0,1.0
main16x32,switch,loop_onset_q,3,0.9828178694158075,1.0,1.0,-30.0,1.0
main16x32,switch,loop_onset_q,4,0.8350515463917526,1.0,0.9636363636363636,-20.0,1.0
main16x32,switch,loop_onset_q,5,0.5567010309278351,0.9818181818181818,0.8181818181818182,-6.0,1.0
main16x32,switch,loop_onset_q,6,0.3745704467353952,0.9636363636363636,0.6,-3.0,0.0
main16x32,switch,loop_onset_q,7,0.26804123711340205,0.9272727272727272,0.5272727272727272,-3.0,0.0
main16x32,switch,loop_onset_q,8,0.20962199312714777,0.8727272727272727,0.509090909090909,-2.0,0.0
main16x32,switch,loop_onset_q,9,0.16494845360824742,0.8,0.43636363636363634,-0.5,0.0
main16x32,switch,loop_onset_q,10,0.11683848797250859,0.6727272727272727,0.34545454545454546,0.0,0.0
main16x32,switch,loop_onset_q,11,0.037800687285223365,0.6181818181818182,0.3090909090909091,2.5,0.0
main16x32,switch,loop_onset_q,12,0.01718213058419244,0.5818181818181818,0.23636363636363636,6.0,0.0
main16x32,switch,loop_onset_q,13,0.003436426116838488,0.5636363636363636,0.2,7.0,0.0
main16x32,switch,loop_onset_q,14,0.0,0.4909090909090909,0.2,3.0,0.0
main16x32,switch,loop_onset_q,15,0.0,0.4,0.07272727272727272,6.5,0.0
main16x32,switch,loop_onset_q,16,0.0,0.3090909090909091,0.05454545454545454,10.0,0.0
main16x32,switch,loop_onset_q,17,0.0,0.2545454545454545,0.03636363636363636,4.5,0.0
main16x32,switch,loop_onset_q,18,0.0,0.16363636363636364,0.03636363636363636,4.0,0.0
main16x32,switch,loop_onset_q,19,0.0,0.14545454545454545,0.01818181818181818,5.0,0.0
main16x32,switch,loop_onset_q,20,0.0,0.12727272727272726,0.01818181818181818,6.0,0.0
main16x32,switch,loop_onset_q,21,0.0,0.05454545454545454,0.0,16.0,0.0
main16x32,switch,loop_onset_q,22,0.0,0.01818181818181818,0.0,2.0,0.0
main16x32,switch,loop_onset_q,23,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,24,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,25,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,26,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,27,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,28,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,29,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,30,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,31,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,32,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,33,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,34,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,35,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,36,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,37,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,38,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,39,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,40,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,41,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,42,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,43,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,44,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,45,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,46,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,47,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,48,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,49,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,50,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,51,0.0,0.0,0.0,,0.0
main16x32,switch,loop_onset_q,52,0.0,0.0,0.0,,0.0
