fa_level,K_B,K_C,fa_B,fa_C,d_fa,n_target,det_B,det_C,d_det,pre_B,pre_C,d_pre,mcnemar_B_only,mcnemar_C_only,mcnemar_p,lead_B,lead_C
0.02,9,18,0.0156,0.0117,0.0039,69,0.5652,0.9565,-0.3913,0.4783,0.0145,0.4638,33,1,4.0745362639427185e-09,-7.0,7.0
0.05,9,15,0.0156,0.0428,-0.0272,69,0.5652,0.971,-0.4058,0.4783,0.058,0.4203,33,4,1.0843941709026694e-06,-7.0,4.0
0.1,9,14,0.0156,0.0817,-0.0661,69,0.5652,0.971,-0.4058,0.4783,0.0725,0.4058,33,5,4.255962267052382e-06,-7.0,3.0
0.2,8,12,0.1634,0.1907,-0.0272,69,0.6377,0.971,-0.3333,0.6087,0.2609,0.3478,30,6,6.960169412195683e-05,-8.0,1.0
0.02,12,18,0.0039,0.0117,-0.0078,62,0.6452,0.0806,0.5645,0.3065,0.0645,0.2419,18,3,0.0014896392822265625,6.0,-5.0
0.05,11,15,0.0272,0.0428,-0.0156,62,0.7258,0.0968,0.629,0.3387,0.0806,0.2581,20,4,0.001543879508972168,5.0,-9.0
0.1,11,14,0.0272,0.0817,-0.0545,62,0.7258,0.129,0.5968,0.3387,0.1129,0.2258,18,4,0.004343509674072266,5.0,-9.5
0.2,9,12,0.1712,0.1907,-0.0195,62,0.871,0.2903,0.5806,0.4516,0.2258,0.2258,19,5,0.006610751152038574,-2.5,-9.0
